content	x	y	w	h	
ENTIRE	410	229	154	32	
SANCTIFICATION	591	224	359	28	
.	952	216	12	37	
359	1018	214	96	34	
C.	645	305	41	32	
M.	697	300	54	32	
liv	773	294	62	32	
C.	893	301	38	29	
WESLEY	949	301	159	29	
.	1112	301	11	29	
491	313	308	99	36	
The	363	363	72	29	
benediction	446	361	175	28	
.	627	357	13	31	
-	634	357	31	30	
Numbers	679	356	141	29	
vi	836	353	33	31	
.	872	353	7	31	
24-27	894	352	103	30	
.	998	350	9	31	
JEHOVAH	351	422	251	46	
,	595	410	15	57	
God	620	409	80	55	
the	709	405	61	56	
Father	781	402	124	52	
,	902	397	11	58	
bless	924	396	91	53	
,	1014	392	10	58	
And	415	463	77	33	
thy	507	460	59	33	
own	579	459	75	32	
work	668	456	91	33	
defend	776	454	116	33	
!	902	451	9	35	
With	351	504	95	38	
mercy's	460	501	135	38	
outstretch'd	611	498	209	36	
arms	837	494	87	38	
embrace	940	492	150	37	
,	1090	489	10	40	
And	391	549	79	34	
keep	485	546	83	34	
us	583	543	39	36	
to	638	542	34	35	
the	687	540	55	36	
end	756	538	64	35	
.	821	537	9	37	
Preserve	352	590	156	34	
the	523	586	56	37	
creatures	593	585	162	34	
of	773	581	36	37	
thy	822	581	58	36	
love	892	579	79	36	
By	394	632	53	36	
providential	461	630	220	34	
care	695	627	75	36	
,	771	625	9	37	
Conducted	356	670	192	32	
to	565	667	32	34	
the	615	666	54	34	
realms	684	665	118	34	
above	819	663	105	34	
,	926	662	8	35	
To	399	718	49	36	
sing	464	716	74	35	
thy	552	714	59	35	
goodness	624	712	163	33	
there	803	708	91	35	
!	904	705	10	37	
2	355	767	20	37	
Jehovah	396	766	151	35	
,	550	763	7	37	
God	577	763	73	36	
the	665	761	55	37	
Son	738	760	68	36	
,	808	759	6	37	
reveal	829	759	112	35	
The	401	809	70	33	
brightness	485	807	183	32	
of	685	805	37	34	
thy	733	804	59	34	
face	807	803	70	34	
,	879	803	7	34	
And	357	848	79	40	
all	452	847	45	40	
thy	512	846	56	41	
pardon'd	582	845	158	40	
people	757	843	116	40	
fill	888	842	50	41	
With	402	894	95	38	
plenitude	510	893	170	38	
of	695	891	36	39	
grace	742	891	98	38	
!	848	890	11	39	
Shine	362	936	100	36	
forth	477	934	87	37	
with	582	933	76	36	
all	677	932	41	37	
the	736	931	52	37	
Deity	807	931	98	36	
,	909	930	8	37	
Which	404	974	120	35	
dwells	540	972	111	36	
in	669	971	31	36	
thee	718	971	72	35	
