content	x	y	w	h	
KA	7	2234	18	56	
CORPUS	1697	187	275	39	
CHRISTE	2022	187	321	39	
.	2349	187	12	39	
123	3712	186	119	36	
Proper	227	259	141	54	
Psalms	398	259	150	54	
for	576	259	66	54	
Vespers	667	259	147	54	
.	815	259	19	54	
-	831	259	42	54	
Deus	887	259	97	54	
in	1012	259	41	54	
adjutorium	1080	259	230	54	
,	1317	259	10	54	
page	1354	259	102	54	
53	1480	259	50	54	
;	1545	259	12	54	
Dixit	1601	259	120	54	
Dominus	1747	259	188	54	
,	1936	259	10	54	
page	1971	259	102	54	
54	2098	259	52	54	
;	2163	259	12	54	
Confitebor	2225	259	202	54	
,	2432	259	10	54	
page	2469	259	103	54	
55	2594	259	53	54	
;	2660	259	16	54	
Credidi	2728	259	157	54	
,	2886	259	9	54	
page	2927	259	102	54	
85	3056	259	53	54	
;	3121	259	13	54	
Beati	3182	259	113	54	
omnes	3321	259	121	54	
,	3446	259	8	54	
page	3481	259	103	54	
123	3614	259	75	54	
:	3703	259	14	54	
und	3751	259	87	54	
Lauda	1725	313	138	47	
Jerusalem	1895	314	201	48	
,	2106	316	9	46	
page	2143	317	99	47	
66	2261	318	52	46	
.	2317	318	9	46	
Beati	1706	391	118	36	
Omnes	1850	391	141	36	
.	1993	392	11	36	
Psalm	2096	392	132	31	
127	2254	392	76	31	
.	2330	392	12	31	
11	293	1970	60	72	
1.	407	641	28	47	
Be	473	641	42	47	
a	565	642	20	47	
-	597	643	16	47	
ti	626	643	27	47	
omnes	684	643	115	49	
qui	825	645	61	47	
-	529	668	9	4	
2.	417	936	33	44	
Labores	473	935	142	44	
manuum	635	934	167	45	
tuarum	819	933	139	45	
quia	978	932	88	45	
3.	416	990	29	36	
Uxor	472	989	86	36	
tua	577	988	61	37	
sicut	659	987	93	37	
vi	767	986	37	37	
4.	414	1041	35	36	
Filii	473	1040	83	37	
tui	574	1039	50	37	
sicut	644	1039	92	36	
novellæ	753	1038	142	36	
5.	416	1094	29	37	
Ecce	473	1093	80	37	
sic	573	1092	46	37	
benedi	641	1091	119	37	
6.	415	1146	28	37	
Benedicat	472	1145	180	36	
tibi	669	1143	63	37	
Domi	751	1142	96	37	
7.	415	1199	30	35	
Et	470	1198	43	36	
videas	532	1197	118	36	
filios	669	1196	96	36	
filio	786	1195	78	36	
8.	411	1253	32	35	
Gloria	470	1251	112	35	
Patri	601	1249	95	35	
9.	414	1301	30	48	
Sicut	473	1301	93	48	
erat	585	1301	71	48	
in	673	1301	37	48	
principio	728	1301	169	48	
et	915	1301	33	48	
PANGE	442	1430	213	37	
LINGUA	694	1427	242	37	
(	987	1424	14	39	
No.	1003	1424	87	38	
2	1104	1423	29	39	
)	1136	1423	18	39	
.	1149	1423	13	39	
The	339	1500	67	36	
Voices	421	1499	110	36	
will	547	1498	72	37	
sing	636	1498	76	36	
the	729	1497	54	37	
Melody	801	1496	128	37	
only	944	1496	77	36	
in	1038	1495	34	37	
unison	1089	1495	119	36	
.	1210	1494	11	37	
1.	433	1750	25	34	
Pan	490	1752	71	37	
-	574	1755	17	35	
ge	604	1756	41	36	
2.	432	2010	32	34	
Ver-	489	2008	87	34	
bum	587	2007	82	33	
1.	328	2337	29	41	
Quem	382	2336	102	41	
in	504	2335	41	42	
6	398	2489	47	31	
lin	760	1746	58	36	
●	852	1767	14	6	
mun	618	2342	85	31	
-	704	2336	14	35	
di	726	2335	36	34	
gua	908	1758	71	30	
ca	761	2015	42	27	
ro	887	2016	40	24	
pre-	850	2344	107	31	
ti	982	2334	36	37	
-	1027	2351	15	11	
2.	329	2596	30	36	
Et	399	2595	44	37	
si	507	2595	33	37	
sen	627	2598	61	36	
-	694	2596	15	38	
sus	714	2596	60	37	
de	828	2593	41	37	
-	895	2591	17	38	
fi	935	2590	31	38	
10	1099	1741	79	26	
#F	1077	2498	28	49	
glo	1159	1748	62	39	
-	1235	1745	21	41	
ri	1269	1743	31	41	
um	1115	2344	61	33	
,	1176	2345	8	32	
cit	1114	2593	50	36	
,	1173	2593	11	36	
O	1408	1162	15	7	
pa	1164	2016	47	33	
-	1227	2014	19	34	
nem	1254	2013	80	33	
ve	1385	2009	44	33	
0	1408	1755	23	27	
-	1251	1050	25	33	
0	1492	1047	24	33	
8-8	1502	501	153	64	
-	1469	2025	13	6	
ti	1513	644	31	37	
-	1560	644	16	37	
met	1599	644	72	37	
tis	1494	984	53	39	
oli	1492	1045	158	31	
-va-	1733	1050	116	27	
rum	1875	1050	74	28	
ho	1759	1093	46	35	
mo	1882	1104	56	24	
Si	1759	1146	38	37	
on	1882	1154	41	27	
rum	1869	1209	77	24	
0	1894	1261	19	32	
,	1916	1261	9	32	
sem	1762	1309	68	39	
-	1846	1312	14	38	
per	1878	1313	56	39	
,	1937	1315	6	37	
For	1299	1425	63	42	
Pange	1379	1425	109	43	
Lingua	1504	1426	127	43	
,	1635	1427	6	42	
No.	1664	1427	63	43	
1	1748	1428	15	42	
,	1769	1428	7	42	
See	1807	1428	54	42	
page	1878	1429	84	42	
103	1977	1429	66	43	
.	2044	1430	10	42	
man	1497	932	82	40	
-	1586	931	16	41	
du	1612	931	48	41	
-	1728	931	22	41	
ca	1761	931	43	40	
-	1832	930	17	41	
bis	1879	930	54	41	
a	1622	995	27	27	
-	1733	987	14	37	
bun	1761	986	69	37	
-	1844	986	13	37	
dans	1873	986	86	37	
Fruc	1336	2331	83	38	
-	1422	2332	14	37	
tus	1434	2332	58	38	
ce	1495	1098	40	30	
tur	1607	1092	58	33	
nus	1496	1153	67	27	
ex	1616	1153	43	28	
rum	1495	1203	80	29	
tu	1608	1199	45	31	
et	1495	1249	40	34	
8	1560	1112	10	4	
nunc	1494	1307	91	29	
et	1617	1305	35	30	
sa	1553	1755	40	33	
,	1592	1755	12	33	
1	1672	1007	10	5	
rum	1525	2013	80	26	
1	1672	1219	11	4	
Fi	1614	1250	44	36	
0	1672	1271	11	4	
Do-	1762	646	70	35	
minum	1842	646	131	35	
·	1742	1209	12	26	
0	1760	1209	21	26	
-	1738	1248	18	37	
li	1759	1248	35	37	
O	1733	1219	8	4	
ven	1562	2339	67	33	
-	1637	2335	17	36	
tris	1662	2333	65	34	
Cor	1722	1747	65	37	
Ver	1720	2004	65	37	
do	1656	2393	90	75	
3	1832	1166	13	5	
8	1886	506	54	58	
8	1835	1271	10	4	
●	1821	1767	16	7	
000	1849	2185	40	107	
gene	1811	2347	133	28	
Ad	1349	2590	48	39	
fir-	1432	2591	83	39	
man	1541	2592	82	40	
-	1632	2593	12	39	
dum	1653	2593	80	40	
cor	1800	2601	61	32	
sin	1897	2595	61	33	
Magnit	1537	2662	217	43	
,	1755	2664	12	41	
poz	1787	2664	78	42	
.	1861	2665	29	41	
68	1900	2665	51	42	
.	1950	2666	15	41	
qui	2077	647	66	44	
ambulant	2157	645	187	43	
in	2361	643	42	44	
beatus	2070	933	118	37	
es	2208	933	33	37	
et	2263	933	33	37	
bene	2312	933	83	37	
in	2068	987	39	33	
lateribus	2124	987	171	33	
in	2069	1039	37	36	
circuitu	2125	1039	146	36	
qui	2067	1092	67	46	
et	2072	1143	33	41	
videas	2123	1143	117	41	
bona	2262	1143	89	41	
Jerusalem	2369	1143	187	41	
omnibus	2580	1143	159	41	
diebus	2760	1143	118	41	
8	1996	1570	64	60	
:	2054	1570	19	59	
pacem	2069	1204	120	41	
et	2072	1245	33	48	
Spiri	2123	1246	90	51	
et	2070	1299	32	38	
in	2121	1300	39	38	
sæculi	2180	1301	118	40	
sæcu	2318	1304	85	39	
ri	2426	1748	32	36	
-	2470	1748	11	36	
po-	1870	1749	73	50	
ris	2009	1746	51	50	
mys-	2081	1745	96	49	
-	2210	1743	18	51	
te	2240	1742	38	51	
-	2299	1741	23	51	
-	2339	1740	23	51	
-	2381	1740	19	51	
bo	1875	2006	44	34	
car-	2001	2007	85	35	
nem	2097	2008	78	35	
1	1997	2616	11	4	
-	2011	2330	4	53	
ro	2043	2330	37	53	
-	2110	2330	11	53	
si	2159	2330	30	53	
,	2192	2330	5	53	
-	2241	1270	11	4	
ce	2048	2602	36	27	
-	2101	2602	16	27	
rum	2136	2603	75	29	
#	2575	1620	22	27	
efficit	2247	2003	382	42	
:	2639	2005	11	40	
40	2295	2453	76	51	
um	2572	1759	56	26	
.	2633	1759	8	26	
Rex	2318	2334	67	38	
effu	2432	2334	162	38	
-	2611	2334	12	38	
dit	2643	2334	50	38	
So	2329	2596	43	36	
-	2391	2596	18	36	
la	2421	2596	41	36	
fi	2544	2592	32	38	
-	2594	2592	18	38	
des	2633	2592	59	38	
vi	3093	645	40	37	
-	3149	645	15	37	
is	3189	645	32	37	
be	2904	1865	55	32	
Fit	2827	2000	56	50	
-	2893	2005	13	46	
que	2918	2007	63	51	
gen	2793	2345	64	29	
-	2876	2345	17	29	
ti	3079	934	34	38	
bi	3182	933	38	36	
do	3085	988	40	34	
-	3139	989	16	33	
mus	3169	990	77	35	
-	3144	955	12	4	
men	3081	1050	77	26	
-	3159	1050	14	26	
sæ	3184	1050	42	26	
ti	3081	1092	32	34	
-	3129	1092	16	34	
met	3167	1092	74	34	
vi	3081	1147	41	32	
-	3144	1147	16	32	
tæ	3183	1148	44	32	
su	3080	1202	42	37	
-	3140	1204	17	37	
per	3179	1206	57	39	
tu	3080	1250	42	34	
-	3148	1250	23	34	
i	3196	1251	19	34	
-	3051	1303	17	34	
lo-	3080	1303	70	37	
rum	3167	1306	79	36	
.	3249	1308	6	34	
san	3063	2007	69	46	
-	3126	2007	18	46	
guis	3141	2007	84	47	
8	3063	2238	68	58	
ti	2943	2335	31	35	
-	2987	2335	13	35	
-	3050	2345	13	26	
um	3074	2345	58	28	
.	3137	2346	5	26	
suf	2789	2593	64	40	
fi-	2952	2593	94	40	
cit	3077	2593	50	40	
.	3125	2593	11	40	
e	3350	654	21	28	
-6	3371	825	51	28	
e	3338	945	20	27	
tu	3337	988	48	36	
tu	3337	1043	42	32	
Do	3338	1092	46	36	
San	2820	1743	71	51	
-	2902	1743	15	51	
gui-	2924	1744	79	51	
nis	3058	1745	54	51	
que	3155	1746	66	51	
precio	3291	1747	248	54	
I	3401	952	9	11	
A	3282	2338	35	39	
1	3442	951	11	12	
tu	3337	1149	43	32	
Is	3335	1200	37	33	
-	3387	1200	17	33	
Sanc	3338	1252	87	37	
A	3338	1303	25	37	
-	3386	1304	11	36	
m	3427	1168	13	4	
1	3427	1335	11	11	
318	2922	1424	52	26	
#	3577	1423	32	31	
The	2797	1496	66	38	
