content	x	y	w	h	
288	192	161	78	25	
3	187	235	22	37	
Here	230	235	95	37	
may	341	235	75	37	
we	434	235	49	37	
,	490	235	6	37	
Lord	517	235	86	37	
,	611	235	6	37	
for	634	235	51	37	
ever	705	235	79	37	
share	799	235	100	37	
A	273	277	29	41	
peaceful	317	277	155	41	
,	478	277	6	41	
quiet	500	277	94	41	
haven	609	277	107	41	
;	725	277	10	41	
Whene'er	228	316	183	42	
oppress'd	428	318	169	42	
by	615	320	40	41	
worldly	675	320	139	43	
care	833	322	81	42	
We'll	227	358	104	39	
hasten	347	360	111	39	
to	478	362	33	38	
thy	531	363	54	39	
house	606	364	101	40	
of	726	366	35	39	
prayer	781	367	120	40	
,	905	370	7	38	
And	272	404	74	37	
find	360	404	62	38	
the	442	405	55	37	
joy	510	406	58	37	
of	586	406	39	38	
heaven	638	407	127	38	
.	773	408	10	37	
SABBATH	367	167	152	20	
SCHOOL	549	167	128	21	
HYMNS	705	168	117	21	
.	828	169	9	20	
da	814	425	42	29	
er	863	421	40	30	
4	185	454	21	40	
And	231	454	75	41	
then	324	455	77	41	
shall	418	456	88	41	
life's	521	457	85	41	
last	625	459	63	40	
feeble	705	459	109	42	
ray	830	461	60	40	
T	911	462	28	40	
Be	274	503	44	29	
calm	336	503	83	30	
as	440	504	33	30	
summer's	492	505	171	31	
even	684	507	83	30	
:	772	508	13	29	
While	228	541	115	41	
angels	356	542	114	42	
,	473	543	6	41	
hovering	498	543	162	43	
round	677	545	104	42	
,	787	546	5	41	
shall	812	546	87	42	
say	914	548	59	41	
"	227	585	23	39	
Ye	264	585	49	39	
weary	332	586	109	40	
wanderers	458	587	189	41	
,	654	590	7	39	
come	678	590	93	40	
away	791	591	96	40	
,	889	593	11	39	
s	960	593	21	39	
And	272	629	73	29	
be	363	629	40	29	
at	421	629	34	29	
rest	470	630	69	29	
in	556	630	28	29	
heaven	606	630	128	30	
.	738	631	9	29	
"	753	631	17	29	
ow	780	647	44	26	
57541	845	646	93	26	
bicHYMN	335	685	200	35	
322.	556	685	94	35	
L.	693	685	42	35	
M.	751	685	56	35	
Teil	865	685	79	35	
Punctuality	435	741	176	27	
at	624	739	29	29	
School	667	738	92	29	
.	761	737	7	29	
ImA	861	733	77	24	
THE	220	785	123	61	
THE	237	780	99	39	
clock	352	780	96	40	
has	467	781	59	40	
struck	542	782	112	40	
,	662	783	6	39	
I	687	783	13	39	
cannot	718	784	121	39	
stay	855	785	74	39	
,	931	785	8	39	
O	293	823	29	35	
let	339	823	48	36	
me	404	824	49	36	
rise	471	825	65	36	
and	555	827	61	35	
haste	636	828	90	36	
away	747	830	95	36	
;	850	832	10	35	
I'll	227	870	56	38	
quit	298	870	69	38	
my	384	870	53	38	
bed	455	870	62	38	
,	525	870	5	38	
and	548	870	60	38	
leave	627	870	95	38	
my	739	870	54	38	
home	809	870	97	38	
,	912	870	9	38	
The	229	909	71	38	
hour	318	909	81	38	
of	418	910	39	38	
school	468	910	115	38	
at	600	911	33	38	
length	652	911	111	38	
is	783	912	23	38	
come	824	912	96	38	
.	925	912	8	38	
2	182	958	23	40	
I	227	958	16	40	
would	261	959	108	41	
be	387	960	40	40	
there	444	961	93	41	
when	556	962	93	41	
prayer	669	964	120	41	
begins	805	965	114	42	
,	925	967	7	40	
To	226	1006	50	40	
seek	293	1006	80	40	
the	389	1006	57	40	
pardon	461	1006	125	40	
of	606	1006	38	40	
my	657	1006	53	40	
sins	728	1006	66	40	
;	810	1006	11	40	
I'd	226	1046	50	39	
ask	293	1046	59	39	
the	367	1046	59	39	
favor	440	1046	97	39	
of	555	1046	37	39	
the	604	1046	58	39	
Lord	679	1046	88	39	
,	773	1046	9	39	
of	782	1046	37	39	
And	223	1095	79	38	
pray	318	1093	81	38	
to	417	1092	33	38	
understand	469	1091	199	36	
his	689	1088	47	38	
word	757	1087	91	38	
.	852	1085	14	39	
3	182	1148	21	37	
O	225	1147	28	37	
,	261	1147	7	37	
shall	286	1147	87	37	
my	388	1147	53	36	
teachers	460	1146	151	37	
wait	631	1145	81	37	
in	726	1145	32	37	
vain	777	1145	75	37	
,	858	1144	9	37	
While	226	1191	114	38	
my	358	1191	53	38	
neglect	427	1191	133	38	
must	575	1191	86	38	
give	679	1191	72	38	
them	768	1191	90	38	
pain	877	1191	79	38	
?	965	1191	13	38	
No	225	1236	54	31	
,	284	1235	7	32	
let	309	1235	46	31	
me	371	1234	49	32	
rather	438	1234	111	31	
strive	564	1232	100	32	
to	684	1231	31	32	
be	734	1231	42	32	
The	227	1272	72	35	
first	317	1272	70	36	
that	401	1273	73	35	
in	491	1274	28	35	
the	540	1274	53	35	
class	619	1275	85	35	
they	721	1275	79	36	
see	817	1276	56	36	
.	879	1277	8	35	
non	846	1041	61	27	
T	917	1041	22	27	
sor	847	1046	56	39	
T	911	1085	29	39	
The	447	1567	55	23	
Sabbath	516	1567	111	23	
School	645	1567	93	23	
.	740	1567	9	23	
4	178	1326	24	38	
These	226	1326	110	38	
Sabbath	354	1326	147	38	
days	517	1326	79	38	
will	617	1326	69	38	
soon	700	1326	78	38	
be	798	1326	41	38	
o'er	856	1326	72	38	
,	930	1326	9	38	
And	225	1372	76	35	
I	317	1372	15	35	
shall	345	1372	85	35	
go	444	1372	41	35	
to	502	1373	33	35	
school	552	1373	114	35	
no	683	1373	42	35	
more	743	1374	92	35	
:	840	1374	9	35	
I	223	1414	16	38	
would	255	1414	108	38	
not	382	1414	58	38	
then	455	1414	79	38	
endure	552	1414	125	38	
the	692	1414	55	38	
pain	764	1414	79	38	
Of	223	1459	51	38	
having	285	1458	121	38	
spent	422	1456	96	39	
my	534	1455	54	39	
time	604	1455	78	38	
in	702	1454	30	38	
vain	751	1453	78	39	
.	835	1452	11	39	
piace	445	1490	117	28	
que	588	1488	65	29	
Jopvol	660	1487	242	27	
W	939	1485	36	29	
2	1001	1484	22	29	
HYMN	347	1512	135	30	
323.	510	1512	92	30	
3	648	1512	18	30	
7s	687	1512	32	30	
&	738	1512	24	30	
1	785	1512	14	30	
5	816	1512	22	30	
.	842	1512	7	30	
W	957	1045	41	26	
love	668	1612	74	37	
to	759	1612	32	37	
W	226	1617	62	65	
When	309	1619	118	66	
the	438	1622	62	65	
wintry	514	1623	125	67	
tempests	650	1627	159	66	
blow	825	1631	90	65	
?	922	1633	14	63	
A	1120	984	41	49	
W	1118	1049	39	28	
Be	1115	1091	47	29	
2	1070	1143	18	30	
Ou	1111	1145	48	31	
Fa	1110	1189	48	28	
Ar	1105	1230	53	28	
He	1105	1273	55	30	
3	1060	1325	19	29	
