content	x	y	w	h	
18	288	315	62	39	
IGRIGNI	429	457	40	129	
ER	422	463	270	104	
INDING	392	1187	38	119	
ICNIONI	434	1417	43	128	
21	388	1694	95	48	
CNICNI	428	1690	29	126	
21	387	1754	96	51	
GRIGNI	435	2068	48	122	
Come	487	913	90	30	
,	582	911	8	32	
let	600	910	42	32	
us	665	909	37	31	
FAIRFIELD	1608	303	323	46	
,	1939	305	10	44	
C.	2008	305	49	45	
M.	2078	306	65	44	
-	2142	306	33	44	
KEY	2200	307	98	44	
OF	2318	308	50	44	
E.	2390	308	55	44	
E	730	2096	86	83	
3	1564	700	90	112	
EE	941	2052	148	96	
E	2005	695	67	115	
14	2501	432	122	135	
H	2370	686	163	140	
lift	777	908	51	37	
our	850	908	52	37	
voices	914	908	98	37	
high	1026	908	67	37	
,	1100	908	7	37	
High	1149	908	75	37	
as	1249	908	32	37	
our	1310	908	52	37	
joys	1383	908	65	37	
a	1478	908	17	37	
-	1507	908	12	37	
rise	1531	908	56	37	
;	1593	908	6	37	
And	1617	908	66	37	
join	1690	908	61	37	
the	1767	908	49	37	
song	1829	908	74	37	
above	1914	908	92	37	
the	2027	908	49	37	
sky	2088	908	54	37	
,	2148	908	7	37	
Where	2169	908	108	37	
pleasure	2289	908	131	37	
never	2430	908	91	37	
dies	2533	908	61	37	
,	2600	908	5	37	
And	2618	908	65	37	
join	2695	908	62	37	
the	2770	908	49	37	
songs	2830	908	88	37	
above	2927	908	92	37	
the	3026	908	48	37	
sky	3086	908	53	37	
,	3144	908	6	37	
Where	3163	908	107	37	
pleasure	3278	908	132	37	
never	3421	908	88	37	
dies	3517	908	64	37	
.	3586	908	11	37	
AMERICA	1591	1270	270	47	
,	1867	1270	12	47	
S.	1909	1270	43	47	
M.	1986	1270	68	47	
-	2052	1270	39	47	
KEY	2111	1270	97	47	
OF	2241	1270	46	47	
E.	2319	1270	56	47	
My	502	1894	52	33	
soul	586	1894	67	33	
re	676	1894	29	33	
-	715	1894	14	33	
peat	736	1894	67	33	
his	813	1894	44	33	
praise	871	1894	94	33	
,	970	1894	6	33	
Whose	996	1894	112	33	
mercies	1118	1894	121	33	
are	1251	1894	46	33	
so	1309	1894	31	33	
great	1351	1894	78	33	
,	1433	1894	7	33	
Whose	1474	1894	110	33	
anger	1595	1894	87	33	
is	1694	1894	26	33	
so	1740	1894	34	33	
slow	1786	1894	72	33	
to	1874	1894	28	33	
rise	1914	1894	62	33	
,	1980	1894	7	33	
Whose	2010	1894	112	33	
anger	2142	1894	90	33	
is	2243	1894	26	33	
so	2297	1894	35	33	
slow	2351	1894	72	33	
to	2438	1894	32	33	
rise	2487	1894	57	33	
,	2548	1894	8	33	
So	2792	1894	42	23	
rea	2922	1900	52	17	
HITCHCOCK	3183	326	220	30	
,	3410	329	12	28	
dy	3055	1893	39	26	
to	3119	1890	35	26	
#	3315	727	38	50	
®	3351	727	30	50	
WETMORE	3317	1281	202	26	
.	3522	1281	12	26	
a	3267	1893	21	21	
-	3312	1891	16	22	
bate	3353	1890	69	19	
.	3422	1888	10	22	
Elt	3340	2051	254	119	
