content	x	y	w	h	
150	392	377	84	36	
SOPRANO	420	567	139	25	
.	562	567	9	25	
ALTO	442	827	84	22	
.	528	827	7	22	
TENOR	428	1035	107	25	
.	539	1035	7	25	
BASS	443	1251	78	24	
.	522	1251	8	24	
f	381	1437	108	134	
b	464	1480	28	39	
b	508	1479	33	39	
b	463	2407	30	42	
b	512	2405	30	42	
f	389	1930	97	111	
Di	388	2142	78	46	
b	484	2142	33	46	
bb	463	2194	80	37	
to	558	2191	69	39	
b	458	2604	67	43	
Ə	392	3069	53	45	
:	442	3069	28	45	
b	485	3069	36	45	
·	464	2893	21	38	
b	468	2893	22	38	
-	496	2893	23	38	
b	516	2893	27	38	
.	547	2893	14	38	
b	470	3116	28	42	
b	517	3122	27	42	
of	634	515	115	125	
What	554	1590	103	27	
Grief	554	1632	97	26	
①	640	764	82	148	
FLORENCE	855	377	313	41	
.	1171	379	10	39	
(	1277	380	22	49	
A	1294	380	31	49	
FUNERAL	1357	380	222	49	
DIRGE	1607	380	144	49	
.	1752	380	10	49	
)	1764	380	18	49	
(	1631	435	22	47	
6s	1652	434	49	47	
&	1720	434	35	47	
5s	1772	433	52	47	
.	1822	433	12	47	
)	1834	432	19	47	
P	847	486	46	45	
2	706	759	29	47	
-	722	759	25	47	
b	742	759	33	47	
b	723	808	33	47	
be	768	809	90	49	
4.	822	1142	31	33	
No	886	1141	51	34	
,	940	1140	7	34	
dear	994	1140	78	33	
-	1087	1139	12	34	
est	1114	1139	51	33	
Die	652	1209	127	79	
e	805	1236	58	67	
d	890	1251	41	64	
b	733	1225	47	43	
·	722	1269	27	42	
b	724	1269	26	42	
b	773	1269	28	42	
7	888	1217	79	70	
sin	605	2764	50	29	
1.	821	661	32	27	
Hark	874	661	95	27	
to	1013	662	37	27	
the	1106	661	61	28	
2.	822	706	28	27	
Earth	876	705	104	28	
is	1015	704	28	28	
all	1110	705	49	28	
va	1240	712	39	24	
-8	885	897	46	22	
3.	824	922	27	28	
When	871	922	105	28	
in	1019	922	35	28	
their	1095	922	87	28	
low	1222	922	65	28	
ly	1354	925	42	37	
bed	1420	920	71	35	
P	851	966	42	45	
Cres	892	1395	77	28	
.	967	1395	10	28	
end	599	2996	64	36	
-	684	2999	14	35	
ing	723	3000	58	37	
thus	587	2514	79	27	
to	729	2518	37	23	
say	831	2525	61	28	
,	891	2525	12	28	
hopes	580	2559	104	33	
de	734	2553	43	36	
cay	834	2568	60	28	
,	896	2569	9	27	
J	1103	1706	89	95	
When	554	1835	108	41	
joyful	701	1835	151	41	
wings	876	1835	102	41	
are	995	1835	56	41	
spread	1067	1835	120	41	
,	1190	1835	5	41	
To	1228	1835	46	41	
heaven	1318	1835	128	41	
are	1461	1835	59	41	
Cres	893	1880	76	29	
.	969	1880	8	29	
mf	1210	1881	60	37	
Let	576	2070	64	40	
their	682	2070	88	40	
free	791	2070	71	41	
spi	897	2071	53	40	
-	966	2071	12	40	
rits	994	2071	60	41	
go	1102	2084	44	26	
,	1146	2084	8	26	
-to	908	2406	55	32	
and	726	2758	62	40	
pain	840	2764	78	41	
to	1081	1476	63	31	
1	999	1897	10	4	
Dim	1001	2321	75	26	
.	1081	2320	8	27	
-8	1106	1947	37	21	
do	708	1584	43	37	
its	803	1584	46	37	
wail	887	1585	79	37	
-	976	1585	12	37	
ings	998	1585	73	37	
tell	1095	1586	60	37	
,	1158	1586	7	37	
On	1223	1586	53	30	
the	1338	1588	60	27	
ear	1452	1586	57	37	
stealing	1561	1586	183	37	
?	1749	1586	16	37	
is	709	1631	32	28	
in	803	1630	36	28	
all	895	1630	51	28	
its	997	1628	45	39	
joy	1091	1628	59	40	
,	1153	1629	7	39	
Smiles	1191	1629	119	40	
with	1329	1630	79	40	
tears	1432	1631	88	40	
meeting	1551	1632	186	40	
;	1747	1633	9	39	
9700	966	1671	79	18	
Loved	1003	2512	114	30	
Pass	1016	2558	80	26	
so	1240	662	36	32	
-	1291	662	15	32	
lemn	1316	662	90	32	
bell	1423	662	69	32	
,	1494	662	7	32	
nity	1361	700	112	44	
,	1476	711	8	34	
Call	1032	2765	73	27	
Dim	1002	2807	75	29	
.	1079	2807	9	29	
d	1038	3111	37	30	
●	1165	1897	11	4	
Je	1232	1139	42	32	
sus	1354	1144	53	33	
,	1411	1147	6	30	
no	1433	1148	41	33	
;	1487	1151	7	30	
mf	1211	1395	57	37	
3	1317	941	10	4	
ing	724	3000	58	37	
joy	829	3003	58	37	
,	886	3005	10	35	
Theirs	1001	3000	111	29	
bis	1156	2998	78	30	
Ransomed	1211	2072	221	27	
for	1453	2073	50	27	
.	1525	2090	13	7	
e	1635	570	43	28	
Mourn	1590	658	118	40	
-	1722	659	15	39	
fully	1748	659	145	41	
False	1607	708	97	26	
as	1755	716	35	18	
'	1843	706	8	27	
tis	1852	706	43	27	
Si	1510	2718	45	24	
back	1184	2765	84	25	
their	1306	2765	85	25	
souls	1449	2764	92	28	
the	1322	3001	58	26	
vic	1464	3000	55	29	
Loved	1602	921	115	34	
ones	1748	924	74	33	
are	1847	927	57	33	
2	1637	1027	40	32	
To	1632	1143	48	25	
ev	1572	2083	39	19	
F	1546	2143	87	92	
Juff	1645	1408	67	25	
fly	1577	1838	49	37	
-	1645	1838	17	37	
ing	1687	1838	59	37	
;	1752	1838	12	37	
a	1649	2091	10	4	
ones	1203	2525	76	17	
have	1324	2507	86	42	
passed	1447	2509	122	43	
away	1612	2512	142	43	
?	1766	2514	15	41	
like	1204	2554	68	32	
morn's	1304	2557	116	34	
gems	1451	2563	93	33	
&	1609	2568	20	18	
way	1681	2569	72	27	
,	1754	2570	10	27	
thee	1745	1142	75	33	
,	1823	1143	6	32	
our	1854	1144	58	32	
O	1652	2575	10	4	
er	1699	2084	35	17	
:	1745	2085	10	17	
●	1647	2782	13	5	
a	1603	2774	23	20	
gain	1680	2766	77	34	
,	1757	2766	9	34	
to	1599	2998	32	32	
ry	1699	3007	39	32	
