content	x	y	w	h	
FOR	497	213	64	20	
BIBLE	588	213	95	20	
SOCIETIES	712	213	171	20	
.	888	213	6	20	
2	294	265	21	31	
Go	340	265	54	31	
-	400	265	26	31	
and	438	265	64	31	
wherever	520	266	171	31	
man	709	267	74	31	
has	800	267	56	31	
trod	875	267	71	32	
,	954	268	8	31	
Where	382	308	127	35	
there	522	308	92	35	
is	630	308	27	35	
one	673	308	61	35	
for	751	308	50	35	
whom	819	308	106	35	
Christ	945	308	110	35	
died	1069	308	72	35	
,	1147	308	8	35	
Open	340	350	99	37	
the	454	350	56	37	
treasures	525	350	163	37	
of	706	350	39	37	
our	756	350	58	37	
God	833	350	74	37	
,	911	350	9	37	
And	385	390	72	30	
tell	476	390	58	30	
them	547	390	86	30	
of	652	390	39	30	
the	709	390	55	30	
Crucified	783	390	158	30	
.	946	390	8	30	
A	984	390	29	30	
bas	663	429	65	31	
yli	740	431	49	31	
3	299	460	20	40	
Fly	343	460	62	40	
-	410	461	29	40	
fly	448	461	44	40	
on	507	461	41	41	
wing	565	462	87	41	
of	668	463	39	40	
angel	726	464	97	40	
speed	835	465	97	40	
,	938	466	9	40	
ond	949	466	59	40	
A	1025	466	32	40	
And	385	499	74	37	
bear	475	500	80	38	
the	570	502	56	38	
news	643	503	87	39	
of	748	505	35	37	
dying	803	506	97	38	
grace	918	508	97	39	
,	1020	510	7	37	
Say	342	547	67	35	
,	412	546	8	36	
Jesus	437	546	90	35	
is	544	545	25	36	
the	588	545	52	36	
Christ	658	545	105	35	
indeed	781	544	116	35	
,	903	543	8	36	
And	385	589	74	31	
ransom'd	475	589	164	32	
ALL	658	591	62	31	
the	736	591	54	32	
human	807	592	121	32	
race	945	593	77	31	
.	1024	594	8	31	
5	299	856	22	39	
Onward	345	856	144	41	
in	511	859	32	39	
thy	562	859	57	40	
triumphant	635	861	201	41	
way	853	864	75	40	
,	931	865	9	39	
Thou	387	900	96	37	
message	499	900	143	38	
of	659	901	36	37	
the	716	901	54	37	
Holy	796	901	88	38	
One	901	902	75	37	
,	981	902	8	37	
Thy	346	943	74	38	
truth	435	943	89	38	
shall	540	944	84	38	
usher	641	944	95	39	
in	752	945	29	38	
the	802	945	55	38	
day	873	945	63	39	
,	939	946	10	38	
The	389	988	71	36	
reign	474	987	93	37	
of	583	986	39	37	
God's	640	986	102	37	
beloved	760	986	135	36	
Son	913	985	67	36	
.	983	984	8	37	
4	298	662	21	38	
The	345	662	70	38	
veil	431	662	67	38	
of	512	662	40	38	
ignorance	568	662	175	38	
shall	760	662	83	38	
rend	859	662	79	38	
,	943	662	9	38	
And	387	705	74	40	
light	477	705	85	40	
shall	576	705	86	40	
pass	676	705	70	40	
through	762	705	141	40	
error's	921	705	121	40	
night	1059	705	93	40	
,	1156	705	8	40	
And	344	747	74	29	
idols	436	747	80	29	
of	533	747	38	29	
the	590	747	56	29	
earth	663	747	90	29	
shall	771	747	86	29	
bend	870	747	83	29	
Beneath	386	785	150	39	
the	548	786	56	39	
glory	617	787	96	39	
of	727	788	38	38	
thy	778	788	57	39	
might	851	789	105	39	
.	960	790	9	38	
979	217	1061	122	39	
†	343	1059	18	42	
1	302	1135	22	30	
RESIT	997	541	100	21	
S	1117	536	21	24	
