content	x	y	w	h	
3	-7	1399	16	20	
e	-7	1443	23	22	
5	-7	1579	21	23	
3	-8	1816	27	28	
K	-7	1864	21	20	
3	-8	2052	25	27	
0	-3	2104	19	21	
5	-8	2143	26	33	
)	-5	2142	22	33	
Catechismuslieder	491	159	486	36	
.	973	159	11	36	
115	1279	165	64	27	
die	147	248	47	48	
nun	207	248	68	48	
Gottes	292	248	116	48	
tempel	427	248	113	48	
feind	554	248	82	48	
,	644	248	9	48	
Die	669	248	64	48	
bleiben	147	295	115	43	
für	275	295	55	43	
dem	358	295	67	43	
bösen	451	295	92	43	
feind	570	295	83	43	
In	683	295	47	43	
deiner	149	345	99	41	
gnade	265	345	98	41	
sicher	378	345	89	41	
.	469	345	9	41	
7.	170	388	34	44	
O	227	388	37	44	
Herr	277	388	80	44	
!	372	388	11	44	
an	399	388	40	44	
diese	454	388	76	44	
würdigkeit	542	388	181	44	
,	725	388	9	44	
2.	790	388	35	44	
Ja	848	388	51	44	
!	909	388	10	44	
es	954	388	34	44	
schallet	1019	388	125	44	
allermeist	1185	388	162	44	
Die	151	435	62	39	
du	228	435	41	39	
mir	286	435	60	39	
wollen	370	435	110	39	
schenken	506	435	133	39	
,	645	435	8	39	
Laß	667	435	63	39	
Dieses	768	435	110	39	
wort	912	435	83	39	
in	1027	435	29	39	
unsern	1088	435	113	39	
ohren	1233	435	93	39	
:	1337	435	13	39	
mich	149	484	72	42	
jetzund	239	483	118	43	
und	375	483	62	42	
allezeit	458	482	115	43	
In	596	482	45	42	
mei	661	481	58	43	
-	722	481	11	43	
Wer	765	481	77	43	
durch	860	480	84	43	
waffer	960	480	107	43	
und	1081	479	61	43	
durch	1159	479	84	43	
Geist	1261	479	87	42	
ner	151	530	51	43	
noth	213	530	76	43	
gedenken	301	530	144	43	
,	448	530	8	43	
Daß	466	530	75	43	
ich	555	530	37	43	
dadurch	606	530	126	43	
Nicht	767	530	93	43	
zuvor	874	530	96	43	
ist	989	530	32	43	
neugeboren	1040	530	191	43	
,	1234	530	9	43	
Wird	1253	530	93	43	
ein	152	578	44	41	
herze	224	578	86	41	
faß	325	578	55	41	
,	385	578	10	41	
Und	421	578	70	41	
immer	522	578	109	41	
mich	660	578	72	41	
von	769	578	61	41	
dir	847	578	48	41	
nicht	912	578	78	41	
aufgenommen	1007	578	238	41	
,	1248	578	9	41	
Und	1278	578	71	41	
darauf	152	625	115	40	
verlaß	280	624	108	40	
,	392	623	9	41	
Daß	422	623	76	41	
du	519	623	39	41	
mir	575	622	61	41	
hülf	652	622	73	41	
'	721	622	13	41	
in	769	621	28	41	
Gottes	817	621	114	41	
reich	953	621	75	40	
nicht	1048	620	80	41	
kommen	1142	620	139	40	
.	1282	619	11	41	
versprochen	152	673	190	32	
.	341	671	10	34	
Mel	158	1446	60	53	
.	220	1447	10	52	
Was	246	1448	70	53	
mein	332	1450	67	53	
Gott	415	1452	71	54	
will	493	1454	57	53	
,	551	1456	6	52	
bas	569	1456	48	53	
c	640	1458	13	52	
.	656	1458	7	52	
57	694	1459	37	53	
.	731	1460	11	52	
err	411	1514	48	37	
!	470	1513	10	38	
schaff	497	1513	93	37	
uns	598	1512	61	37	
,	663	1511	9	38	
wie	681	1511	61	37	
189	159	1518	136	71	
.	296	1520	23	69	
die	450	1558	45	29	
kleinen	522	1557	110	29	
find	661	1556	67	29	
,	733	1555	10	30	
In	157	1603	51	50	
unschuld	221	1600	148	48	
neu	381	1594	63	51	
geboren	457	1592	130	48	
,	587	1587	10	53	
Als	607	1586	64	50	
wir	683	1583	59	51	
getauft	159	1647	120	50	
im	293	1642	44	52	
wasser	351	1640	113	49	
sind	469	1635	70	52	
,	540	1633	12	54	
zu	559	1632	54	52	
deinem	624	1630	121	50	
volk	159	1687	71	54	
erkoren	251	1688	122	55	
,	376	1691	10	53	
Daß	408	1691	79	55	
demnach	510	1694	140	55	
sich	671	1697	58	54	
,	732	1698	9	53	
Herr	161	1733	79	58	
Christ	254	1734	104	59	
an	400	1737	40	57	
dich	453	1738	63	58	
Der	528	1740	69	58	
fündlich	609	1741	134	59	
mensch	161	1796	111	38	
ergebe	289	1794	102	39	
,	395	1793	9	40	
Daß	422	1793	76	39	
er	514	1792	30	39	
wohl	557	1791	83	39	
sterb	656	1790	75	39	
,	735	1789	10	40	
Und	160	1840	69	55	
nicht	244	1836	84	55	
verderb	341	1832	126	54	
,	468	1827	11	59	
Mit	489	1826	77	55	
dir	576	1822	51	57	
ersteh	640	1820	91	55	
und	163	1890	59	31	
lebe	237	1888	68	31	
.	305	1887	11	32	
befehl	766	248	103	48	
gegeben	891	248	127	48	
,	1022	248	7	48	
Daß	1058	248	78	48	
man	1153	248	74	48	
sie	1253	248	43	48	
zu	1309	248	38	48	
Christo	768	295	122	43	
führe	928	295	94	43	
,	1023	295	9	43	
Denn	1071	295	97	43	
das	1192	295	60	43	
hims	1265	295	83	43	
melreich	766	340	135	38	
ist	921	342	36	37	
ihre	971	343	64	37	
.	1037	345	8	36	
3.	793	668	34	38	
Darum	851	668	126	38	
eilen	1016	669	78	38	
wir	1130	669	60	39	
zu	1220	670	39	38	
dir	1292	670	49	39	
,	1341	671	9	38	
8.	173	715	35	42	
Ich	230	715	56	42	
hab	298	715	64	42	
'	366	715	10	42	
auch	387	715	75	42	
bei	475	715	48	42	
dem	536	715	62	42	
wasser-	615	715	121	42	
Nimm	768	715	111	42	
das	899	715	58	42	
pfand	970	715	97	42	
von	1086	715	63	42	
unsern	1165	715	111	42	
ar	1301	715	37	42	
bad	153	761	58	43	
Mich	231	761	87	43	
dir	338	761	47	43	
zum	394	761	67	43	
dienst	488	761	93	43	
verbun	604	761	115	43	
-	725	761	11	43	
men	769	761	68	43	
,	841	761	8	43	
Tritt	859	761	88	43	
mit	962	761	58	43	
deinem	1037	761	116	43	
glanz	1177	761	93	43	
her	1284	761	55	43	
den	156	809	52	43	
;	220	809	9	43	
Drum	248	809	102	43	
gib	367	809	47	43	
,	419	809	9	43	
daß	441	809	58	43	
keine	515	809	79	43	
sünden-	606	809	129	43	
für	769	809	53	43	
,	825	809	9	43	
Und	862	809	69	43	
erzeige	952	809	111	43	
dein	1084	809	67	43	
erbarmen	1180	809	161	43	
,	1343	809	11	43	
that	153	855	70	41	
In	233	855	48	41	
mir	298	855	61	41	
werd	375	855	80	41	
'	458	855	11	41	
herrschend	479	855	171	41	
fun-	663	855	73	41	
Daß	770	855	75	41	
es	872	855	32	41	
dein	926	855	69	41	
kind	1021	855	63	41	
hier	1103	855	66	41	
auf	1191	855	59	41	
erden	1261	855	91	41	
den	156	902	53	41	
;	223	902	10	41	
Gib	258	902	64	41	
,	328	902	10	41	
daß	353	902	61	41	
für	430	902	53	41	
deine	501	902	84	41	
güt	602	902	55	41	
und	673	902	62	41	
Und	771	902	68	41	
im	859	902	41	41	
himmel	917	902	132	41	
möge	1070	902	90	41	
werden	1175	902	119	41	
.	1297	902	10	41	
treu	155	950	64	41	
Ich	236	950	56	41	
den	310	950	58	41	
gehorsam	384	950	158	41	
stets	571	950	73	41	
ver	669	950	55	41	
neu	155	997	57	40	
,	214	996	9	41	
Den	238	996	74	41	
ich	332	996	38	41	
da	389	995	42	41	
angelobet	447	995	165	40	
.	611	994	10	41	
9.	177	1039	35	44	
Und	234	1039	69	44	
so	320	1039	31	45	
ich	371	1040	39	44	
was	427	1040	71	44	
aus	519	1041	58	44	
schwach	596	1041	126	45	
heit	154	1089	64	43	
thu	232	1089	55	43	
,	292	1089	8	43	
Das	317	1089	75	43	
wollst	410	1090	98	43	
du	527	1090	40	43	
mir	593	1090	61	43	
ver	670	1091	54	43	
zeihen	154	1136	99	43	
,	257	1136	9	43	
und	288	1136	67	44	
mir	372	1137	62	43	
es	458	1137	32	43	
ja	515	1138	38	43	
nicht	569	1138	78	43	
rech	662	1139	58	43	
nen	158	1182	55	46	
zu	228	1182	37	46	
,	268	1182	9	46	
Die	294	1182	65	46	
gnade	375	1182	98	46	
auch	486	1182	72	46	
verleihen	575	1182	153	46	
,	730	1182	10	46	
Daß	159	1232	72	43	
ich	254	1231	37	44	
an	321	1230	42	44	
dir	391	1230	49	44	
beständig	464	1230	156	43	
bleib	649	1228	78	44	
,	729	1228	11	44	
Bis	158	1264	62	48	
du	238	1265	40	49	
die	296	1266	46	49	
seele	356	1268	76	49	
von	448	1269	60	49	
dem	528	1271	63	50	
leib	617	1273	55	49	
3u	692	1274	48	49	
dir	159	1327	45	36	
hinauf	220	1326	115	36	
wirst	347	1325	84	36	
nehmen	447	1324	131	36	
.	580	1323	14	37	
Dr.	357	1370	41	24	
Justus	407	1369	79	25	
Gesenius	499	1369	102	25	
,	606	1369	7	25	
1671	626	1368	50	25	
.	680	1368	7	25	
Mel	162	1972	61	42	
.	223	1970	11	44	
Liebster	242	1970	108	42	
Jesu	361	1967	68	43	
,	434	1965	10	44	
wir	452	1965	50	43	
sind	516	1964	55	43	
hier	584	1962	56	43	
sc	650	1961	25	43	
.	679	1960	7	44	
45	697	1960	37	43	
.	738	1959	9	44	
iebster	420	2014	106	44	
Jesu	549	2011	77	45	
!	642	2008	11	47	
wir	686	2007	60	46	
190	168	2031	130	60	
.	306	2029	15	61	
sind	431	2067	67	41	
hier	513	2064	68	42	
,	586	2062	8	43	
Deinem	609	2062	136	39	
Dieses	535	2104	113	44	
kind	664	2100	65	46	
worte	163	2115	98	44	
nachzuleben	275	2111	201	41	
.	479	2105	10	47	
lein	169	2161	58	38	
kömmt	253	2160	117	38	
zu	385	2159	37	38	
dir	447	2158	48	39	
,	498	2158	10	39	
Weil	530	2157	87	39	
du	632	2157	39	38	
den	690	2156	55	39	
4.	794	959	34	37	
Wasch	852	958	109	37	
es	982	956	30	38	
,	1019	956	9	38	
Jesu	1043	956	79	37	
!	1136	955	11	38	
durch	1169	954	87	38	
dein	1284	953	68	38	
blut	770	1002	71	35	
Von	870	1002	73	35	
den	968	1002	55	35	
anererbten	1044	1002	177	35	
flecken	1239	1002	103	35	
,	1344	1002	10	35	
Laß	770	1042	64	45	
es	852	1043	29	44	
bald	899	1043	72	44	
nach	986	1044	69	44	
dieser	1071	1044	94	45	
fluth	1179	1045	81	44	
Dei	1277	1045	63	45	
nen	773	1091	56	43	
purpurmantel	842	1091	240	44	
decken	1094	1092	99	44	
,	1197	1093	9	43	
Schenk	1220	1093	129	43	
ihm	775	1139	63	43	
deiner	868	1140	103	43	
unschuld	997	1141	145	43	
seide	1159	1142	83	43	
,	1245	1142	9	43	
Daß	1271	1142	81	44	
es	775	1182	30	46	
sich	822	1182	53	46	
in	894	1182	29	46	
dir	942	1182	49	46	
verkleide	1013	1182	145	46	
.	1159	1182	9	46	
5.	796	1241	34	40	
Mache	853	1241	114	40	
licht	987	1241	73	40	
aus	1090	1241	61	40	
finsterniß	1183	1241	159	40	
,	1345	1241	10	40	
Seß	776	1276	71	49	
es	867	1278	32	48	
aus	918	1279	60	49	
dem	998	1281	64	50	
zorn	1079	1282	73	50	
zur	1170	1284	56	49	
gnade	1242	1286	98	50	
,	1342	1288	9	48	
Heil	776	1332	75	42	
'	841	1332	17	42	
den	896	1332	57	42	
tiefen	999	1333	93	42	
schlangenbiß	1139	1334	217	43	
Durch	776	1384	103	39	
die	899	1384	50	39	
kraft	968	1384	82	39	
im	1066	1384	40	39	
wunderbade	1131	1384	206	39	
;	1346	1384	12	39	
So	776	1461	53	53	
vergeht	849	1463	126	55	
der	994	1467	50	53	
aussaß	1077	1469	120	56	
drinnen	1216	1473	130	54	
.	1349	1476	10	52	
Laß	773	1432	65	39	
hier	866	1431	66	39	
einen	965	1430	88	39	
Jordan	1076	1429	127	39	
rinnen	1234	1427	114	39	
,	1347	1426	12	40	
6.	799	1528	33	40	
Hirte	858	1528	88	40	
!	959	1528	10	40	
nimm	994	1528	98	40	
dein	1120	1528	68	40	
schäflein	1215	1528	142	40	
an	776	1580	43	51	
;	826	1578	14	53	
Haupt	863	1577	113	49	
!	986	1572	12	53	
mach	1018	1571	89	50	
es	1130	1567	34	51	
zu	1178	1565	40	52	
deinem	1239	1563	118	49	
gliede	773	1625	103	50	
;	883	1621	14	54	
Himmelsweg	920	1620	225	45	
!	1154	1611	12	54	
zeig	1193	1610	67	51	
ihm	1292	1606	66	52	
die	778	1671	47	38	
bahn	861	1670	85	39	
;	961	1670	10	39	
Friedefürst	1010	1669	189	38	
!	1212	1668	9	39	
schenk	1258	1668	101	39	
ihm	778	1699	61	54	
den	893	1701	59	54	
frieden	993	1703	116	55	
;	1122	1706	10	53	
Weinstock	1180	1707	169	56	
,	1348	1710	10	53	
hilf	778	1744	63	58	
!	849	1746	9	57	
daß	885	1746	60	58	
dieser	980	1748	94	59	
rebe	1105	1751	69	58	
Auch	1205	1752	83	59	
im	1316	1755	41	58	
glauben	775	1814	137	53	
dich	931	1808	63	56	
umgebe	1008	1805	131	53	
.	1140	1799	11	59	
7.	804	1862	33	41	
Nun	862	1862	78	41	
wir	954	1862	61	41	
legen	1031	1862	88	42	
an	1139	1863	40	41	
dein	1197	1863	68	41	
herz	1279	1863	76	42	
,	1348	1864	14	41	
Was	779	1907	86	39	
vom	890	1908	69	39	
herzen	987	1909	109	40	
ist	1123	1910	37	40	
gegangen	1191	1911	157	41	
,	1352	1913	10	39	
Führ	778	1958	90	42	
'	869	1956	10	44	
die	910	1955	47	43	
seufzer	981	1953	113	42	
himmelwärts	1113	1950	233	39	
,	1349	1945	10	44	
Und	780	2005	68	46	
erfülle	861	2003	111	45	
das	995	2000	60	46	
verlangen	1079	1998	172	44	
;	1263	1994	12	47	
Ja	1298	1993	52	47	
,	1350	1992	12	47	
den	780	2057	57	41	
namen	849	2056	113	39	
,	965	2052	11	43	
den	987	2052	58	41	
wir	1051	2050	61	42	
geben	1120	2048	92	41	
,	1213	2046	11	43	
Schreib	1227	2046	135	39	
in's	779	2097	64	45	
lebensbuch	861	2094	177	42	
zum	1049	2089	70	45	
leben	1138	2086	88	44	
.	1226	2084	12	47	
Benjamin	1019	2157	117	27	
Smotle	1147	2157	111	27	
,	1257	2157	9	27	
173K	1276	2157	56	27	
