content	x	y	w	h	
DEATH	702	349	140	27	
.	850	347	7	28	
5	376	434	21	36	
0	422	434	24	36	
Lord	465	434	87	37	
,	557	435	7	36	
accept	582	435	121	37	
the	721	436	56	36	
praise	799	437	117	36	
Of	462	476	46	34	
these	525	477	95	35	
our	638	478	61	35	
humble	716	480	138	36	
songs	872	482	98	35	
,	975	484	6	34	
Till	421	523	62	31	
strains	499	523	119	31	
of	638	523	38	31	
nobler	694	523	115	31	
sound	828	523	108	31	
we	955	523	48	31	
raise	1020	523	87	31	
With	461	563	90	34	
our	569	564	61	34	
immortal	645	565	169	35	
tongues	830	568	144	35	
.	978	570	10	33	
845	329	702	81	40	
S.	698	702	32	29	
H.	750	702	41	29	
M.	811	702	46	29	
Friends	506	778	150	40	
separated	671	778	181	41	
by	873	779	42	40	
Death	933	779	113	41	
.	1048	780	7	40	
FRI	417	860	127	67	
1	376	851	18	40	
TRIEND	421	851	207	43	
after	646	854	84	41	
friend	749	856	110	41	
departs	878	857	135	42	
;	1025	860	8	40	
Who	508	902	81	30	
hath	609	902	81	30	
not	710	902	60	30	
lost	786	902	64	31	
a	868	903	17	30	
friend	903	903	110	30	
?	1026	903	14	30	
There	420	944	106	28	
is	543	944	28	28	
no	589	944	42	29	
union	649	945	102	28	
here	769	945	79	29	
of	864	946	39	28	
hearts	921	946	113	29	
That	461	986	86	30	
finds	565	986	84	30	
not	667	986	58	31	
here	743	987	78	30	
an	841	987	40	30	
end	897	987	66	31	
:	979	988	9	30	
Were	374	1027	98	35	
this	486	1028	68	35	
frail	572	1028	75	36	
world	667	1029	104	36	
our	790	1030	59	36	
final	868	1031	81	36	
rest	964	1032	71	35	
,	1038	1032	7	35	
Living	374	1074	123	38	
or	512	1074	35	38	
dying	564	1074	106	38	
,	675	1074	5	38	
none	697	1074	87	38	
were	801	1074	86	38	
blest	904	1074	90	38	
.	995	1074	8	38	
MONTGOMERY	957	701	259	32	
2	375	1176	20	38	
Beyond	419	1176	139	39	
the	576	1177	58	38	
flight	651	1178	99	38	
of	768	1179	38	38	
time	824	1179	80	39	
,	908	1180	8	38	
Beyond	462	1221	141	37	
the	620	1221	58	37	
reign	693	1222	96	37	
of	807	1222	39	37	
death	865	1222	101	38	
,	973	1223	7	37	
There	419	1263	109	33	
surely	545	1263	113	33	
is	675	1263	27	33	
some	721	1263	90	33	
blessed	829	1263	136	33	
clime	983	1263	100	33	
Where	461	1301	121	33	
life	598	1303	60	33	
is	674	1304	25	33	
not	720	1305	58	33	
a	796	1307	16	32	
breath	831	1307	117	34	
,	954	1310	8	32	
Nor	375	1346	68	32	
life's	459	1347	86	33	
affections	566	1348	171	34	
transient	756	1350	162	34	
fire	934	1353	58	32	
,	998	1354	9	32	
Whose	374	1390	126	42	
sparks	516	1391	122	42	
fly	656	1392	43	41	
upward	717	1393	142	42	
and	876	1394	64	42	
expire	959	1395	120	42	
.	1080	1396	7	41	
3	376	1490	19	32	
There	420	1490	107	34	
is	543	1493	26	32	
a	590	1493	18	32	
world	625	1494	103	34	
above	746	1496	106	34	
,	857	1498	7	32	
Where	463	1538	119	38	
parting	599	1539	135	39	
is	750	1542	29	37	
unknown	797	1542	170	39	
,	972	1545	8	37	
A	419	1580	30	37	
long	465	1580	82	38	
eternity	563	1581	144	38	
of	725	1583	37	37	
love	779	1583	77	38	
,	860	1584	7	37	
Formed	464	1623	141	36	
for	625	1625	50	35	
the	692	1627	58	34	
good	768	1628	83	35	
alone	871	1630	99	35	
;	980	1632	8	34	
And	377	1664	78	39	
faith	473	1665	85	39	
beholds	576	1666	141	40	
the	734	1668	57	39	
dying	809	1668	106	40	
here	932	1670	83	40	
Translated	378	1704	198	39	
to	593	1707	33	37	
that	645	1708	75	38	
glorious	737	1709	147	40	
sphere	902	1712	121	39	
.	1027	1714	8	37	
4	374	1808	21	39	
Thus	419	1808	90	40	
star	528	1810	68	39	
by	616	1811	43	39	
star	679	1812	68	40	
declines	768	1813	146	41	
,	919	1815	8	39	
Till	464	1852	66	37	
all	543	1854	47	37	
are	605	1855	58	38	
passed	678	1858	124	39	
away	820	1861	94	39	
;	926	1864	8	36	
As	418	1899	48	37	
morning	483	1899	154	38	
high	653	1901	82	37	
and	755	1901	63	38	
higher	837	1902	119	38	
shines	973	1903	114	38	
,	1090	1904	9	37	
To	463	1943	46	37	
pure	525	1943	86	38	
and	628	1944	66	37	
perfect	711	1945	130	38	
day	858	1946	64	37	
;	938	1947	8	37	
Nor	376	1981	67	36	
sink	463	1982	76	37	
those	556	1984	98	37	
stars	671	1986	82	37	
in	773	1988	32	36	
empty	825	1989	112	37	
night	955	1991	97	38	
,	1056	1993	7	36	
But	378	2026	69	35	
hide	464	2027	80	35	
themselves	559	2028	202	37	
in	780	2031	32	35	
heaven's	831	2031	155	37	
own	1005	2034	72	35	
light	1093	2035	87	36	
.	1184	2036	8	35	
560	748	2087	65	27	
