content	x	y	w	h	
100	259	231	65	27	
&	279	573	79	113	
9	277	792	61	60	
-D	335	842	34	27	
4	397	791	31	37	
4	394	389	40	32	
4	393	433	39	33	
1.	444	512	26	26	
Sovereign	490	513	182	31	
grace	704	519	84	28	
has	830	517	53	21	
power	927	525	92	18	
4	394	586	39	33	
b7	284	1178	157	99	
To	381	1124	38	22	
subdue	453	1124	108	22	
a	594	1131	18	15	
THE	673	243	65	21	
HYMNIST	759	243	153	21	
.	916	243	7	21	
SOVEREIGN	529	320	260	27	
GRACE	808	321	151	26	
.	966	321	7	26	
7s	1007	322	38	26	
.	1050	322	7	26	
NA	837	392	174	76	
-D	339	2078	26	28	
2.	445	723	25	22	
When	491	723	90	22	
the	606	723	49	22	
Lord	702	723	75	21	
grace	375	1743	85	17	
is	470	1737	25	21	
was	824	732	55	13	
cru	915	727	48	18	
NE	844	785	114	75	
heart	712	1125	84	21	
of	819	1125	33	21	
a	1085	524	19	15	
pheming	376	1961	137	29	
tongue	525	1958	103	30	
,	633	1957	5	31	
Scoffed	654	1957	103	29	
at	774	1955	29	31	
Je	832	1954	36	31	
sus	933	1966	46	14	
ci	1066	724	26	21	
1	893	1972	11	4	
-	1151	529	10	5	
lone	1206	519	66	25	
,	1274	519	7	25	
Two	379	1321	65	27	
transgressors	451	1322	205	29	
with	711	1319	71	27	
him	812	1319	58	27	
died	906	1319	62	27	
;	981	1319	6	27	
One	1007	1319	58	27	
with	1079	1319	68	27	
vile	1160	1319	55	27	
,	1218	1319	6	27	
bias	1238	1319	62	27	
21	918	1391	132	79	
3	1214	641	39	37	
fied	1213	725	53	24	
,	1270	723	7	25	
#	1249	999	101	82	
stone	914	1125	78	24	
,	997	1124	5	25	
And	1041	1124	63	25	
the	1117	1123	48	25	
mo	1180	1123	42	25	
-	1228	1123	9	25	
ment	1241	1123	77	25	
felt	559	1733	52	28	
,	615	1733	5	28	
Then	652	1733	76	28	
the	743	1733	47	28	
hardest	826	1733	150	28	
heart	1010	1733	81	28	
will	1105	1733	58	28	
melt	1197	1733	70	28	
.	1269	1733	8	28	
as	1041	1966	31	15	
he	1135	1957	34	29	
hung	1193	1959	79	31	
!	1279	1962	9	28	
|	1332	1812	20	4	
|	1331	1831	20	5	
|	1331	1854	20	5	
|	1331	1877	20	5	
.	1331	1898	20	5	
