content	x	y	w	h	
98	384	226	54	31	
9	381	605	48	76	
:	425	610	25	73	
1	445	612	35	74	
9	369	1152	60	58	
:	421	1149	31	60	
9	370	1625	85	81	
Hy	540	224	55	36	
.	593	223	9	37	
139	628	222	106	37	
MODERATO	565	279	169	21	
.	737	279	7	21	
1.	572	475	27	25	
We	628	476	59	26	
are	727	478	55	26	
2.	571	523	30	31	
Mil	626	523	58	32	
-	694	524	13	31	
lions	716	524	84	32	
A	1051	219	31	27	
HOME	1114	219	124	27	
BEYOND	1276	219	167	27	
THE	1481	219	83	27	
TIDE	1603	219	93	27	
.	1704	219	7	27	
(	1734	219	11	27	
New	1748	219	77	27	
.	1827	219	9	27	
)	1841	219	8	27	
out	841	476	60	24	
on	972	478	41	23	
the	1042	473	59	23	
0	1146	483	24	19	
cean	1231	471	80	40	
sailing	1349	471	169	40	
,	1520	471	5	40	
Homeward	1544	471	204	40	
bound	1765	471	109	40	
,	1877	471	5	40	
we	1915	471	49	40	
sweet	1998	471	103	40	
-	2114	471	15	40	
ly	2137	471	39	40	
now	829	526	72	31	
are	964	535	57	18	
safe	1123	523	72	41	
ly	1260	523	36	41	
land	1334	523	82	41	
-	1430	523	13	41	
ed	1459	523	43	41	
0	1562	524	30	31	
-	1625	526	16	31	
ver	1678	527	59	33	
on	1797	536	40	18	
the	1912	522	58	37	
gold	1997	524	82	38	
en	2139	529	39	36	
f	1361	636	48	65	
CHORUS	583	1357	147	32	
.	731	1357	10	32	
Cres	814	1355	85	34	
.	897	1355	11	34	
H	996	866	109	97	
We	566	1011	62	26	
are	688	1020	57	18	
out	788	1010	59	27	
on	905	1019	40	17	
the	990	1010	60	25	
ocean	1095	1010	167	37	
sailing	1299	1010	176	37	
,	1476	1010	8	37	
To	1535	1010	46	37	
a	1663	1021	18	18	
home	1739	1009	99	30	
Millions	567	1059	189	32	
more	775	1062	90	31	
are	939	1072	56	18	
on	1078	1072	41	19	
their	1171	1061	90	40	
journey	1290	1061	185	40	
,	1477	1061	6	40	
Yet	1518	1061	68	40	
there's	1619	1061	125	40	
room	1760	1061	91	40	
-	1188	490	12	6	
All	553	1551	56	27	
the	700	1547	56	29	
storms	772	1547	120	30	
will	912	1548	68	30	
soon	996	1549	77	30	
be	1123	1549	47	29	
E	1477	868	129	90	
#	1495	997	10	12	
0	1242	1558	21	22	
-	1295	1559	15	21	
ver	1331	1560	58	22	
,	1390	1561	8	21	
Then	1467	1551	90	25	
we'll	1618	1550	95	29	
an	1730	1548	43	30	
chor	1814	1546	78	30	
in	1934	1544	36	31	
●	1788	1565	13	4	
8	2104	542	8	4	
#	2254	305	159	130	
glide	2249	470	92	40	
;	2347	471	12	39	
shore	2240	524	97	33	
;	2347	527	9	30	
크	2234	597	178	107	
be	1907	1010	39	38	
-	1947	1008	15	40	
yond	1960	1008	91	37	
the	2101	1004	62	38	
tide	2221	1008	71	29	
.	2294	1009	8	29	
for	1897	1059	49	30	
millions	1976	1059	202	32	
more	2214	1062	94	31	
.	2308	1063	9	30	
afera	2016	1286	116	24	
del	2138	1287	65	24	
[	2250	871	23	19	
TS	2250	885	23	44	
]	2250	931	23	13	
the	2043	1543	58	32	
harbor	2147	1545	170	34	
;	2333	1548	11	32	
