content	x	y	w	h	
LOVE	631	162	112	36	
,	747	159	9	38	
JOY	787	158	79	36	
,	870	157	9	38	
PEACE	908	156	135	34	
.	1044	153	10	38	
2	400	247	19	40	
There	443	247	115	40	
is	570	247	29	40	
,	601	247	7	40	
there	626	247	101	40	
is	743	247	27	40	
,	775	247	6	40	
in	801	247	34	40	
Thy	856	247	80	40	
holy	953	247	86	40	
Word	1060	247	114	40	
,	1176	247	12	40	
A	1232	247	29	40	
Thy	486	289	81	43	
Word	587	289	115	43	
which	718	289	113	43	
can	851	289	62	43	
ne'er	933	289	92	43	
depart	1045	289	123	43	
,	1168	289	8	43	
doo	375	338	58	40	
There	442	337	115	41	
is	572	337	27	41	
a	616	337	20	41	
promise	653	336	151	41	
of	821	336	40	41	
mercy	882	336	117	40	
stored	1017	335	115	41	
For	488	379	70	41	
them	575	379	95	41	
who	689	379	79	41	
are	784	379	58	41	
lowly	858	379	108	41	
of	983	379	39	41	
heart	1043	379	98	41	
.	1144	379	10	41	
A	1180	379	35	41	
"	444	425	21	43	
My	478	424	66	43	
yoke	561	424	92	42	
is	669	423	29	43	
easy	715	423	79	42	
,	799	422	6	43	
my	826	422	59	43	
burden	901	421	132	43	
light	1050	420	98	43	
O	489	470	29	32	
come	535	469	96	31	
unto	649	468	84	31	
me	752	467	55	31	
for	826	466	54	32	
rest	900	465	68	32	
!	980	465	11	32	
"	994	464	16	32	
This	443	511	83	42	
,	530	511	7	42	
this	556	511	67	42	
is	642	511	26	42	
the	685	511	59	42	
promise	761	511	152	42	
of	929	511	39	42	
mercy	987	511	120	42	
,	1109	511	9	42	
stored	1135	511	115	42	
For	489	553	71	46	
the	576	553	59	46	
wounded	653	553	170	46	
and	842	553	68	46	
weary	931	553	115	46	
breast	1063	553	115	46	
.	1180	553	8	46	
247	353	734	106	41	
.	456	734	14	41	
alomat	1034	694	159	29	
11	1211	692	46	30	
broyed	586	729	141	42	
18s	738	729	83	42	
.	826	729	9	42	
M.	860	730	60	42	
od	937	730	46	42	
on	998	730	44	42	
was	1061	730	78	42	
W	1167	731	40	42	
244	336	1269	109	51	
1	446	800	19	46	
How	494	800	90	46	
precious	601	800	156	46	
when	776	800	101	46	
first	898	800	73	46	
I	988	800	18	46	
believed	1026	800	156	46	
,	1183	800	12	46	
Did	537	846	70	41	
Jesus	627	846	99	41	
my	745	846	63	41	
Saviour	825	847	148	41	
appear	994	847	130	42	
!	1132	848	11	41	
When	494	887	119	43	
him	632	887	72	44	
as	722	888	34	43	
my	776	888	60	44	
Lord	856	889	94	43	
