content	x	y	w	h	
80	278	281	55	34	
SELECT	649	280	207	35	
HYMNS	896	279	192	35	
AND	1128	278	113	35	
TUNES	1280	277	182	36	
.	1465	277	10	36	
SAVIOR	296	431	146	35	
,	445	431	7	35	
LIKE	468	431	95	35	
A	583	431	25	35	
SHEPHERD	626	431	211	35	
LEAD	857	431	104	35	
US	982	431	43	35	
.	1029	431	8	35	
AND	1523	431	83	35	
EVERLAST	1625	431	206	35	
HOME	521	467	35	10	
E	647	465	10	12	
SHPS	683	464	28	11	
Key	501	500	69	28	
D.	580	497	38	30	
89	652	499	33	30	
,	686	498	9	31	
79	707	498	31	30	
&	749	497	24	31	
49	781	496	36	31	
.	817	496	9	31	
1	311	553	16	32	
SAVIOR	345	553	113	32	
,	463	553	5	32	
like	481	553	63	32	
a	557	553	16	32	
shepherd	587	553	152	32	
lead	753	553	67	32	
us	834	553	36	32	
,	872	553	7	32	
Much	378	584	91	32	
we	485	584	40	32	
need	539	584	76	33	
thy	629	585	53	32	
tenderest	695	585	153	33	
care	860	586	69	32	
;	939	586	8	32	
In	344	620	37	32	
thy	392	620	53	32	
pleasant	458	620	134	32	
pastures	603	620	137	32	
feed	753	620	67	32	
us	835	620	36	32	
,	873	620	8	32	
For	379	650	58	32	
our	451	650	54	33	
use	517	651	54	32	
thy	583	651	52	33	
folds	650	652	76	33	
prepare	740	653	126	33	
.	867	654	7	32	
Blessed	412	685	126	28	
Jesus	551	685	89	28	
,	645	685	4	28	
blessed	665	685	117	28	
Jesus	797	685	89	28	
,	889	685	7	28	
Thou	379	718	85	32	
hast	479	718	67	32	
bought	559	718	114	33	
us	687	719	33	32	
,	725	719	4	32	
thine	745	719	84	32	
we	841	719	42	33	
are	896	720	50	32	
;	954	720	9	32	
Blessed	411	751	125	29	
Jesus	550	751	90	29	
,	644	751	4	29	
blessed	663	751	118	29	
Jesus	796	751	89	29	
,	888	751	7	29	
Thou	378	786	87	31	
hast	479	786	68	31	
bought	560	786	114	31	
us	687	786	34	31	
,	726	786	5	31	
thine	745	786	83	31	
we	841	786	43	31	
are	896	786	52	31	
.	948	786	8	31	
2	309	862	18	28	
We	346	862	50	28	
are	410	862	50	28	
thine	474	862	82	28	
,	560	862	4	28	
do	581	862	38	28	
thou	632	862	73	28	
befriend	718	862	133	28	
us	866	862	35	28	
,	905	862	7	28	
Be	379	892	42	30	
the	433	892	51	30	
Guardian	498	893	148	31	
of	660	894	31	31	
our	705	895	54	30	
way	772	896	64	30	
;	843	896	9	30	
Keep	345	929	87	30	
thy	444	928	55	31	
flock	511	927	77	31	
,	594	927	4	31	
from	614	927	74	30	
sin	705	926	44	31	
defend	764	925	107	31	
us	887	925	34	30	
,	925	924	7	31	
Seek	376	963	80	29	
us	470	963	34	29	
when	516	963	87	29	
we	615	963	43	29	
go	671	963	36	29	
astray	721	963	98	29	
.	819	963	11	29	
Blessed	411	992	125	30	
Jesus	550	992	88	30	
,	642	992	5	30	
blessed	663	992	118	30	
Jesus	796	992	89	30	
,	888	992	7	30	
Hear	376	1027	81	33	
young	469	1027	102	33	
children	581	1027	136	33	
when	731	1027	84	33	
they	828	1027	73	33	
pray	913	1027	72	33	
.	987	1027	8	33	
3	308	1106	16	30	
Thou	344	1106	84	30	
hast	443	1106	67	30	
promised	522	1106	153	30	
to	689	1106	30	30	
receive	731	1106	118	30	
us	861	1106	35	30	
,	899	1106	7	30	
Poor	376	1137	77	32	
and	464	1137	58	32	
si	535	1137	23	32	
iful	568	1137	55	32	
though	634	1137	116	32	
we	763	1137	41	32	
be	818	1137	37	32	
;	865	1137	8	32	
Thou	344	1171	85	32	
hast	444	1171	67	32	
mrercy	525	1171	104	32	
to	642	1171	28	32	
relieve	685	1171	111	32	
us	809	1171	36	32	
,	848	1171	8	32	
Grace	377	1205	94	30	
to	483	1205	29	30	
cleanse	524	1205	121	30	
,	647	1205	6	30	
and	667	1205	58	30	
power	739	1205	98	30	
to	849	1205	31	30	
free	891	1205	62	30	
.	956	1205	7	30	
Blesse	411	1236	105	28	
Jesus	552	1236	89	28	
,	645	1237	4	28	
blessed	665	1237	119	28	
Jesus	800	1237	90	29	
,	893	1238	8	28	
Let	377	1273	55	28	
us	446	1272	33	29	
early	494	1272	81	28	
turn	586	1271	68	29	
to	666	1271	29	29	
thee	709	1271	72	28	
.	782	1270	8	29	
4	306	1348	17	31	
