content	x	y	w	h	
THEI	1263	160	323	50	
GOLDEN	411	321	927	115	
CROWN	1471	324	784	111	
.	2291	324	28	111	
A	961	544	26	27	
NEW	1016	544	88	27	
AND	1137	544	84	27	
CHOICE	1254	544	145	27	
COLLECTION	1432	544	252	27	
OF	1716	544	47	27	
HYMNS	581	669	543	78	
AND	1203	669	315	78	
TUNES	1599	669	511	78	
.	2129	669	24	78	
ORIGINAL	1030	846	196	34	
AND	1258	847	86	34	
SELECTED	1375	848	203	35	
,	1584	850	8	33	
FOR	1624	850	75	34	
SABBATH	512	970	369	49	
SCHOOLS	912	970	341	49	
AND	1287	970	165	49	
THE	1486	970	152	49	
HOME	1671	970	219	49	
CIRCLE	1926	970	277	49	
.	2207	970	12	49	
By	1050	1124	75	47	
H.	1158	1123	66	48	
T.	1254	1123	55	48	
MERRILL	1342	1122	306	47	
.	1655	1121	13	48	
"	916	1341	23	33	
O	943	1341	26	33	
sing	986	1341	81	33	
unto	1083	1341	85	33	
the	1184	1341	55	33	
Lord	1258	1341	91	33	
a	1366	1341	22	33	
new	1407	1341	70	33	
song	1498	1341	85	33	
.	1585	1341	17	33	
"	1593	1341	23	33	
-	1616	1341	31	33	
Ps	1652	1341	39	33	
.	1693	1341	8	33	
96	1711	1341	33	33	
:	1751	1341	8	33	
1	1775	1341	19	33	
.	1791	1341	9	33	
9	2138	737	18	25	
CINCINNATI	1096	1547	499	43	
:	1610	1550	13	40	
PUBLISHED	660	1613	428	33	
BY	1135	1615	93	32	
JOHN	1268	1616	189	32	
CHURCH	1501	1617	291	33	
&	1843	1618	38	32	
CO	1927	1619	86	32	
.	2019	1619	14	32	
,	2037	1619	13	32	
66	1005	1670	47	34	
WEST	1075	1671	144	35	
FOURTH	1245	1673	207	37	
STREET	1485	1677	194	36	
.	1684	1680	9	34	
