content	x	y	w	h	
118	165	198	69	35	
2	305	371	34	29	
4	299	411	46	39	
1.	293	485	27	26	
Come	338	485	104	26	
and	456	485	66	27	
be	539	486	39	26	
a	604	486	18	26	
Christian	637	486	171	27	
,	817	487	8	26	
Je	870	486	42	27	
sus	947	487	55	27	
calls	1016	487	81	28	
thee	1112	489	79	28	
now	1205	490	76	28	
;	1291	491	12	27	
2.	291	518	30	28	
Come	335	518	103	28	
and	453	519	67	28	
be	537	519	38	28	
a	605	520	17	28	
Christian	637	520	173	29	
,	817	521	7	28	
Ere	872	520	64	25	
it	971	520	27	25	
be	1034	520	42	25	
too	1094	521	57	25	
late	1184	521	72	25	
:	1265	522	11	25	
3.	292	550	27	29	
Come	339	550	103	29	
and	455	551	68	29	
be	539	551	37	29	
a	603	551	17	29	
Christian	635	552	171	30	
,	814	553	6	29	
Meekly	868	553	136	30	
bear	1021	554	79	30	
the	1114	555	59	29	
cross	1187	555	90	30	
,	1279	556	8	29	
4.	290	583	28	27	
Come	339	583	103	28	
and	457	584	67	27	
be	540	585	38	27	
a	606	585	17	27	
Christian	637	585	173	29	
,	815	587	7	27	
Fly	871	588	62	32	
from	947	588	88	32	
Satan's	1052	588	133	32	
power	1202	588	115	32	
,	1320	588	6	32	
404	247	720	95	47	
f	178	940	110	141	
Hear	262	1082	95	32	
his	380	1082	53	32	
wondrous	449	1082	183	32	
mercy	648	1082	115	32	
Tell	784	1082	69	32	
of	891	1082	36	32	
sins	943	1082	70	32	
for	1046	1082	48	32	
-	1099	1082	11	32	
given	1114	1082	102	32	
,	1222	1082	6	32	
Je	260	1118	41	23	
sus	367	1116	57	32	
will	445	1116	74	32	
not	538	1116	62	32	
always	634	1116	130	32	
O	785	1116	24	32	
-	828	1116	12	32	
pen	858	1116	66	32	
mercy's	949	1116	143	32	
door	1108	1116	82	32	
:	1197	1116	10	32	
Ne	262	1148	51	32	
ver-	361	1148	87	32	
fading	461	1148	118	32	
treasures	594	1148	168	32	
Are	785	1148	68	32	
reserved	883	1148	155	32	
for	1054	1148	51	32	
all	1135	1148	47	32	
Then	261	1181	96	32	
with	373	1181	85	32	
joy	469	1181	59	32	
and	542	1182	68	32	
rapture	624	1182	139	32	
,	768	1182	5	32	
Sing	786	1183	83	32	
-	873	1183	10	32	
ing	885	1183	61	32	
as	980	1183	39	32	
we	1056	1187	49	21	
go	1139	1189	41	21	
,	1185	1190	6	21	
To	414	1585	28	1	
BE	1053	212	79	32	
A	1160	212	35	32	
CHRISTIAN	1223	212	326	32	
.	1554	212	13	32	
CHORUS	450	1483	150	29	
.	602	1483	11	29	
P	576	1774	9	9	
AD	627	1773	27	12	
449	686	1773	27	12	
SLEE	1150	1299	33	6	
-17	1216	984	43	25	
BE	1310	1029	18	10	
Words	1477	268	119	31	
and	1616	268	68	32	
Music	1705	269	106	31	
by	1832	270	41	31	
A.	1897	270	40	31	
D.	1952	270	38	32	
FILLMORE	2005	271	193	32	
.	2202	272	7	31	
To	1355	489	45	31	
his	1416	489	52	31	
gracions	1482	489	157	31	
gospel	1653	489	114	31	
,	1773	489	6	31	
Life	1355	522	71	31	
is	1446	522	26	31	
passing	1488	522	137	31	
swiftly	1640	522	128	31	
,	1774	522	6	31	
For	1352	555	65	30	
the	1430	555	59	30	
love	1502	555	77	30	
of	1594	555	36	30	
Jesus	1647	555	130	30	
,	1784	555	6	30	
To	1346	588	45	32	
the	1406	588	59	32	
claims	1479	588	120	32	
of	1614	588	37	32	
Je	1660	588	39	32	
-	1703	588	9	32	
sus	1716	588	54	32	
,	1776	588	6	32	
#	1414	654	112	131	
Sinner	1824	489	125	31	
,	1955	489	5	31	
humbly	1983	489	145	31	
bow	2144	489	72	31	
.	2221	489	10	31	
Moments	1819	522	170	31	
will	2006	522	70	31	
not	2089	522	63	31	
wait	2165	522	82	31	
.	2249	522	8	31	
Count	1821	555	110	30	
all	1947	555	45	30	
else	2007	555	67	30	
but	2088	555	60	30	
loss	2164	555	68	30	
.	2235	555	7	30	
Yield	1820	588	96	32	
this	1933	588	68	32	
very	2023	588	82	32	
hour	2131	588	89	32	
.	2224	588	9	32	
70	1630	1290	27	9	
REFE	1938	698	27	8	
Vic	1255	1082	61	32	
-	1330	1082	13	32	
t'ry	1355	1082	67	32	
o	1468	1081	19	29	
-	1497	1081	14	29	
ver	1520	1081	62	29	
Sa	1610	1081	43	29	
-	1656	1081	11	29	
tan	1670	1081	60	29	
,	1736	1081	8	29	
And	1793	1082	78	23	
a	1910	1083	19	23	
home	1948	1083	102	23	
in	2070	1083	35	23	
heaven	2127	1083	135	23	
.	2266	1083	8	23	
When	1254	1114	112	32	
he	1386	1114	43	32	
comes	1443	1114	113	32	
in	1568	1114	34	32	
judgment	1612	1114	183	32	
,	1800	1114	5	32	
Then	1818	1114	94	32	
he'll	1928	1114	87	32	
plead	2029	1114	100	32	
no	2143	1114	45	32	
more	2203	1114	95	32	
.	2299	1114	8	32	
Who	1252	1145	87	29	
will	1353	1145	72	30	
come	1436	1146	95	30	
to	1545	1147	33	29	
Je	1594	1148	39	29	
-	1637	1148	10	29	
sus	1651	1148	56	29	
,	1711	1149	6	29	
And	1784	1149	79	22	
obey	1912	1150	120	26	
his	2066	1148	53	27	
call	2155	1147	66	27	
.	2223	1146	9	28	
We	1253	1177	62	30	
will	1348	1178	72	31	
haste	1433	1179	98	31	
to	1551	1180	32	31	
glo	1602	1181	54	31	
-	1668	1182	11	30	
ry	1690	1182	39	31	
,	1732	1183	8	30	
Leaving	1788	1182	151	28	
all	1976	1180	47	30	
be	2057	1179	41	30	
-	2111	1179	13	30	
low	2134	1178	66	30	
.	2204	1178	10	30	
雪	2177	668	133	102	
O	327	1666	24	33	
,	355	1666	8	33	
won't	376	1666	107	33	
you	495	1666	69	33	
be	579	1666	38	33	
a	630	1666	18	33	
Christian	663	1666	174	33	
!	849	1666	8	33	
Quickly	870	1666	152	33	
make	1037	1666	105	33	
your	1156	1666	86	33	
choice	1256	1666	117	33	
;	1383	1666	7	33	
Jesus	1411	1666	96	33	
now	1523	1666	76	33	
is	1615	1666	27	33	
pleading	1656	1666	162	33	
,	1824	1666	6	33	
Hear	1844	1666	92	33	
his	1951	1666	52	33	
welcome	2019	1666	161	33	
voice	2194	1666	97	33	
!	2300	1666	11	33	
W	1848	1811	10	7	
