content	x	y	w	h	
F.W.R.	1614	268	115	28	
139	1745	252	85	32	
!!	473	387	132	102	
F	641	391	88	93	
E	1749	375	96	86	
1.	354	504	31	39	
Thou	412	504	94	39	
know	516	504	101	39	
-	620	504	11	39	
est	636	504	52	39	
how	701	504	76	39	
each	791	504	82	39	
word	888	504	91	39	
of	991	504	37	39	
Thine	1039	504	106	39	
Hath	1159	504	91	39	
pierc'd	1261	504	131	39	
the	1404	504	58	39	
soul	1474	504	75	39	
be	1560	504	40	39	
-	1604	504	11	39	
fore	1620	504	71	39	
Thee	1702	504	90	39	
;	1800	504	7	39	
2.	353	547	34	38	
Thou	410	547	96	38	
know	517	547	99	38	
-	621	547	11	38	
est	637	547	51	38	
earth	697	547	95	38	
was	806	547	66	38	
count	885	547	102	38	
-	991	547	11	38	
ed	1006	547	38	38	
dross	1057	547	93	38	
,	1157	547	5	38	
As	1173	547	45	38	
heav	1234	547	85	38	
-	1323	547	10	38	
en's	1340	547	73	38	
hopes	1426	547	107	38	
drew	1547	547	90	38	
near	1651	547	81	38	
-	1734	547	12	38	
er	1749	547	37	38	
;	1792	547	8	38	
3.	356	593	29	28	
Thou	413	593	95	28	
know	519	593	99	28	
-	624	593	11	28	
est	640	593	51	28	
what	703	593	92	28	
I	823	593	20	28	
can-	886	589	76	40	
not	974	589	59	40	
speak	1049	589	106	40	
,	1158	589	6	40	
For	1175	589	61	40	
grief	1264	589	91	40	
my	1381	589	54	40	
soul	1465	589	76	40	
is	1579	589	27	40	
fill	1653	589	48	40	
-	1714	589	10	40	
ing	1735	589	58	40	
;	1799	589	9	40	
12	1562	675	142	106	
26²	345	737	102	44	
dore	1607	1037	80	36	
Thee	1703	1037	92	36	
;	1802	1037	8	36	
Thou	374	1037	96	36	
know	486	1037	99	36	
-	590	1037	11	36	
est	606	1037	52	36	
how	674	1037	76	36	
this	770	1037	68	36	
heart	871	1037	97	36	
of	997	1037	36	36	
mine	1053	1037	86	36	
Would	1161	1037	118	36	
in	1292	1037	31	36	
the	1356	1037	59	36	
dust	1434	1037	78	36	
a	1543	1037	17	36	
