content	x	y	w	h	
SUNDAY	596	203	153	26	
-	750	204	12	26	
SCHOOL	764	204	143	26	
HYMNS	930	205	135	26	
.	1068	206	8	26	
СHо	402	283	85	42	
.	486	283	13	42	
Though	543	283	145	42	
we	705	283	49	42	
very	770	283	83	42	
often	869	283	88	42	
wander	975	283	137	42	
In	588	328	43	39	
the	647	328	58	39	
path	721	328	84	39	
of	821	329	39	39	
vice	871	329	76	39	
and	962	329	66	39	
sin	1046	329	53	40	
,	1102	330	7	39	
Yet	547	371	67	41	
we	628	371	49	41	
pray	693	371	86	41	
that	795	371	76	41	
thou	885	371	82	41	
wouldst	985	371	145	41	
hear	1141	371	85	41	
us	1239	371	41	41	
,	1282	371	10	41	
Cleanse	587	411	143	44	
and	744	412	69	43	
make	829	413	102	43	
us	946	414	37	43	
pure	1000	414	85	44	
within	1102	415	118	44	
.	1221	416	9	43	
2.	455	488	33	43	
Make	511	488	106	44	
each	632	489	83	43	
spirit	731	490	100	44	
meek	847	491	98	43	
and	961	492	66	43	
lowly	1043	492	105	44	
,	1148	493	11	43	
Make	500	529	104	43	
us	620	530	37	42	
leave	674	531	97	43	
the	786	532	57	43	
ways	861	533	87	43	
of	967	534	37	43	
strife	1015	535	94	43	
,	1111	536	5	42	
Lead	455	575	94	39	
us	566	576	37	39	
in	620	577	36	38	
the	673	578	60	38	
path	748	579	81	39	
of	847	580	39	39	
duty	897	581	82	39	
,	983	582	7	38	
Lead	499	621	94	31	
us	609	621	39	31	
to	664	621	34	32	
the	714	622	59	31	
better	788	622	106	32	
life	909	623	62	31	
.	971	623	9	31	
113	320	953	125	61	
CHO	401	663	83	37	
.	485	663	13	37	
-	494	663	33	37	
Thus	538	663	95	38	
we'd	649	664	81	38	
serve	751	665	95	38	
thee	861	666	78	37	
,	943	666	6	37	
blessed	966	667	129	37	
Saviour	1113	668	148	38	
,	1262	669	8	37	
Till	583	701	74	36	
we've	670	702	104	37	
cross'd	789	705	121	37	
life's	929	707	82	37	
stormy	1030	709	126	37	
sea	1173	712	56	36	
,	1229	713	9	35	
And	542	752	79	38	
,	625	752	6	38	
with	650	752	81	38	
each	748	752	82	39	
loved	848	753	100	38	
friend	965	753	109	39	
and	1093	754	65	38	
teacher	1176	754	135	39	
,	1313	755	9	38	
All	584	795	64	41	
are	663	795	57	41	
gather'd	735	795	154	41	
home	906	795	102	41	
to	1021	795	36	41	
thee	1073	795	78	41	
.	1152	795	8	41	
G.	466	938	34	32	
Chain	513	938	95	32	
121	622	938	49	32	
,	677	938	7	32	
or	698	938	32	32	
S.	744	938	27	32	
S.	786	938	26	32	
Bell	828	938	66	32	
,	899	938	7	32	
No.	918	938	50	32	
1-119	979	938	104	32	
,	1086	938	6	32	
S.	1106	938	27	32	
S.	1148	938	27	32	
Hos	1189	938	59	32	
.	1251	938	8	32	
121	1270	938	54	32	
.	1325	938	12	32	
I	515	993	17	30	
OUGHT	551	993	131	30	
TO	702	993	47	30	
LOVE	770	993	101	30	
MY	891	993	59	30	
MOTHER	971	993	162	30	
.	1136	993	7	30	
1.	451	1048	31	39	
I	507	1048	18	39	
OUGHT	543	1048	130	39	
to	686	1048	34	39	
love	737	1048	77	39	
my	831	1048	56	39	
mother	905	1048	135	39	
:	1049	1048	9	39	
She	495	1086	69	37	
loved	579	1088	100	39	
me	698	1091	53	36	
long	767	1092	82	39	
ago	866	1095	61	37	
;	938	1097	9	36	
There	452	1135	110	31	
is	578	1135	27	31	
on	623	1135	43	31	
earth	685	1135	93	32	
no	799	1136	42	31	
other	858	1136	99	31	
That	494	1176	90	32	
ever	600	1177	78	33	
loved	694	1178	99	33	
me	812	1180	54	32	
so	882	1180	36	33	
.	922	1181	8	32	
When	452	1221	112	38	
a	583	1221	19	38	
weak	617	1221	95	38	
babe	729	1221	83	38	
,	814	1221	6	38	
much	840	1221	102	38	
trial	958	1221	80	38	
I	492	1256	19	41	
caused	530	1256	121	43	
her	667	1259	62	42	
,	731	1260	6	41	
and	757	1261	65	41	
much	841	1262	99	43	
care	961	1264	76	42	
;	1046	1266	11	41	
For	449	1310	68	29	
me	534	1309	53	30	
no	605	1309	41	30	
self	664	1308	69	30	
-	727	1308	12	30	
denial	743	1308	116	30	
Nor	494	1345	73	39	
labor	584	1347	95	41	
did	695	1351	58	39	
she	770	1353	61	40	
spare	847	1356	98	40	
.	948	1359	5	37	
2.	446	1425	38	40	
When	506	1425	115	41	
in	635	1426	37	41	
my	690	1427	58	40	
cradle	764	1428	115	41	
lying	894	1429	99	41	
,	995	1430	9	40	
Or	492	1469	53	39	
on	559	1469	42	40	
her	620	1470	61	40	
loving	696	1471	119	40	
breast	830	1473	111	40	
,	943	1474	7	39	
She	449	1511	69	44	
gently	532	1512	115	45	
hush'd	666	1514	122	46	
my	806	1516	56	45	
crying	881	1517	123	46	
,	1005	1519	7	44	
And	493	1556	81	34	
rock'd	591	1557	115	35	
her	725	1559	61	34	
babe	803	1560	83	35	
to	902	1561	33	35	
rest	952	1562	66	35	
;	1028	1563	10	34	
When	450	1601	112	39	
any	579	1601	69	40	
thing	661	1602	99	39	
has	778	1603	59	39	
ail'd	855	1603	81	39	
me	954	1604	54	39	
,	1009	1604	8	39	
To	492	1642	49	40	
her	560	1642	60	41	
I	637	1644	16	40	
told	671	1644	72	41	
my	759	1645	57	41	
grief	833	1646	92	42	
:	930	1648	10	40	
Her	450	1688	75	34	
fond	540	1688	80	35	
love	637	1689	78	34	
never	732	1690	101	34	
fail'd	849	1691	95	34	
me	963	1692	55	34	
In	491	1736	43	35	
finding	551	1735	131	36	
some	697	1734	94	36	
relief	805	1734	103	35	
.	904	1733	9	36	
93	1294	203	43	29	
3.	447	1804	34	42	
What	503	1804	106	44	
sight	625	1806	90	43	
is	730	1807	27	43	
that	776	1808	72	43	
which	865	1809	110	44	
,	981	1811	5	42	
near	1005	1811	83	43	
me	1104	1813	55	42	
,	1161	1813	7	42	
Makes	492	1849	120	41	
home	629	1851	102	42	
a	748	1853	18	40	
happy	783	1854	116	42	
place	916	1856	98	42	
,	1016	1858	6	40	
And	448	1897	81	38	
has	545	1897	60	38	
such	622	1898	83	38	
power	722	1898	113	39	
to	852	1899	31	38	
cheer	902	1899	101	39	
me	1018	1900	55	38	
?	1083	1900	17	38	
I	490	1943	23	40	
is	538	1942	30	40	
my	583	1941	60	40	
mother's	659	1940	158	38	
face	834	1938	73	39	
.	907	1937	11	40	
