content	x	y	w	h	
sashab	114	283	306	61	
لا	113	462	122	33	
اے	112	603	122	26	
للطلب	112	706	121	92	
بستلا	110	921	120	276	
بعشقك	107	1319	121	235	
6	333	365	25	21	
.	333	350	24	9	
now	489	183	195	5	
,	693	127	50	44	
AUTUMN	687	336	210	31	
.	905	338	8	29	
8s	949	339	43	29	
,	995	339	9	29	
7s	1022	340	38	29	
.	1063	340	9	29	
1.	362	557	25	31	
Love	408	557	76	31	
divine	498	557	93	31	
,	594	557	5	31	
all	610	558	36	31	
love	659	558	64	31	
excelling	736	558	141	32	
,	882	559	5	31	
Joy	899	559	55	31	
of	965	559	31	31	
heaven	1005	559	105	32	
,	1117	560	5	31	
to	1133	560	27	31	
earth	1170	560	81	31	
come	1263	560	76	32	
down	1348	561	81	31	
,	1432	561	7	31	
2.	362	592	28	32	
Come	410	592	83	32	
,	497	592	5	32	
almighty	528	592	140	32	
to	695	592	27	32	
deliver	748	592	105	32	
,	858	592	5	32	
Let	890	592	51	32	
us	972	592	30	32	
all	1034	592	38	32	
thy	1103	592	50	32	
life	1182	592	50	32	
receive	1260	592	107	32	
;	1378	592	8	32	
639	930	727	22	10	
7	856	887	69	61	
Fix	415	961	56	31	
in	484	961	29	31	
us	530	961	30	31	
thy	575	961	53	31	
humble	640	961	116	31	
dwelling	770	961	134	31	
,	908	961	4	31	
All	940	961	47	31	
thy	1000	961	50	31	
faithful	1063	961	115	31	
mercies	1194	961	116	31	
crown	1323	961	91	31	
.	1419	961	8	31	
Suddenly	413	993	144	31	
return	584	993	98	31	
,	689	993	5	31	
and	716	993	55	31	
never	795	993	83	31	
,	881	993	5	31	
Nevermore	923	993	169	31	
thy	1116	993	53	31	
temples	1193	993	117	31	
leave	1333	993	79	31	
:	1419	993	9	31	
g	411	1229	55	84	
Jesus	413	1368	82	30	
,	499	1368	6	30	
thou	518	1368	71	30	
art	603	1368	45	30	
all	662	1368	39	30	
compassion	714	1368	173	30	
,	893	1368	4	30	
Pure	913	1368	73	30	
,	990	1368	5	30	
unbounded	1011	1368	168	30	
love	1193	1368	62	30	
thou	1267	1368	70	30	
art	1350	1368	45	30	
;	1404	1368	8	30	
Thee	413	1401	75	31	
we	500	1401	41	31	
would	556	1401	90	31	
be	661	1401	32	31	
always	708	1401	101	31	
blessing	823	1401	124	31	
,	951	1401	5	31	
Serve	973	1401	80	31	
thee	1067	1401	64	31	
as	1144	1401	28	31	
thy	1186	1401	51	31	
hosts	1250	1401	77	31	
above	1340	1401	86	31	
,	1428	1401	7	31	
Visit	413	1758	76	33	
us	513	1758	31	33	
with	568	1758	70	33	
thy	659	1758	52	33	
salvation	735	1758	137	33	
,	877	1758	5	33	
Enter	910	1758	87	33	
every	1022	1758	83	33	
trembling	1130	1758	155	33	
heart	1308	1758	82	33	
.	1394	1758	6	33	
Pray	412	1791	76	31	
,	492	1791	6	31	
and	512	1791	55	31	
praise	580	1791	90	31	
thee	685	1791	64	31	
without	763	1791	121	31	
ceasing	897	1791	111	31	
,	1013	1791	5	31	
Glory	1033	1791	85	31	
in	1129	1791	29	31	
thy	1173	1791	50	31	
perfect	1238	1791	107	31	
love	1355	1791	62	31	
.	1418	1791	8	31	
8	1309	1859	54	35	
109	631	1997	70	32	
The	744	1997	47	32	
new	810	1997	52	32	
creation	879	1997	100	32	
.	981	1997	7	32	
3	426	2047	18	35	
Finish	468	2047	118	36	
then	602	2048	82	36	
thy	701	2049	64	35	
new	781	2050	72	35	
creation	872	2051	144	36	
;	1029	2052	9	35	
Pure	506	2086	89	36	
and	610	2087	68	36	
spotless	693	2087	139	38	
let	849	2089	47	36	
us	913	2089	36	37	
be	967	2090	39	36	
;	1020	2091	11	36	
Let	462	2126	64	37	
us	540	2126	37	37	
see	594	2126	54	37	
thy	662	2127	63	37	
great	742	2127	92	37	
salvation	854	2128	166	37	
,	1025	2129	9	37	
Perfectly	505	2169	169	33	
restored	689	2167	146	34	
in	850	2166	34	35	
thee	902	2166	80	34	
:	988	2165	12	35	
Changed	467	2209	161	38	
from	644	2209	84	38	
glory	747	2209	93	38	
into	858	2209	70	38	
glory	944	2209	95	38	
,	1041	2209	11	38	
Till	507	2243	67	36	
in	588	2244	35	36	
heaven	640	2244	132	38	
we	789	2247	46	36	
take	853	2247	77	37	
our	945	2249	59	36	
place	1019	2250	96	37	
,	1118	2251	9	36	
Till	466	2289	69	33	
we	549	2289	48	33	
cast	613	2289	71	33	
our	698	2289	60	33	
crowns	773	2289	127	33	
before	917	2289	111	33	
thee	1039	2289	80	33	
,	1121	2289	9	33	
Lost	507	2326	80	38	
in	601	2326	33	38	
wonder	653	2326	135	39	
,	793	2327	6	38	
love	815	2327	76	38	
,	895	2327	6	38	
and	919	2327	65	39	
praise	1002	2328	110	38	
.	1114	2328	9	38	
