content	x	y	w	h	
156	301	190	86	37	
HOUR	302	311	168	42	
OF	496	311	70	42	
PRAYER	596	311	235	42	
.	839	311	7	42	
8	872	311	19	42	
,	894	311	9	42	
8	921	311	20	42	
,	945	311	7	42	
8	970	311	22	42	
,	994	311	7	42	
4	1018	311	21	42	
,	1043	311	7	42	
or	1068	311	38	42	
8	1123	311	21	42	
,	1146	311	6	42	
8	1171	311	21	42	
,	1194	311	7	42	
8	1218	311	22	42	
,	1241	311	6	42	
6.	1267	311	31	42	
(	1321	311	17	42	
New	1340	311	87	42	
.	1429	311	9	42	
)	1441	311	15	42	
1.	422	542	25	29	
My	468	541	50	29	
God	538	540	57	29	
!	605	539	8	30	
is	636	538	28	30	
-b	394	695	25	28	
-	422	695	22	28	
4-2	446	696	64	29	
b	383	837	26	33	
9	359	1079	16	34	
-	373	1081	18	34	
b	384	1082	19	34	
-	409	1086	16	34	
b	421	1087	16	34	
26	362	1114	27	29	
-	391	1116	12	29	
b	404	1116	17	29	
an	706	549	37	15	
-	769	555	10	4	
THE	830	186	126	33	
CHURCH	989	186	266	33	
:	1267	186	13	33	
y	796	550	21	20	
hour	868	539	75	24	
so	962	539	30	24	
sweet	1018	539	86	24	
From	1119	540	86	24	
blush	1220	540	84	24	
of	1321	540	30	25	
morn	1362	541	83	24	
to	1459	541	31	24	
As	475	980	38	25	
that	549	980	67	25	
which	635	980	91	26	
calls	749	981	70	25	
me	844	981	47	25	
to	939	982	32	21	
thy	1021	982	54	27	
feet	1109	980	56	27	
-	1166	979	24	28	
The	1201	978	59	28	
hour	1322	983	78	20	
431	302	1239	102	38	
The	531	1243	54	27	
hour	597	1244	66	28	
of	677	1246	29	27	
prayer	719	1248	99	28	
.	823	1250	7	26	
2	305	1298	20	37	
Blest	351	1298	94	37	
is	459	1298	28	38	
the	502	1299	59	37	
tranquil	575	1299	150	38	
hour	742	1300	84	38	
of	841	1301	38	37	
morn	890	1301	97	38	
,	990	1302	6	37	
And	349	1346	79	35	
blest	445	1346	85	35	
that	546	1346	74	35	
hour	636	1346	85	35	
of	739	1346	36	35	
solemn	787	1346	128	35	
eve	932	1346	60	35	
,	994	1346	6	35	
When	306	1390	108	42	
,	419	1390	7	42	
on	445	1390	42	42	
the	504	1390	57	42	
wings	580	1390	108	42	
of	705	1390	37	42	
prayer	759	1390	86	42	
up	861	1390	43	42	
-	907	1390	12	42	
borne	921	1390	104	42	
,	1026	1390	6	42	
The	394	1436	68	28	
world	480	1435	104	28	
I	602	1434	14	29	
leave	632	1434	94	28	
.	731	1433	8	29	
3	304	1513	20	38	
Then	346	1512	94	38	
is	454	1512	26	38	
my	493	1511	56	38	
strength	557	1511	151	37	
by	724	1510	43	38	
thee	779	1510	75	38	
renewed	864	1509	155	38	
;	1024	1509	8	38	
Then	350	1555	92	36	
are	454	1554	56	37	
my	528	1554	58	37	
sins	604	1553	65	37	
by	683	1553	42	37	
thee	738	1553	77	37	
forgiven	835	1552	152	37	
;	995	1552	11	37	
Then	305	1601	92	35	
dost	417	1600	72	35	
thou	505	1599	82	36	
cheer	605	1599	96	35	
my	718	1598	54	36	
solitude	792	1598	142	35	
With	395	1646	95	36	
hopes	506	1644	100	37	
of	621	1642	39	38	
heaven	671	1642	131	36	
.	805	1640	10	38	
4	304	1723	20	32	
No	342	1722	51	32	
words	411	1722	108	31	
can	539	1721	58	32	
tell	617	1720	57	32	
what	694	1720	89	31	
sweet	800	1719	102	31	
relief	919	1718	99	32	
There	351	1764	104	39	
for	472	1764	51	39	
my	543	1764	57	39	
every	618	1764	100	39	
want	736	1764	91	39	
I	845	1764	14	39	
find	875	1764	70	39	
;	955	1764	10	39	
What	307	1793	103	58	
strength	418	1795	154	60	
for	582	1798	49	58	
warfare	648	1800	141	59	
,	793	1803	5	57	
balm	817	1803	60	58	
for	893	1805	36	57	
grief	942	1806	87	58	
,	1026	1808	8	57	
What	394	1857	103	37	
peace	510	1856	98	37	
of	624	1855	39	38	
mind	673	1855	93	38	
!	774	1854	11	38	
Cop	1375	436	25	10	
(	954	1233	14	41	
581	966	1232	55	41	
)	1021	1232	13	41	
|	1047	1232	13	41	
3	1071	1232	20	41	
When	1116	1232	109	40	
mystery	1242	1231	102	41	
clouds	1361	1231	77	40	
my	1452	1230	57	41	
darkened	1527	1230	169	40	
path	1710	1229	81	41	
,	1792	1229	7	41	
I'll	1114	1271	64	38	
check	1189	1272	100	39	
my	1303	1273	55	39	
dread	1378	1274	99	39	
,	1482	1276	4	38	
my	1507	1276	37	38	
doubts	1556	1277	79	38	
reprove	1647	1278	136	39	
;	1792	1280	9	38	
In	1071	1322	39	37	
this	1127	1322	68	37	
my	1208	1322	56	37	
soul	1281	1322	73	37	
sweet	1370	1322	101	37	
comfort	1486	1322	142	37	
hath	1643	1322	82	37	
,	1726	1322	8	37	
That	1205	1365	86	29	
God	1309	1365	72	29	
is	1398	1365	26	29	
love	1440	1365	78	29	
!	1526	1365	11	29	
5	306	1926	19	39	
Hushed	351	1926	139	40	
is	506	1927	27	39	
each	550	1927	80	40	
doubt	640	1928	102	40	
,	746	1929	5	39	
gone	765	1929	87	39	
every	867	1930	68	39	
fear	951	1930	68	40	
;	1026	1931	8	39	
My	350	1977	60	38	
spirit	425	1977	96	38	
seems	539	1977	103	38	
in	661	1977	33	38	
heaven	714	1977	127	38	
to	856	1977	35	38	
stay	906	1977	76	38	
;	988	1977	11	38	
And	306	2023	82	35	
e'en	403	2023	71	35	
the	490	2023	58	35	
penitential	563	2023	200	35	
tear	777	2023	72	35	
Is	394	2065	34	35	
wiped	444	2066	108	38	
away	569	2070	96	38	
.	666	2072	10	35	
432	304	2136	108	35	
God	608	2144	57	21	
is	677	2143	22	22	
love	713	2143	57	22	
.	773	2143	7	22	
1	309	2195	18	40	
I	351	2195	16	40	
can	385	2195	62	40	
not	464	2196	58	40	
always	539	2196	124	41	
trace	681	2197	90	41	
the	786	2198	58	41	
way	860	2199	77	40	
Where	352	2242	124	43	
thou	488	2240	83	44	
,	574	2239	8	45	
almighty	598	2238	166	44	
One	776	2236	46	45	
,	823	2236	7	45	
dost	852	2235	52	45	
move	920	2235	97	44	
;	1025	2233	10	45	
But	308	2285	69	39	
I	393	2285	16	39	
can	426	2286	60	39	
always	503	2287	125	40	
,	634	2288	5	39	
always	659	2288	123	40	
say	800	2290	59	39	
,	860	2290	10	39	
That	443	2333	85	28	
God	539	2333	75	28	
is	628	2333	28	28	
love	670	2333	77	28	
.	750	2333	8	28	
(	972	2141	12	29	
86	985	2140	38	29	
)	1023	2140	11	29	
2	310	2410	18	40	
When	356	2410	108	40	
fear	480	2410	72	40	
her	563	2410	59	40	
chilling	637	2410	140	40	
mantle	795	2410	125	40	
flings	939	2410	98	40	
O'er	353	2456	78	39	
earth	447	2456	93	39	
,	544	2456	6	39	
my	568	2456	58	39	
soul	643	2456	72	39	
to	732	2456	35	39	
heaven	783	2456	127	39	
above	923	2456	105	39	
,	1030	2456	5	39	
As	310	2495	50	38	
to	377	2495	37	38	
her	429	2495	61	39	
native	504	2496	113	38	
home	635	2497	97	38	
,	737	2497	6	38	
upsprings	761	2498	176	39	
