content	x	y	w	h	
68	315	228	55	35	
Munter	417	431	197	26	
.	615	433	10	24	
6	425	524	45	40	
8	426	571	46	40	
SE	515	550	26	13	
0	341	864	56	43	
:	394	865	25	43	
6	431	866	34	43	
2-8	374	911	96	44	
Gott	1397	671	68	32	
,	1466	671	7	32	
Dein	1484	671	68	32	
1.	454	670	27	29	
Er	501	670	38	29	
-	557	670	11	29	
wacht	586	670	77	29	
in	686	670	31	29	
neu	765	678	47	17	
-	832	677	13	18	
er	869	676	25	18	
Stär	957	671	71	32	
-	1038	671	11	32	
ke	1056	671	25	32	
,	1082	671	7	32	
Begrüß	1133	671	152	32	
'	1287	671	7	32	
ich	1324	671	30	32	
,	1360	671	5	32	
2.	452	710	28	32	
Da	503	710	44	32	
floß	595	710	51	32	
aus	680	710	50	32	
Dei	767	710	48	32	
-	828	710	12	32	
ner	853	710	45	32	
Fül	959	712	50	28	
-	1026	710	14	29	
le	1054	710	26	29	
Er	1129	709	38	33	
qui	1230	710	45	33	
-	1276	711	10	33	
ckung	1288	711	74	33	
un	1395	712	36	33	
be	1501	714	32	22	
3.	452	752	27	30	
Mit	500	752	57	30	
hei-	599	752	66	30	
term	676	753	59	30	
Aug	768	753	61	30	
'	833	753	7	30	
und	860	754	50	30	
Geht	1124	751	71	33	
nun	1226	751	54	33	
der	1315	751	41	33	
Mensch	1391	751	99	33	
und	1506	751	53	33	
sin	963	751	38	33	
-	1005	751	10	33	
nend	1017	751	64	33	
3	1109	865	79	65	
=	785	1333	10	17	
ne	814	1333	31	17	
1.	401	1326	28	30	
Und	447	1326	56	30	
wend	537	1326	71	30	
'	609	1326	7	30	
auf	635	1326	51	30	
Dei	716	1326	52	30	
2.	401	1367	29	32	
Wir	447	1367	61	32	
la	552	1367	28	32	
-	600	1367	11	32	
gen	632	1367	46	32	
sanft	711	1367	74	32	
in	814	1367	31	32	
3.	401	1409	28	32	
Sein	448	1409	68	32	
Tage	553	1409	110	32	
-	683	1409	12	32	
werk	715	1409	64	32	
be	809	1409	29	32	
1.	400	1936	27	24	
Wir	446	1936	61	24	
fei'r	555	1936	58	28	
-	624	1933	13	30	
ten	649	1932	42	29	
2.	398	1978	28	26	
Bald	444	1977	70	27	
hell	560	1977	49	27	
-	625	1977	11	27	
te	654	1977	24	27	
3.	400	2019	25	25	
Gott	446	2018	67	26	
,	514	2018	6	26	
Dei	555	2018	49	26	
-	623	2026	13	16	
ne	654	2026	33	16	
Beim	809	290	171	51	
Erwachen	1028	287	318	50	
.	1357	284	15	53	
(	887	386	18	41	
P.	904	386	37	41	
M.	957	386	47	41	
76	1023	386	38	41	
,	1066	386	6	41	
76	1093	387	37	41	
,	1134	387	8	41	
76	1163	387	38	41	
,	1203	387	8	41	
76.	1226	387	51	41	
)	1279	387	15	41	
All	737	1935	46	25	
'	777	1935	13	25	
fich	727	1977	42	28	
Son	731	2016	63	26	
A	872	1423	10	7	
