content	x	y	w	h	
4	451	337	52	56	
品	853	356	88	120	
1.	402	534	26	30	
Home	462	534	89	30	
,	554	534	6	30	
dear	571	534	65	30	
home	647	534	81	30	
,	731	534	5	30	
we	749	534	39	30	
never	799	534	83	30	
can	892	534	51	30	
forget	953	534	92	30	
,	1046	534	6	30	
444	456	1003	183	49	
4	452	1061	57	55	
Chorus	482	1286	130	28	
.	615	1287	11	27	
OUR	1095	223	135	44	
OWN	1273	223	159	44	
DEAR	1476	223	187	44	
HOME	1703	223	200	44	
.	1907	223	14	44	
4	451	711	51	50	
F	1786	672	115	124	
2.	393	839	29	34	
Lured	439	839	88	34	
by	538	839	34	34	
gain	584	839	64	34	
we	659	839	40	34	
seek	710	839	65	34	
a	783	839	16	34	
foreign	807	839	107	34	
shore	925	839	80	34	
,	1009	839	5	34	
Worn	1027	839	84	34	
and	1121	839	54	34	
weary	1187	839	91	34	
keep	1289	839	70	34	
the	1369	839	49	34	
golden	1428	839	100	34	
ore	1540	839	46	34	
;	1594	839	7	34	
Still	1613	839	64	34	
our	1686	839	52	34	
yearning	1749	839	137	34	
hearts	1896	839	94	34	
demand	2000	839	118	34	
Rest	2128	839	66	34	
in	2200	839	30	34	
the	2240	839	48	34	
homestead	2298	839	162	34	
in	2470	839	29	34	
our	2511	839	51	34	
native	2571	839	94	34	
land	2674	839	67	34	
.	2745	839	6	34	
3.	394	885	25	31	
On	437	885	39	31	
the	488	885	47	31	
gilded	543	885	93	31	
page	645	885	69	31	
of	724	885	29	31	
earthly	763	885	110	31	
fame	882	885	74	31	
Some	976	885	80	31	
may	1067	885	62	31	
pant	1141	885	69	31	
to	1221	885	27	31	
register	1259	885	118	31	
their	1388	885	75	31	
name	1474	885	81	31	
;	1563	885	6	31	
Round	1584	885	99	31	
our	1694	885	52	31	
names	1755	885	95	31	
no	1861	885	35	31	
wreath	1908	885	106	31	
may	2025	885	64	31	
be	2099	885	34	31	
,	2136	885	6	31	
But	2064	919	55	28	
you	2127	918	53	29	
may	2190	918	65	28	
read	2265	917	68	29	
them	2346	916	74	29	
on	2433	916	33	29	
the	2479	916	47	28	
old	2537	915	44	29	
home	2592	915	80	28	
tree	2685	914	57	29	
.	2746	914	8	29	
AAAAA	810	1013	240	30	
ALLA	484	1909	284	29	
Friends	1026	564	113	30	
,	1143	564	6	30	
dear	1159	564	65	30	
friends	1233	564	107	30	
,	1344	564	4	30	
we	1360	564	41	30	
often	1409	564	76	30	
there	1494	564	79	30	
have	1584	564	71	30	
met	1665	564	59	30	
,	1726	564	6	30	
e	933	1652	50	37	
Bless'd	1614	530	103	31	
by	1728	530	36	31	
care	1775	530	64	31	
,	1841	531	5	31	
or	1856	531	29	31	
pierced	1895	531	111	31	
by	2017	531	35	31	
grief	2063	532	77	31	
,	2137	532	8	31	
AAAAAAAA	1102	1010	448	30	
A	1650	1010	43	29	
7	1465	1920	110	108	
Ten	462	1527	58	33	
-	522	1527	11	33	
der	532	1527	50	33	
memories	594	1527	146	33	
round	749	1527	89	33	
thee	850	1527	64	33	
twine	925	1527	86	33	
,	1014	1527	5	33	
Like	1032	1527	67	33	
the	1111	1527	47	33	
ivy	1169	1527	46	33	
green	1224	1527	84	33	
round	1317	1527	90	33	
the	1417	1527	47	33	
pine	1475	1527	66	33	
;	1551	1527	6	33	
Over	1570	1527	71	33	
land	1650	1527	66	33	
and	1726	1527	55	33	
sea	1790	1527	45	33	
we	1846	1527	40	33	
may	1895	1527	64	33	
roam	1966	1527	77	33	
,	2047	1527	5	33	
Still	2065	1527	64	33	
will	2141	1527	59	33	
we	2213	1527	39	33	
cherish	2264	1527	109	33	
thee	2386	1527	63	33	
our	2459	1527	51	33	
own	2518	1527	60	33	
dear	2591	1527	63	33	
home	2667	1527	83	33	
.	2751	1527	7	33	
Home	2119	562	92	26	
has	2222	562	48	26	
af	2281	562	31	26	
-	2310	562	8	26	
ford	2319	562	60	26	
-	2383	562	8	26	
ed	2394	563	32	26	
us	2437	563	31	26	
a	2480	563	15	26	
sweet	2505	563	85	26	
re-	2602	563	49	26	
lief	2660	564	55	26	
.	2712	564	6	26	
е	2039	1649	11	41	
107	2652	225	101	43	
AAAAAA	2170	1008	285	32	
Ten	462	1815	58	31	
-	522	1815	9	31	
der	533	1815	48	31	
memories	593	1815	147	31	
round	749	1815	90	31	
thee	849	1815	65	31	
twine	924	1815	86	31	
,	1014	1815	5	31	
Like	1032	1815	67	31	
the	1109	1815	49	31	
ivy	1169	1815	47	31	
green	1224	1815	85	31	
round	1320	1815	89	31	
the	1420	1815	46	31	
pine	1478	1815	65	31	
;	1552	1815	6	31	
Over	1571	1815	71	31	
land	1652	1815	64	31	
and	1725	1815	55	31	
sea	1790	1815	46	31	
we	1846	1815	40	31	
may	1897	1815	64	31	
roam	1970	1815	75	31	
,	2050	1815	6	31	
Still	2068	1815	63	31	
will	2143	1815	58	31	
we	2212	1815	40	31	
cherish	2263	1815	109	31	
thee	2384	1815	64	31	
our	2456	1815	51	31	
own	2517	1815	61	31	
dear	2589	1815	65	31	
home	2663	1815	84	31	
.	2752	1815	7	31	
L	2681	1891	82	124	
AAAAAA	2132	1909	283	30	
