content	x	y	w	h	
984	4	2067	36	102	
E	263	364	127	105	
barel	342	579	103	29	
f	207	1984	75	74	
2	410	890	40	34	
9	260	1830	60	54	
:	308	1829	36	54	
2	334	1829	46	54	
0-2	331	1876	74	40	
9b2	266	1220	182	34	
664	332	1253	113	65	
Praise	528	389	410	80	
and	987	391	215	79	
Revival	1261	392	488	81	
Songs	1803	394	377	81	
.	2192	396	23	79	
Come	444	1018	102	36	
to	575	1018	36	36	
is	571	1067	31	26	
I.	364	1033	28	18	
Je	655	1018	40	36	
sus	740	1019	54	36	
right	826	1019	90	36	
a	960	1020	20	36	
-	992	1020	12	36	
way	1018	1020	74	36	
,	1096	1020	9	36	
Tar	1167	1012	66	41	
-	1234	1012	12	41	
ry	1247	1012	39	41	
not	1325	1012	61	41	
,	1388	1012	8	41	
tarry	1441	1012	131	41	
will	653	1067	76	34	
-	727	1065	14	35	
ing	740	1065	62	35	
to	842	1064	37	34	
for	967	1061	53	38	
-	1022	1061	11	38	
give	1036	1061	75	38	
,	1116	1061	7	38	
Tar	1165	1061	67	38	
-	1233	1061	11	38	
ry	1247	1061	38	38	
not	1326	1061	59	38	
,	1389	1061	6	38	
not	1617	1012	58	41	
,	1678	1012	6	41	
Come	1714	1012	102	41	
and	1847	1012	66	41	
take	1930	1012	78	41	
his	2038	1012	51	41	
cross	2106	1012	90	41	
to	2225	1012	32	41	
-	2262	1012	12	41	
day	2285	1012	63	41	
,	2352	1012	10	41	
tarry	1441	1061	130	38	
not	1617	1061	57	38	
,	1679	1061	6	38	
You	1712	1061	73	38	
may	1833	1061	74	38	
come	1925	1061	94	38	
to	2034	1061	34	38	
him	2101	1061	66	38	
and	2199	1061	68	38	
live	2281	1061	69	38	
,	2355	1061	9	38	
3.	363	1102	34	45	
Though	441	1102	146	45	
this	602	1102	66	45	
world	685	1102	108	45	
be	808	1102	41	45	
bright	865	1102	113	45	
and	994	1102	65	45	
fair	1075	1102	63	45	
,	1142	1102	7	45	
Tar	1165	1102	66	45	
-	1232	1102	13	45	
ry	1248	1102	36	45	
not	1325	1102	59	45	
,	1387	1102	7	45	
tarry	1442	1102	130	45	
not	1617	1102	60	45	
,	1680	1102	7	45	
Bright	1711	1102	120	45	
-	1844	1102	13	45	
er	1873	1102	38	45	
is	1952	1105	32	27	
our	2028	1105	63	37	
home	2103	1105	100	38	
"	2220	1106	22	37	
up	2244	1106	47	37	
there	2303	1106	97	38	
,	2402	1107	10	37	
"	2415	1107	19	37	
2.	362	1077	31	20	
He	440	1066	61	29	
#	1251	1198	79	88	
1	1574	1189	61	114	
TARRY	1175	712	216	40	
NOT	1421	712	116	40	
.	1545	712	13	40	
"	843	776	21	32	
He	869	776	47	32	
that	927	776	62	32	
cometh	1003	776	110	32	
to	1127	776	28	32	
me	1169	776	42	32	
I	1227	776	12	32	
will	1253	776	57	32	
in	1321	776	28	32	
no	1363	776	35	32	
wise	1411	776	66	32	
cast	1490	776	59	32	
out	1562	776	47	32	
.	1613	776	10	32	
"	1621	776	18	32	
-	1644	776	26	32	
JOHN	1677	776	88	32	
vi	1779	776	31	32	
,	1812	776	8	32	
37	1834	776	33	32	
.	1867	776	10	32	
Tarry	420	1643	145	35	
not	598	1646	57	33	
,	659	1647	9	33	
Tar-	416	1688	93	34	
ry	525	1689	34	33	
not	592	1690	58	34	
,	653	1691	6	33	
Tar	419	1735	67	30	
-	499	1735	13	30	
ry	530	1735	35	30	
not	596	1736	57	30	
,	657	1736	8	30	
tarry	728	1642	134	32	
not	907	1638	61	34	
;	975	1637	9	35	
Come	1004	1636	102	33	
and	1139	1633	67	35	
take	1220	1632	79	34	
his	1344	1629	53	35	
tarry	721	1685	132	33	
not	898	1683	61	34	
;	966	1683	11	34	
You	1011	1682	72	34	
may	1134	1681	75	34	
come	1226	1681	97	33	
to	1352	1680	38	34	
tarry	726	1730	134	35	
not	897	1727	62	36	
;	967	1725	12	37	
Bright	1013	1725	116	35	
er	1177	1722	35	36	
is	1239	1721	33	36	
our	1347	1732	58	17	
*	1329	1979	66	47	
Words	1668	805	116	40	
and	1800	806	72	40	
Music	1888	806	109	41	
by	2013	807	39	41	
L.	2070	808	44	40	
H.	2131	808	45	41	
Dowling	2196	809	162	41	
.	2356	810	12	40	
cross	1445	1645	87	16	
him	1449	1679	69	26	
today	1593	1634	147	37	
,	1744	1635	9	36	
Tar-	1799	1635	96	37	
ry	1911	1636	36	37	
not	1987	1637	59	36	
,	2050	1638	8	36	
and	1576	1676	65	35	
live	1674	1677	64	36	
,	1746	1679	6	35	
Tar	1797	1680	64	36	
-	1879	1681	11	35	
ry	1909	1682	34	35	
not	1985	1683	58	36	
,	2046	1685	7	35	
home	1453	1721	100	38	
"	1571	1721	20	38	
up	1594	1722	46	38	
there	1654	1722	94	39	
,	1752	1723	7	38	
"	1765	1723	15	38	
Tar	1802	1723	64	39	
-	1882	1724	12	38	
ry	1911	1724	38	38	
not	1988	1725	60	38	
,	2048	1725	10	38	
Ritard	2228	1437	124	28	
.	2354	1437	8	28	
61	2392	262	60	41	
tar	2118	1640	47	28	
-	2184	1647	12	25	
ry	2212	1650	34	27	
not	2294	1646	57	23	
.	2357	1647	6	22	
tar-	2115	1686	80	33	
ry	2210	1687	36	33	
not	2293	1689	59	33	
.	2354	1690	7	32	
tarry	2117	1731	132	32	
not	2294	1733	58	32	
.	2356	1734	8	31	
&	2457	145	118	97	
e	2472	145	127	97	
&	2439	2058	109	90	
g	2489	2059	115	90	
