content	x	y	w	h	
22	278	265	75	47	
ALFRED	383	263	163	45	
TAYLOR	560	259	158	46	
.	717	256	10	49	
Boys	619	330	96	43	
.	717	331	10	42	
b	385	360	39	60	
4	450	361	55	60	
b	418	417	32	43	
24	438	432	68	53	
eb4	307	762	203	42	
b	367	813	26	51	
-	398	814	26	51	
b²4	422	815	82	55	
b	422	1036	31	43	
o	321	1317	36	47	
:	357	1320	26	46	
b	391	1324	38	47	
b	371	1367	21	55	
-	407	1374	20	54	
b	428	1379	24	55	
e	322	1943	52	54	
:	363	1944	31	53	
b	398	1946	43	54	
b	369	2001	34	51	
-	406	2002	39	51	
b	425	2003	37	51	
1	528	579	24	30	
I	592	579	26	30	
2	526	621	23	37	
My	572	623	66	40	
An	532	1169	63	30	
And	510	1214	90	31	
Boys	524	1515	92	40	
.	623	1519	7	36	
My	518	1764	63	37	
His	514	1811	70	31	
have	701	580	95	30	
a	883	590	22	20	
home	980	581	111	27	
A	1158	578	40	33	
Savior's	727	620	217	38	
love	989	622	84	37	
,	1076	623	10	36	
His	1148	626	68	29	
ev	686	1179	45	21	
safe	666	1215	80	28	
B	776	1187	15	6	
gra	671	1822	70	29	
MY	1182	262	77	51	
GLORIOUS	1285	262	280	51	
HOME	1597	262	162	51	
.	1758	262	15	51	
*	1775	262	25	51	
Girls	1139	330	96	33	
.	1238	333	10	30	
Chorus	1700	331	140	30	
.	1845	331	10	30	
110	762	1829	15	4	
er	836	1170	42	31	
-	912	1170	19	31	
bless	951	1170	99	31	
-	1080	1170	16	31	
ed	1125	1170	47	31	
him	963	1215	78	28	
in	830	1216	41	26	
I	1130	1215	24	29	
Savior's	689	1764	232	38	
blood	959	1765	110	37	
,	1073	1765	8	37	
His	1108	1766	66	37	
Girls	1132	1517	98	32	
.	1232	1517	11	32	
glorious	1285	580	213	38	
home	1543	577	109	40	
,	1658	577	7	40	
Which	1694	576	129	39	
Je	1868	575	49	40	
dy	1287	624	55	38	
m	1383	643	17	5	
home	1231	1170	111	31	
of	1415	1170	45	27	
jour	1235	1216	88	39	
-	1343	1219	17	37	
ney	1398	1220	74	39	
lov	1257	1811	62	31	
cious	808	1810	101	38	
smiles	947	1810	123	38	
,	1073	1810	6	38	
His	1108	1810	69	38	
1	1349	1830	12	6	
sus	2008	580	60	34	
bought	2113	578	144	33	
for	2301	576	59	34	
ing	1431	625	67	39	
love	1554	623	84	39	
,	1642	622	8	40	
Hath	1701	621	102	39	
made	1848	620	110	39	
my	2019	627	65	36	
hope	2143	625	97	36	
se	2284	623	44	36	
13	1961	596	13	8	
and	1973	1169	77	31	
light	1525	1171	97	36	
,	1627	1169	7	37	
From	1682	1169	110	36	
sin	1838	1167	58	36	
on	1555	1224	47	28	
,	1607	1224	10	28	
I	1709	1215	23	29	
know	1820	1215	107	32	
my	1976	1222	61	30	
Chorus	1666	1518	139	31	
.	1809	1519	11	30	
MRS	2143	263	78	26	
.	2224	263	9	26	
JO8	2248	263	65	26	
.	2315	263	9	26	
F.	2343	263	34	26	
KNAPP	2394	263	131	26	
,	2524	263	12	26	
sor	2124	1180	59	20	
home	2098	1214	111	29	
precious	1249	1767	240	35	
blood	1535	1764	110	36	
,	1650	1763	9	37	
The	1693	1763	78	36	
blood	1831	1766	111	30	
so	2019	1772	42	28	
free	2133	1769	79	27	
cheer	1835	1813	111	28	
ing	1404	1812	67	36	
smiles	1515	1810	123	35	
,	1642	1808	9	37	
Shall	1678	1808	104	35	
all	2146	1811	56	30	
me	2005	1821	61	19	
8	2227	1188	13	6	
me	2425	589	60	27	
,	2488	589	9	27	
cure	2414	630	85	29	
;	2512	632	13	27	
ly	2289	1768	48	40	
the	2287	1813	66	28	
1	2485	749	116	123	
row	2286	1173	73	32	
free	2409	1171	77	33	
;	2499	1170	12	33	
sure	2406	1220	82	33	
;	2502	1223	10	30	
is	2297	1215	36	30	
spilt	2422	1768	89	37	
,	2515	1767	9	38	
way	2421	1820	84	27	
;	2517	1821	16	27	
18	2447	1867	44	35	
:	2491	1867	12	34	
TIT	2557	1412	14	47	
