content	x	y	w	h	
Hyman	325	289	124	30	
17.	471	290	51	30	
]	527	290	13	30	
John	487	362	82	26	
P.	582	362	34	26	
Ellis	634	362	76	26	
.	714	363	9	26	
9	329	1320	56	51	
:	370	1319	42	51	
ig	456	426	55	36	
8	469	477	44	37	
I	656	423	100	111	
#	1867	418	95	74	
1.	432	570	32	34	
There's	478	570	137	34	
a	630	570	20	34	
light	661	570	92	34	
on	767	570	43	34	
the	827	570	59	34	
dark	901	570	87	34	
and	1002	570	69	34	
surging	1085	570	143	34	
deep	1241	570	85	34	
,	1330	570	7	34	
That	1350	570	90	34	
shines	1453	570	118	34	
when	1587	570	102	34	
the	1704	570	60	34	
loud	1778	570	81	34	
winds	1876	570	113	34	
roar	2003	570	78	34	
,	2085	570	6	34	
2.	429	615	32	32	
There's	476	615	137	32	
a	628	615	19	32	
light	660	615	89	32	
in	762	615	33	32	
the	824	615	60	32	
depths	897	615	120	32	
of	1033	615	37	32	
surging	1080	615	142	32	
That	1432	613	91	29	
shineth	1536	613	143	29	
forever	1695	614	172	29	
more	1887	614	98	30	
,	1990	615	5	29	
And	2014	615	78	29	
life	1279	615	62	32	
,	1344	615	8	32	
3.	433	660	27	32	
There's	477	660	136	32	
a	629	660	19	32	
light	662	660	88	32	
in	767	660	33	32	
the	820	660	59	32	
depths	893	660	124	32	
of	1034	660	38	32	
Christian	1082	660	175	32	
hearts	1275	660	116	32	
,	1396	660	5	32	
That	1418	660	89	32	
gleams	1520	660	133	32	
on	1669	660	41	32	
the	1727	660	60	32	
crown	1800	660	116	32	
before	1931	660	115	32	
,	2050	660	7	32	
元	759	743	118	138	
16	447	732	24	21	
சிம்மராம்	329	752	176	59	
7-8	422	806	86	34	
WALKING	1152	281	243	49	
THE	1424	281	111	49	
SEA	1558	281	100	49	
.	1659	281	12	49	
From	498	1970	69	26	
THE	580	1971	55	27	
STARRY	646	1972	98	27	
CROWN	756	1974	90	27	
,	850	1976	4	26	
by	866	1976	31	26	
permission	909	1977	142	28	
.	1056	1979	7	26	
CDC	1784	1393	79	53	
A.	2147	303	34	25	
S.	2197	303	27	25	
Kieffer	2241	303	118	25	
.	2361	303	8	25	
Eg	1377	988	154	113	
Friend	435	1128	129	36	
who	578	1128	80	36	
does	673	1128	82	36	
not	769	1128	61	36	
sleep	843	1128	90	36	
,	938	1128	6	36	
Comes	960	1128	120	36	
on	1096	1128	43	36	
from	1157	1128	85	36	
the	1261	1128	61	36	
other	1339	1128	100	36	
shore	1453	1128	100	36	
,	1557	1128	6	36	
Walking	1582	1128	167	36	
the	1763	1128	62	36	
sea	1839	1128	59	36	
to	1911	1128	36	36	
you	1960	1128	68	36	
and	2045	1128	69	36	
to	2129	1128	34	36	
me	2193	1128	59	36	
,	2255	1128	7	36	
Keeping	2307	1128	159	36	
the	2475	1128	62	36	
stay	433	1176	77	25	
all	542	1173	51	27	
sin	637	1174	55	36	
and	723	1174	70	36	
strife	820	1174	94	36	
,	917	1174	7	36	
Is	957	1174	34	36	
here	1006	1174	83	36	
from	1104	1174	88	36	
the	1206	1174	61	36	
other	1282	1174	96	36	
shore	1408	1174	103	36	
,	1514	1174	6	36	
Walking	1568	1174	168	36	
life's	1751	1174	88	36	
sea	1854	1174	58	36	
,	1915	1174	7	36	
to	1938	1174	34	36	
you	1983	1174	68	36	
and	2070	1174	69	36	
to	2154	1174	36	36	
me	2204	1174	56	36	
,	2266	1174	6	36	
Walking	2304	1174	168	36	
so	2499	1174	38	36	
bliss	611	1218	83	36	
im	720	1218	51	36	
-	788	1218	11	36	
parts	810	1218	92	36	
,	907	1218	6	36	
Attends	961	1218	150	36	
to	1126	1218	34	36	
the	1184	1218	60	36	
other	1259	1218	100	36	
shore	1375	1218	100	36	
,	1479	1218	6	36	
Walking	1523	1218	161	36	
life's	1699	1218	86	36	
sea	1801	1218	57	36	
with	1873	1218	84	36	
you	1974	1218	69	36	
and	2059	1218	69	36	
with	2145	1218	85	36	
me	2246	1218	56	36	
,	2307	1218	6	36	
Keeping	2328	1218	159	36	
in	2499	1218	37	36	
love	433	1219	81	25	
a	545	1222	19	24	
을	2080	1312	87	109	
F	2448	1329	163	108	
JEA	1248	1512	96	108	
light	436	1658	91	32	
of	551	1658	40	32	
us	613	1658	38	32	
,	655	1659	6	32	
e'er	676	1659	66	32	
to	764	1659	34	32	
befriend	829	1659	156	33	
,	992	1660	5	32	
Ev-	1012	1660	71	33	
er	1097	1661	34	32	
in	1162	1661	36	32	
sight	1214	1661	92	33	
of	1320	1662	37	32	
us	1368	1662	39	32	
succor	1432	1662	118	33	
to	1564	1663	34	32	
lend	1613	1663	79	33	
,	1700	1664	4	32	
Walking	1721	1664	167	33	
the	1902	1665	61	32	
sea	1975	1665	59	32	
,	2036	1665	8	32	
Walking	2116	1665	168	29	
the	2297	1665	61	29	
sea	2371	1665	57	29	
.	2431	1665	8	29	
carefully	436	1704	235	36	
seeking	685	1704	147	36	
to	845	1704	35	36	
find	894	1704	72	36	
,	973	1704	6	36	
Ev	1006	1704	52	36	
-	1060	1704	10	36	
er	1073	1704	35	36	
so	1123	1704	36	36	
prayerfully	1174	1704	216	36	
earnest	1405	1704	138	36	
and	1556	1704	69	36	
kind	1637	1704	89	36	
,	1732	1704	6	36	
Walking	1753	1704	168	36	
the	1934	1704	59	36	
sea	2008	1704	56	36	
,	2069	1704	6	36	
Walking	2118	1704	167	36	
the	2296	1704	62	36	
sea	2371	1704	57	36	
.	2431	1704	7	36	
reach	435	1748	103	37	
of	554	1748	40	37	
us	603	1748	39	37	
,	645	1748	8	37	
watching	668	1748	180	37	
for	861	1748	52	37	
all	927	1748	47	37	
,	979	1748	6	37	
Caring	999	1748	127	37	
for	1138	1748	51	37	
each	1204	1748	84	37	
of	1303	1748	40	37	
us	1351	1748	39	37	
lest	1405	1748	65	37	
we	1486	1748	50	37	
should	1550	1748	124	37	
fall	1692	1748	60	37	
,	1758	1748	6	37	
Walking	1779	1748	169	37	
the	1961	1748	62	37	
sea	2036	1748	58	37	
,	2097	1748	7	37	
Walking	2119	1748	168	37	
the	2296	1748	63	37	
sea	2371	1748	58	37	
.	2431	1748	8	37	
99	1810	1869	100	33	
19	2478	283	55	37	
MAN	2429	429	77	87	
And	2137	572	78	24	
the	2232	572	59	24	
form	2304	573	85	24	
of	2410	573	36	24	
the	2472	574	61	24	
the	2109	615	59	29	
Friend	2185	616	124	29	
who	2325	616	78	29	
would	2419	617	111	29	
And	2113	662	80	25	
the	2208	662	60	25	
Savior	2282	663	121	25	
whose	2420	663	116	26	
