content	x	y	w	h	
g	-8	844	39	26	
3	-4	1127	50	77	
9	184	641	65	57	
:	226	640	44	57	
5	251	640	53	57	
HAVE	434	212	183	58	
MERCY	652	212	223	58	
ON	910	212	78	58	
ME	1026	212	92	58	
.	1119	212	13	58	
Concluded	1201	212	276	58	
.	1479	212	12	58	
7	575	343	80	128	
Savior	347	513	177	37	
,	525	518	9	32	
on	558	519	45	34	
me	660	527	59	28	
;	727	529	10	26	
9	185	1173	59	107	
****	244	1178	234	124	
No.	168	1461	102	46	
45	299	1460	74	46	
.	382	1459	13	47	
e	782	770	18	28	
-	814	771	14	27	
ven	847	772	65	29	
me	943	775	56	29	
;	1010	777	10	27	
#	1576	934	90	111	
Lord	325	1080	95	36	
,	424	1080	7	36	
or	456	1081	42	36	
I	550	1076	20	41	
per	594	1076	63	41	
-	658	1076	13	41	
ish	671	1076	58	42	
,	732	1077	7	41	
O	778	1077	30	41	
Je	853	1078	44	41	
-	910	1078	14	41	
sus	935	1078	57	41	
,	997	1079	6	41	
have	1020	1079	94	41	
mer	1129	1079	76	42	
-	1205	1080	12	41	
cy	1220	1080	43	41	
on	1308	1093	41	25	
me	1391	1092	56	25	
,	1451	1091	7	26	
e	1502	1091	18	26	
-	1520	1090	13	26	
ven	1535	1090	65	26	
me	1620	1089	54	26	
.	1677	1089	9	26	
3	350	2061	36	36	
No	1060	515	59	35	
hope	1134	516	96	37	
can	1252	519	67	37	
KNOWN	678	1459	238	49	
TO	951	1459	78	49	
THEE	1063	1459	167	49	
.	1234	1459	11	49	
I	1366	509	21	36	
cher	1433	511	85	38	
-	1518	514	13	35	
ish	1533	514	56	37	
;	1605	516	9	35	
save	1639	518	85	38	
,	1723	520	8	35	
Rit	1439	907	71	19	
.	1513	906	10	20	
1.	323	1777	30	38	
Lord	378	1776	93	38	
,	476	1775	7	39	
all	500	1775	53	38	
I	589	1774	20	39	
am	671	1789	54	18	
is	787	1777	30	42	
known	834	1777	127	42	
to	979	1777	35	42	
Thee	1033	1777	97	42	
,	1135	1777	6	42	
In	1168	1777	42	42	
vain	1252	1777	84	42	
my	1370	1777	59	42	
soul	1443	1777	77	42	
would	1535	1777	118	42	
try	1671	1777	64	42	
2.	322	1829	34	44	
Thy	380	1829	81	44	
all	501	1829	51	45	
-	561	1830	14	44	
ob	585	1830	44	44	
-	641	1830	11	44	
serv	665	1830	75	44	
-	756	1831	12	44	
ing	778	1831	61	44	
eye	871	1831	63	44	
sur	967	1832	60	44	
-	1029	1832	12	44	
veys	1044	1832	83	44	
My	1169	1833	62	44	
rising	1266	1833	165	45	
and	1456	1834	70	44	
my	1552	1834	59	45	
rest	1635	1835	71	44	
,	1709	1835	8	44	
3.	323	1889	33	42	
My	379	1889	62	42	
thoughts	459	1889	172	42	
lie	648	1889	48	42	
open	713	1889	135	42	
to	866	1889	36	42	
Thee	920	1889	96	42	
,	1021	1889	6	42	
Lord	1049	1889	91	42	
,	1144	1889	6	42	
Before	1165	1889	126	42	
they're	1306	1889	137	42	
formed	1457	1889	137	42	
within	1608	1889	128	42	
;	1743	1889	11	42	
4.	321	1940	36	44	
Oh	380	1940	57	44	
,	441	1940	6	44	
let	471	1940	51	44	
thine	545	1940	102	45	
arms	665	1941	90	44	
surround	775	1941	175	45	
me	976	1942	56	44	
still	1057	1942	74	45	
,	1137	1943	6	44	
And	1163	1943	79	44	
like	1269	1943	75	44	
a	1375	1944	20	44	
bulwark	1441	1944	164	44	
prove	1628	1944	114	45	
,	1744	1945	10	44	
45	945	2906	36	26	
ii	381	2269	111	149	
李	964	2300	150	125	
To	368	2474	49	39	
shun	444	2475	91	41	
Thy	553	2478	81	41	
presence	658	2480	167	43	
,	827	2484	6	39	
or	867	2485	41	40	
to	952	2477	38	42	
flee	1030	2477	64	42	
The	1141	2477	75	42	
no-	1259	2477	71	42	
tice	1342	2477	71	42	
of	1443	2477	40	42	
Thine	1498	2477	115	42	
eye	1629	2477	64	42	
.	1695	2477	10	42	
My	368	2534	66	44	
pub	462	2534	76	44	
-	540	2534	12	44	
lic	552	2534	48	44	
walks	620	2534	108	44	
,	734	2534	5	44	
my	757	2534	59	44	
pri	851	2534	54	44	
-	909	2534	13	44	
vate	922	2534	81	44	
ways	1018	2534	93	44	
,	1115	2534	8	44	
The	1140	2534	78	44	
se-	1265	2534	61	44	
crets	1335	2534	92	44	
of	1449	2534	44	44	
my	1519	2534	61	44	
breast	1597	2534	118	44	
.	1717	2534	10	44	
And	368	2590	83	43	
ere	474	2589	59	44	
my	548	2589	60	44	
lips	628	2588	70	44	
pronounce	717	2588	206	43	
the	940	2587	60	44	
word	1019	2587	93	43	
,	1116	2586	5	44	
Thou	1141	2586	102	44	
knowest	1264	2585	159	44	
all	1447	2585	51	43	
I	1544	2584	19	44	
mean	1610	2584	103	43	
.	1716	2583	10	44	
To	368	2645	50	41	
guard	435	2645	115	41	
my	567	2645	60	41	
soul	654	2645	81	41	
from	752	2645	91	41	
every	872	2645	109	41	
ill	1039	2645	42	41	
,	1087	2645	7	41	
Se	1141	2645	43	41	
-	1188	2645	12	41	
cured	1203	2645	109	41	
by	1344	2645	45	41	
sovereign	1423	2645	183	41	
love	1624	2645	83	41	
.	1712	2645	12	41	
