content	x	y	w	h	
REV	311	367	75	25	
.	392	367	6	25	
T.	412	367	32	25	
J.	458	367	29	25	
SHELTON	499	367	174	26	
.	680	368	8	25	
1.	308	605	30	33	
Je	384	608	42	34	
-	444	610	14	34	
sus	475	611	57	36	
,	537	614	6	33	
on	569	615	42	35	
thy	677	607	64	42	
love	788	607	83	42	
rely	886	607	121	42	
-	1030	607	16	42	
ing	1069	607	64	42	
,	1136	607	7	42	
I	1167	607	22	42	
am	1251	617	57	21	
com	1368	619	70	17	
2.	308	652	33	43	
Tho	367	652	71	43	
'	442	652	9	43	
my	468	652	58	43	
earth	546	652	96	43	
ly	691	652	36	43	
crown	743	652	115	43	
be	889	652	40	43	
thorn	945	652	101	43	
-	1065	652	13	43	
y	1095	652	22	43	
,	1124	652	6	43	
Thou	1145	652	97	43	
wilt	1257	652	77	43	
give	1356	652	81	43	
3.	307	696	32	43	
Faith	361	696	101	43	
can	476	696	62	43	
sing	557	696	79	43	
in	690	696	35	43	
bitter	776	696	164	43	
sorrow	957	696	182	43	
;	1145	696	7	43	
Love	1160	696	94	43	
can	1265	696	65	43	
drive	1347	696	100	43	
Dity	218	773	118	98	
94	213	1391	119	66	
PRESS	1033	265	189	45	
WE	1256	265	105	45	
ON	1396	265	83	45	
.	1490	265	13	45	
"	936	343	18	27	
I	960	342	15	27	
press	988	342	79	27	
towards	1081	342	133	26	
the	1239	341	50	27	
mark	1307	340	85	27	
.	1397	340	8	27	
"	1408	340	15	27	
PHIL	1461	340	77	26	
.	1541	339	6	27	
3	1561	339	16	27	
:	1587	339	9	27	
14	1606	339	29	27	
.	1636	339	9	27	
9	212	1864	55	53	
**	264	1864	48	53	
न	1450	432	139	128	
•	522	1205	8	5	
ing	1504	609	66	35	
un	1607	609	49	35	
to	1695	609	37	35	
a	1507	656	22	37	
bright	1563	655	119	36	
-	1683	654	10	37	
er	1697	654	38	36	
a	1508	701	24	40	
way	1590	700	79	39	
my	1683	699	60	39	
1	1554	717	9	4	
Chorus	1538	926	145	40	
.	1686	927	11	39	
J.	1946	373	30	24	
H.	1989	373	39	24	
ROSECRANS	2042	373	218	24	
.	2264	373	8	24	
AIR	1970	449	103	88	
or	369	1199	39	17	
in	469	1184	37	43	
dying	545	1183	175	43	
I	742	1182	21	44	
will	817	1181	78	44	
still	954	1189	77	28	
re	1089	1197	39	20	
member	1173	1189	189	30	
thee	1376	1185	79	32	
.	1458	1183	9	34	
voyage	304	1232	136	42	
be	465	1231	42	42	
stormy	554	1230	132	43	
,	692	1229	7	43	
O'er	729	1229	81	43	
the	825	1229	60	42	
cloud	932	1228	100	43	
sbright	1049	1227	133	43	
shines	1201	1227	112	42	
the	1333	1226	57	43	
sun.Press	1408	1226	179	42	
we	1629	1224	53	43	
on	1758	1242	41	18	
in	1874	1230	41	29	
self	1977	1226	66	47	
-	2055	1227	14	46	
de	2086	1228	41	47	
-	2129	1229	11	46	
ni	2145	1230	36	46	
al	2258	1232	33	47	
,	2295	1233	8	46	
|	2321	1234	18	46	
bright	327	1276	121	41	
to	479	1276	36	41	
-	519	1276	11	41	
mor	534	1276	73	42	
-	612	1277	10	41	
row	627	1277	71	41	
,	704	1277	6	41	
Hope	732	1277	100	41	
can	842	1278	62	41	
wipe	941	1278	91	41	
a	1092	1287	22	20	
way	1178	1288	79	30	
my	1274	1285	59	31	
tears	1352	1282	91	31	
.	1446	1280	9	33	
(	2371	248	67	43	
8	2370	257	67	36	
)	2369	301	67	25	
thee	1793	608	79	41	
;	1877	608	7	41	
Yea	1899	608	74	41	
,	1975	608	7	41	
one	1798	662	65	27	
;	1863	656	10	31	
Tho	1888	655	73	26	
'	1957	649	16	31	
fears	1775	698	89	39	
;	1869	697	6	40	
Trust	1885	696	99	40	
-	2000	695	13	40	
ing	2030	695	61	39	
for	2135	694	54	39	
in	2041	608	37	41	
living	2133	609	178	41	
my	2012	666	59	29	
earth	2109	652	99	39	
-	2225	656	13	36	
ly	2259	658	40	36	
a	2274	712	20	17	
To	330	1741	48	44	
the	418	1741	59	44	
crown	491	1741	115	44	
our	625	1741	63	44	
coming	708	1741	137	44	
waits	863	1741	100	44	
;	972	1741	8	44	
Joy	995	1741	70	44	
will	1086	1741	75	44	
end	1178	1741	67	44	
all	1279	1741	48	44	
care	1346	1741	78	44	
and	1436	1741	69	44	
tri-	1526	1741	78	44	
al	1626	1741	34	44	
When	1678	1741	108	44	
we	1808	1741	51	44	
pass	1878	1741	75	44	
the	1967	1741	63	44	
pear	2054	1741	83	44	
-	2140	1741	11	44	
ly	2156	1741	37	44	
gates	2216	1741	94	44	
f	1810	1813	34	26	
