content	x	y	w	h	
REVIVING	675	252	254	29	
HYMNS	959	249	179	30	
.	1143	247	12	32	
5	476	331	23	39	
Pass	519	330	88	38	
me	626	329	55	39	
not	696	329	65	38	
,	766	328	5	39	
O	791	328	26	39	
mighty	836	327	143	38	
Spirit	999	326	113	38	
!	1121	325	12	39	
Thou	566	374	100	28	
canst	685	372	104	29	
make	806	371	106	29	
the	929	370	63	29	
blind	1010	370	102	28	
to	1130	369	37	28	
see	1184	368	59	29	
Witnesser	521	417	203	32	
of	739	415	44	34	
Jesus	798	415	107	33	
'	907	414	11	34	
merit	931	414	107	33	
,	1042	413	8	34	
Come	587	460	107	37	
,	697	458	7	39	
oh	722	457	45	39	
come	785	456	100	37	
,	889	454	7	39	
and	914	454	73	38	
dwell	1005	452	108	37	
in	1128	450	40	38	
me	1184	449	57	38	
.	1244	448	9	39	
||	1255	448	17	38	
60	355	574	141	78	
MERCY'S	765	571	164	28	
FREE	954	572	103	28	
.	1060	572	8	28	
TUNE-	676	628	119	25	
"	799	626	19	27	
Eehold	834	626	115	25	
the	968	624	51	26	
Lamb	1038	623	95	26	
.	1137	622	7	27	
"	1149	622	17	27	
1	490	694	19	42	
By	534	693	53	42	
faith	603	692	88	42	
I	710	691	17	42	
view	745	691	87	42	
my	851	690	56	42	
Saviour	924	689	148	41	
dying	1089	688	108	41	
,	1198	687	9	42	
On	577	739	53	36	
the	648	738	59	37	
tree	725	737	70	37	
,	799	737	7	37	
on	825	737	41	36	
the	885	736	60	37	
tree	960	735	72	37	
;	1044	735	9	37	
To	535	783	51	39	
every	603	782	107	40	
sinner	725	782	118	39	
He	861	781	58	40	
is	935	781	28	39	
crying	982	780	122	40	
,	1107	780	7	40	
Look	582	829	99	36	
to	697	828	34	37	
Me	751	827	59	37	
,	814	827	6	37	
look	838	827	83	36	
to	937	826	35	37	
Me	989	826	62	36	
;	1060	825	12	37	
He	537	868	61	43	
bids	612	868	77	43	
the	706	868	60	43	
guilty	781	868	114	43	
now	914	868	74	43	
draw	1008	868	92	43	
near	1116	868	85	43	
,	1203	868	8	43	
Repent	539	917	137	43	
,	679	915	7	45	
believe	703	914	138	44	
,	841	912	7	45	
dismiss	867	912	139	43	
your	1022	910	90	44	
fear	1128	908	72	45	
:	1208	907	13	45	
Hark	540	963	104	41	
!	650	961	11	42	
hark	683	961	91	41	
!	782	960	11	42	
what	817	960	91	41	
precious	925	959	157	40	
words	1101	957	110	41	
I	1228	956	19	42	
hear	1262	955	88	42	
,	1351	954	9	42	
Mercy's	584	1011	150	36	
free	751	1008	70	38	
!	829	1006	11	39	
Mercy's	863	1006	148	37	
free	1025	1003	71	38	
!	1106	1002	10	39	
2	497	1095	22	40	
Did	541	1094	72	40	
Christ	631	1094	118	39	
,	750	1093	7	40	
when	776	1093	100	39	
I	895	1092	16	40	
was	931	1092	66	39	
sin	1014	1091	54	40	
pursuing	1086	1090	171	39	
,	1260	1089	9	40	
Pity	586	1140	83	41	
me	685	1140	57	41	
,	744	1140	7	41	
Pity	769	1140	83	41	
me	868	1140	58	41	
,	926	1140	9	41	
And	541	1183	84	34	
did	642	1181	60	35	
He	720	1180	60	35	
snatch	794	1179	120	34	
my	933	1177	57	35	
soul	1008	1176	76	35	
from	1101	1175	86	35	
ruin	1206	1174	80	34	
?	1295	1173	19	35	
Can	589	1230	71	32	
it	677	1228	27	33	
be	721	1227	42	33	
?	769	1226	17	33	
Can	831	1225	76	32	
it	920	1224	31	33	
be	966	1223	44	33	
?	1014	1222	19	33	
Oh	544	1276	56	41	
,	602	1275	9	42	
yes	626	1274	61	42	
!	694	1273	12	42	
He	730	1273	60	41	
did	804	1272	63	41	
salvation	881	1271	173	39	
bring	1073	1268	101	41	
;	1183	1266	10	42	
He	548	1321	58	38	
is	619	1320	30	38	
my	665	1319	60	38	
Prophet	743	1318	154	37	
,	900	1316	6	39	
Priest	927	1316	112	37	
,	1043	1314	6	39	
and	1068	1314	68	38	
King	1154	1313	99	38	
;	1264	1311	12	39	
And	546	1362	83	42	
now	645	1361	75	42	
my	739	1360	58	43	
happy	814	1360	118	42	
soul	950	1359	76	42	
can	1043	1358	64	43	
sing	1124	1358	77	42	
,	1205	1357	8	43	
