content	x	y	w	h	
TIDINGS	541	261	886	130	
OF	1511	268	262	126	
JOY	1866	271	381	126	
,	2253	274	31	123	
A	350	435	56	59	
New	427	435	137	59	
Singing	595	435	247	59	
Book	878	435	165	59	
for	1077	435	92	59	
Sabbath	1207	435	260	59	
Schools	1502	435	241	59	
,	1749	435	9	59	
etc.	1787	435	105	59	
,	1902	435	9	59	
by	1937	435	75	59	
D.	2038	435	66	59	
E.	2135	435	61	59	
Dortch	2224	435	223	59	
.	2454	435	21	59	
The	394	514	82	47	
Music	491	514	119	47	
is	627	514	29	47	
New	675	514	93	47	
,	772	514	8	47	
Bright	802	514	133	47	
and	952	514	73	47	
Sparkling	1044	514	200	47	
,	1248	514	9	47	
carefully	1275	514	184	47	
prepared	1475	514	181	47	
and	1680	514	74	47	
skilfully	1779	514	171	47	
arranged	1966	514	179	47	
,	2152	514	8	47	
and	2177	514	73	47	
is	2273	514	31	47	
strictly	2323	514	145	47	
up	349	559	52	44	
to	418	559	36	44	
the	471	559	64	44	
times	549	559	108	44	
in	674	559	36	44	
every	730	559	109	44	
respect	856	559	142	44	
.	1001	559	6	44	
By	1059	559	51	44	
mail	1127	559	89	44	
25	1230	559	45	44	
cts	1292	559	54	44	
.	1351	559	7	44	
per	1385	559	63	44	
copy	1478	559	95	44	
,	1576	559	8	44	
$	1602	559	23	44	
3.00	1627	559	72	44	
per	1724	559	65	44	
doz	1809	559	67	44	
.;	1877	559	32	44	
by	1933	559	50	44	
express	1999	559	149	44	
$	2173	559	23	44	
2.40	2196	559	74	44	
per	2287	559	66	44	
doz	2369	559	71	44	
.	2442	559	10	44	
$	352	610	24	37	
20.00	375	610	98	37	
per	494	610	66	37	
100	577	610	62	37	
.	643	610	7	37	
Address	1267	603	161	30	
D.	1564	601	49	38	
E.	1642	601	43	39	
DORTCH	1714	602	215	40	
,	1935	605	10	38	
Columbia	1972	605	229	40	
,	2204	607	10	38	
Tenn	2242	608	120	39	
.	2366	609	12	38	
PRECIOUS	351	714	1079	81	
JEWELS	1511	714	901	81	
,	2423	714	39	81	
FOR	610	816	103	41	
SABBATH	739	816	233	41	
SCHOOLS	1000	816	224	41	
,	1228	816	8	41	
BY	1274	816	67	41	
J	1368	816	22	41	
H.	1433	816	46	41	
LESLIE	1507	816	175	41	
&	1709	816	26	41	
R.	1767	816	41	41	
B.	1837	816	38	41	
MAHAFFEY	1903	816	289	41	
,	2194	816	13	41	
The	348	869	84	46	
Music	444	869	120	46	
is	586	869	32	46	
a	643	869	23	46	
skillful	691	869	145	46	
combination	863	869	250	46	
of	1132	869	42	46	
SIMPLICITY	1198	869	232	46	
,	1433	869	8	46	
BEAUTY	1463	869	165	46	
and	1641	869	75	46	
E.	1734	869	44	46	
CELLENCE	1795	869	206	46	
.	2004	869	9	46	
Strictly	2063	869	149	46	
up	2229	869	51	46	
with	2298	869	89	46	
the	2403	869	65	46	
times	444	915	106	43	
in	567	915	36	43	
Words	625	915	133	43	
,	763	915	6	43	
Music	790	915	118	43	
,	913	915	6	43	
Quantity	941	915	180	43	
,	1128	915	7	43	
Quality	1155	915	152	43	
and	1324	915	74	43	
Price	1416	915	106	43	
.	1524	915	8	43	
A	1598	910	33	43	
Marvel	1649	910	143	44	
of	1802	913	40	42	
Elegance	1860	913	181	45	
and	2059	916	72	43	
Cheapness	2150	918	212	45	
.	2365	921	7	42	
Sample	613	961	146	45	
copy	775	960	95	46	
20	886	959	43	46	
cts	946	959	51	46	
.;	1001	959	30	46	
$	1056	959	23	46	
1.80	1082	959	79	45	
per	1177	958	65	46	
dozen	1259	958	114	46	
in	1398	957	38	46	
Board	1463	957	123	46	
Covers	1604	957	134	45	
;	1746	956	9	46	
$	1777	956	28	46	
15.00	1810	956	98	45	
per	1931	955	65	46	
hundred	2020	955	171	45	
.	2193	954	9	46	
The	395	1059	313	79	
Musical	779	1059	706	79	
Advocate	1539	1059	851	79	
,	2395	1059	35	79	
A	351	1158	36	46	
large	400	1158	105	46	
four	521	1158	85	46	
-	605	1158	16	46	
page	619	1158	94	46	
monthly	737	1158	170	46	
,	912	1158	8	46	
devoted	940	1158	155	46	
exclusively	1124	1158	226	46	
to	1366	1158	40	46	
