content	x	y	w	h	
82	290	239	59	36	
SACRED	548	249	165	30	
MELODIES	736	250	217	31	
.	958	252	8	29	
Fear	296	323	85	32	
not	395	323	62	32	
,	460	323	5	32	
I	481	324	15	32	
am	511	324	54	32	
with	583	324	84	33	
thee	683	325	80	32	
,	766	325	6	32	
O	789	325	22	32	
be	826	326	41	32	
not	879	326	61	32	
dismayed	958	326	182	33	
,	1142	327	8	32	
For	294	355	67	34	
I	375	355	14	34	
am	404	355	55	34	
thy	476	355	64	34	
God	556	355	71	35	
,	633	356	6	34	
and	653	356	70	34	
will	738	356	71	34	
still	824	356	72	35	
give	910	357	79	34	
thee	1002	357	81	34	
aid	1095	357	56	35	
;	1156	358	7	34	
I'll	294	393	57	32	
strengthen	365	393	202	32	
thee	583	393	80	32	
,	666	393	6	32	
help	687	393	80	32	
thee	782	393	79	32	
,	866	393	6	32	
and	892	393	70	32	
cause	977	393	101	32	
thee	1090	393	82	32	
to	1183	393	38	32	
stand	359	426	101	28	
,	466	427	8	27	
Upheld	292	459	141	32	
by	444	459	44	32	
my	504	459	59	32	
righteous	577	459	178	32	
,	761	459	5	32	
omnipotent	782	459	222	32	
hand	1018	459	93	32	
.	1118	459	9	32	
When	293	525	112	31	
through	421	525	150	32	
the	587	526	58	31	
deep	660	526	84	31	
waters	760	526	122	32	
I	906	527	13	31	
call	936	527	65	31	
thee	1014	527	81	32	
to	1112	528	36	31	
go	1165	528	44	31	
,	1212	528	9	31	
The	292	558	72	27	
rivers	376	558	109	27	
of	500	559	37	27	
wo	547	559	51	27	
shall	612	559	91	28	
not	719	560	62	27	
thee	794	560	78	27	
overflow	888	561	160	27	
;	1052	561	8	27	
For	292	591	68	31	
I	374	591	14	31	
will	404	591	71	31	
be	489	591	40	31	
with	546	592	82	31	
thee	646	592	78	31	
,	729	592	5	31	
thy	749	592	62	31	
troubles	830	593	152	31	
to	996	593	36	31	
bless	1050	594	92	31	
,	1144	594	7	31	
And	292	624	80	34	
sanctify	386	624	149	34	
to	552	624	33	35	
thee	602	625	77	34	
thy	693	625	63	34	
deepest	777	625	137	35	
distress	934	626	142	34	
.	1078	627	8	34	
When	293	692	111	32	
through	421	692	149	32	
fiery	587	693	84	32	
trials	686	693	98	32	
thy	799	693	63	32	
pathway	876	694	165	32	
shall	1056	694	94	33	
lie	1161	695	48	32	
,	1211	695	8	32	
My	292	725	59	35	
grace	365	725	101	35	
,	468	725	6	35	
all	489	725	47	35	
-	538	725	10	35	
sufficient	551	725	175	35	
,	729	725	5	35	
shall	750	725	91	35	
be	855	725	41	35	
thy	909	725	63	35	
supply	989	725	126	35	
;	1119	725	8	35	
The	289	755	73	31	
flames	375	755	121	32	
shall	512	756	90	31	
not	617	757	60	31	
hurt	693	757	82	31	
thee	790	758	79	31	
,	873	758	5	31	
I	895	758	13	31	
only	928	758	82	32	
design	1027	759	115	32	
,	1150	760	8	31	
Thy	291	794	73	31	
dross	380	794	95	31	
to	487	794	36	31	
consume	538	794	167	31	
,	707	794	7	31	
and	728	794	69	31	
thy	812	794	62	31	
gold	888	794	79	31	
to	981	794	36	31	
refine	1030	794	108	31	
.	1141	794	10	31	
Even	291	860	96	24	
down	404	860	101	24	
to	522	860	32	24	
ol	570	860	33	24	
age	642	862	62	31	
,	706	862	7	31	
all	727	862	47	31	
my	789	862	59	31	
people	864	862	121	31	
shall	999	862	90	31	
prove	1100	862	107	31	
,	1210	862	8	31	
My	291	895	58	33	
sovereign	367	895	181	33	
,	555	895	6	33	
eternal	577	895	134	33	
,	716	895	5	33	
unchangeable	738	895	262	33	
love	1012	895	79	33	
;	1091	895	12	33	
And	289	925	82	33	
when	389	925	99	33	
hoary	503	926	109	33	
hairs	628	926	93	34	
shall	733	927	90	33	
their	834	927	92	34	
temples	937	928	147	33	
adorn	1097	928	107	34	
,	1209	929	7	33	
Like	289	959	88	34	
lambs	391	959	113	34	
shall	516	959	91	34	
they	617	959	81	34	
still	712	959	70	34	
in	795	959	36	34	
my	843	959	58	34	
bosom	915	959	117	34	
be	1050	959	39	34	
borne	1099	959	108	34	
.	1208	959	8	34	
The	287	1022	72	31	
soul	372	1022	77	32	
that	462	1023	78	32	
on	555	1024	42	31	
Jesus	614	1025	98	31	
doth	727	1026	83	31	
lean	827	1027	78	31	
for	919	1027	50	32	
repose	984	1028	121	32	
,	1106	1029	7	31	
I	288	1061	15	30	
will	319	1061	71	30	
not	405	1061	61	30	
,	469	1061	6	30	
I	492	1061	14	30	
will	523	1061	70	30	
not	609	1061	61	30	
desert	684	1061	113	30	
to	811	1061	34	30	
his	861	1061	52	30	
foes	934	1061	71	30	
;	1005	1061	9	30	
That	286	1095	91	32	
soul	390	1095	77	32	
,	470	1095	5	32	
tho	491	1095	62	32	
'	554	1095	10	32	
all	578	1095	46	32	
hell	640	1095	69	32	
should	722	1095	126	32	
endeavor	862	1095	174	32	
to	1046	1095	37	32	
shake	1092	1095	111	32	
