content	x	y	w	h	
THOMAS	397	304	132	25	
KELLY	545	304	109	25	
.	655	304	9	25	
4	395	368	39	30	
4	394	409	38	37	
I.	418	484	27	34	
In	474	483	37	35	
Thy	556	483	70	35	
name	660	483	95	34	
,	758	482	7	35	
O	777	482	31	35	
4	396	585	36	38	
-94	362	629	68	34	
2	342	1213	19	36	
While	383	1213	108	36	
our	504	1213	61	36	
days	575	1213	78	36	
on	670	1213	40	36	
earth	727	1213	87	36	
are	830	1213	54	36	
lengthened	897	1213	191	36	
,	1092	1213	9	36	
May	419	1254	72	35	
we	505	1253	47	35	
give	565	1252	71	35	
them	653	1251	86	36	
,	745	1250	3	36	
Lord	770	1250	83	35	
,	857	1249	5	36	
to	881	1249	33	36	
Thee	931	1248	87	36	
;	1030	1247	10	36	
Cheered	383	1289	144	37	
by	540	1289	41	37	
hope	595	1289	84	37	
,	683	1289	5	37	
and	706	1289	63	37	
daily	784	1289	83	37	
strengthened	882	1289	225	37	
,	1111	1289	8	37	
We	416	1325	64	33	
would	493	1325	106	34	
run	613	1327	60	33	
,	678	1327	6	33	
nor	700	1328	60	33	
weary	775	1328	100	34	
be	889	1330	40	33	
,	929	1330	10	33	
20	296	1582	192	121	
I.	403	1804	30	17	
Till	497	1367	63	33	
Thy	577	1368	71	33	
glory	661	1369	91	34	
,	753	1370	8	33	
Without	417	1404	151	35	
clouds	580	1404	108	35	
,	693	1404	5	35	
in	717	1404	30	35	
heaven	765	1404	122	35	
we	903	1404	49	35	
see	964	1404	52	35	
.	1018	1404	7	35	
2	399	1881	21	18	
.	425	1881	11	18	
37.	838	250	91	46	
-	930	251	35	46	
SICILY	979	252	231	50	
.	1218	257	8	45	
8s	1277	258	38	45	
,	1318	259	7	45	
7s	1345	259	37	46	
&	1401	260	29	46	
4s	1447	261	41	46	
.	1490	262	9	45	
b	897	380	50	42	
Lord	882	481	87	29	
,	972	481	8	29	
as	1000	481	38	29	
sembling	1095	478	159	35	
,	1254	478	10	35	
We	1316	478	63	35	
,	1384	478	6	35	
Thy	1410	478	71	35	
people	1507	478	152	35	
,	1661	478	7	35	
Teach	457	898	105	31	
us	579	900	34	31	
to	680	900	36	23	
re	767	905	36	17	
-	833	893	16	36	
joice	876	893	83	36	
with	995	893	78	36	
trembling	1086	893	170	36	
;	1268	893	7	36	
Speak	1298	893	105	36	
,	1405	893	6	36	
and	1423	893	63	36	
let	1508	893	44	36	
Thy	1608	895	73	34	
servants	1720	893	143	33	
hear	1883	890	78	35	
;	1970	889	9	35	
Hear	459	929	89	41	
with	565	929	77	41	
meekness	656	929	164	41	
,	824	929	6	41	
Hear	881	929	87	41	
with	1001	929	75	41	
meeknsss	1091	929	160	41	
,	1256	929	7	41	
Hear	1314	929	89	41	
Thy	1416	929	69	41	
word	1498	929	86	41	
with	1607	929	75	41	
god	1707	929	63	41	
-	1782	929	12	41	
ly	1814	929	31	41	
fear	1888	929	69	41	
.	1957	929	8	41	
III	1982	1044	82	93	
3	466	1944	33	51	
*	395	1999	25	42	
#	436	1997	30	42	
4	463	1996	41	42	
-	564	1904	10	3	
M	571	2352	10	4	
1	566	1595	116	116	
O	511	1773	30	35	
Thou	552	1772	92	35	
God	656	1772	72	35	
of	739	1771	36	35	
my	784	1771	52	35	
sal	858	1771	46	35	
-	913	1771	12	35	
va	932	1770	38	35	
-	972	1770	10	35	
tion	985	1770	64	35	
,	1056	1770	5	35	
My	1081	1770	52	35	
Redeemer	1150	1769	175	35	
from	1332	1769	79	34	
all	1424	1768	46	35	
sin	1494	1768	50	35	
,	1546	1767	8	35	
Mov'd	478	1808	104	37	
by	595	1808	39	37	
Thy	646	1808	71	37	
divine	727	1808	106	37	
compassion	846	1808	197	37	
,	1047	1808	6	37	
Who	1061	1808	86	37	
has	1156	1808	56	37	
died	1221	1808	72	37	
my	1303	1808	53	37	
heart	1365	1808	90	37	
to	1465	1808	31	37	
win	1508	1808	59	37	
,	1574	1808	6	37	
Tho	492	1835	71	47	
'	563	1835	11	47	
unseen	584	1836	118	48	
,	708	1837	6	47	
I	738	1838	14	47	
love	766	1838	70	48	
the	848	1839	53	48	
Saviour	913	1840	133	49	
:	1058	1842	7	47	
He	1079	1842	49	48	
hath	1139	1843	75	48	
bro't	1225	1844	79	48	
salvation	1318	1846	153	48	
near	1485	1848	77	48	
;	1572	1849	7	47	
Man	478	1886	75	36	
i	589	1886	10	36	
-	602	1886	11	36	
fests	615	1886	76	36	
his	708	1886	47	36	
pard'ning	768	1886	166	36	
fa	947	1886	32	36	
-	980	1886	12	36	
vor	994	1886	55	36	
,	1052	1886	6	36	
And	1072	1886	72	36	
when	1156	1886	90	36	
Jesus	1257	1886	90	36	
doth	1360	1886	76	36	
appear	1450	1886	120	36	
,	1571	1886	7	36	
ele	855	1950	107	90	
3	1222	1212	20	35	
There	1263	1212	105	35	
,	1371	1212	7	35	
in	1393	1212	32	35	
worship	1442	1213	135	35	
purer	1593	1213	95	36	
,	1690	1214	6	35	
sweeter	1714	1214	131	35	
,	1846	1215	8	35	
All	1299	1252	55	32	
Thy	1369	1252	71	32	
people	1453	1252	113	32	
shall	1581	1252	82	32	
adore	1678	1252	98	32	
,	1777	1252	8	32	
Tasting	1261	1286	137	36	
of	1411	1287	37	35	
enjoyment	1459	1287	184	37	
greater	1660	1289	125	36	
38.	748	1501	99	44	
-	843	1501	37	44	
TAMWORTH	891	1502	436	48	
.	1341	1506	8	44	
8s	1398	1507	39	44	
,	1440	1507	11	44	
7s	1466	1507	38	45	
&	1521	1508	33	44	
4s	1563	1508	42	45	
.	1606	1509	10	44	
32	1152	2586	57	32	
Than	1302	1326	92	34	
they	1408	1326	77	34	
could	1499	1326	91	34	
conceive	1606	1326	147	34	
before	1769	1326	110	34	
,	1879	1326	10	34	
Full	1378	1365	71	33	
enjoyment	1462	1365	184	35	
,	1650	1368	7	33	
Full	1301	1402	72	34	
,	1376	1402	7	34	
unmixed	1400	1402	151	34	
,	1556	1402	6	34	
and	1579	1402	62	34	
evermore	1658	1402	163	34	
.	1821	1402	9	34	
paaise	455	2298	106	36	
Thee	574	2297	85	36	
;	672	2296	9	37	
Where	692	2296	117	37	
will	820	2295	62	37	
I	904	2295	13	37	
Thy	932	2295	70	37	
praise	1010	2294	102	37	
begin	1124	2294	126	36	
.	1253	2293	9	37	
bod	480	2337	62	25	
y	607	2347	23	24	
Shall	687	2334	90	36	
His	793	2334	58	36	
glorious	877	2334	139	36	
im	1027	2334	41	36	
-	1084	2334	12	36	
age	1110	2334	61	36	
bear	1190	2334	77	36	
.	1266	2334	8	36	
LI	592	2413	120	80	
I	1248	2406	86	89	
Italian	1860	276	118	24	
.	1982	276	9	24	
now	1726	475	68	33	
draw	1820	477	85	34	
near	1924	480	77	33	
;	2010	483	9	31	
Il	1258	2153	97	87	
LOCKHART	1812	1521	169	28	
.	1983	1524	7	26	
LULU	2058	765	15	83	
I	1625	1790	14	34	
will	1651	1790	62	34	
praise	1725	1790	101	34	
Thee	1841	1791	88	34	
,	1932	1791	7	34	
I	1951	1791	15	34	
will	1976	1791	64	34	
Soul	1621	1850	78	48	
and	1709	1851	62	48	
bod	1782	1852	60	48	
-	1847	1853	11	47	
y	1860	1853	18	47	
,	1881	1853	8	47	
Soul	1902	1854	76	47	
and	1985	1855	62	47	
L	1600	1953	80	80	
3	1689	2139	23	24	
.	1708	2138	11	25	
While	1398	2200	108	35	
the	1519	2200	55	35	
angel	1587	2200	93	36	
choirs	1696	2201	103	35	
are	1814	2202	53	35	
crying	1881	2202	106	35	
,	1991	2202	9	35	
Glory	1438	2250	99	35	
to	1548	2248	34	36	
the	1595	2248	55	35	
great	1663	2247	89	35	
I	1769	2246	14	36	
AM	1800	2246	61	35	
!	1875	2245	10	36	
I	1400	2294	15	35	
with	1430	2294	75	35	
them	1519	2294	87	36	
will	1622	2295	62	35	
still	1699	2295	64	36	
