content	x	y	w	h	
THE	398	229	151	76	
NEW	609	229	175	76	
HYMN	845	229	213	76	
AND	1116	229	158	76	
TUNE	1334	229	209	76	
BOOK	1599	229	200	76	
.	1800	229	17	76	
A	824	722	50	45	
COLLECTION	916	722	469	45	
OF	1079	951	52	26	
HYMNS	268	1145	573	108	
AND	959	1145	328	108	
TUNES	1419	1145	529	108	
FOR	1058	1428	85	24	
PUBLIC	498	1625	254	51	
,	758	1625	12	51	
SOCIAL	809	1625	259	51	
,	1076	1625	10	51	
AND	1130	1625	154	51	
DOMESTIC	1333	1625	370	51	
WORSHIP	715	1840	740	98	
.	1462	1840	32	98	
Sing	533	2288	84	38	
praises	630	2287	127	38	
to	770	2286	37	39	
God	824	2286	73	39	
,	900	2285	5	39	
sing	925	2285	75	39	
praises	1016	2285	124	38	
.	1146	2284	10	39	
-	1157	2284	31	39	
PSALM	1198	2284	120	38	
xlvii	1331	2283	90	38	
.	1424	2282	8	39	
6	1446	2282	20	39	
.	1468	2282	9	39	
There	533	2338	112	37	
are	657	2338	58	37	
no	728	2338	46	37	
songs	789	2338	103	37	
comparable	907	2338	218	37	
to	1139	2338	35	37	
the	1189	2338	61	37	
songs	1264	2338	101	37	
of	1381	2338	40	37	
Zion	1437	2338	82	37	
.	1527	2338	10	37	
-	1538	2338	30	37	
MILTON	1578	2338	142	37	
.	1723	2338	12	37	
NASHVILLE	845	2723	297	40	
,	1140	2723	12	40	
TENN	1176	2723	138	40	
.:	1307	2723	35	40	
SOUTHERN	432	2791	317	41	
METHODIST	779	2791	338	41	
PUBLISHING	1147	2791	362	41	
HOUSE	1542	2791	192	41	
.	1737	2791	11	41	
1880	1033	2871	103	36	
.	1140	2871	7	36	
