content	x	y	w	h	
07	-6	308	40	40	
)	40	311	11	39	
Les	-7	891	45	27	
,	40	892	8	25	
3	6	1751	22	39	
)	30	1751	15	39	
FUTURE	411	239	173	23	
STATE	612	237	131	24	
.	750	237	7	24	
What	214	311	106	30	
after	338	310	87	30	
death	443	309	101	31	
for	564	309	51	30	
me	634	308	53	31	
remains	705	308	151	30	
?	866	307	14	31	
Celestial	216	353	163	41	
joys	397	353	78	41	
or	493	353	39	41	
hellish	548	353	131	41	
pains	697	353	102	41	
,	801	353	7	41	
To	258	393	53	39	
all	327	394	51	40	
eternity	393	396	151	42	
!	552	399	13	39	
meblie	677	402	144	42	
2	214	461	21	39	
No	261	461	56	39	
room	331	461	96	39	
for	447	461	53	39	
mirth	517	461	107	39	
or	644	461	38	39	
trifling	698	461	136	39	
here	848	461	86	39	
,	935	461	9	39	
For	217	505	68	42	
worldly	303	505	149	42	
hope	470	505	90	42	
or	577	505	38	42	
worldly	634	505	148	42	
fear	796	505	75	42	
,	873	505	10	42	
If	260	546	40	35	
life	316	547	64	36	
so	395	549	37	35	
soon	449	550	82	36	
is	549	552	28	35	
gone	595	553	88	37	
;	691	555	8	35	
If	215	595	39	37	
now	272	594	72	38	
the	364	594	60	37	
Judge	441	593	117	38	
is	575	592	28	38	
at	623	592	32	38	
the	674	592	56	38	
door	749	591	86	38	
,	837	591	8	38	
And	215	640	81	30	
all	315	639	48	31	
mankind	380	639	170	30	
must	569	637	91	31	
stand	677	637	99	30	
before	795	636	117	31	
Th	259	683	55	30	
'	310	683	15	30	
inexorable	343	683	205	30	
throne	564	683	125	30	
!	698	683	10	30	
3	216	753	23	39	
Nothing	260	752	159	38	
is	438	751	27	39	
worth	482	750	112	39	
a	612	749	18	39	
thought	647	749	150	38	
beneath	813	748	149	38	
,	965	747	7	39	
But	217	795	69	40	
how	301	794	76	40	
I	397	793	18	41	
may	431	793	81	40	
escape	529	792	121	40	
the	667	791	59	41	
death	743	790	104	41	
That	259	842	92	34	
never	367	840	107	34	
,	477	839	6	35	
never	501	839	108	34	
dies	625	837	75	35	
!	710	836	9	35	
How	214	880	92	35	
make	324	880	101	35	
mine	443	880	94	35	
own	555	880	75	35	
election	648	880	147	35	
sure	812	880	80	35	
,	894	880	10	35	
And	215	924	82	36	
when	316	924	100	37	
I	433	925	18	36	
fail	469	925	62	36	
on	549	925	42	37	
earth	610	926	97	36	
,	713	926	6	36	
secure	737	927	120	36	
A	262	973	30	30	
mansion	311	972	157	29	
in	487	971	36	30	
the	541	970	58	30	
skies	617	970	91	29	
.	713	969	8	30	
4	212	1034	26	42	
Jesus	259	1034	105	42	
,	366	1034	9	42	
vouchsafe	391	1034	187	42	
a	596	1034	19	42	
pitying	632	1034	138	42	
ray	787	1034	63	42	
,	851	1034	11	42	
Be	215	1076	50	41	
thou	281	1076	86	41	
my	385	1076	56	41	
guide	458	1076	106	42	
,	567	1077	6	41	
be	592	1077	43	41	
thou	650	1077	86	41	
my	754	1078	58	41	
way	831	1078	74	41	
,	907	1078	9	41	
To	258	1125	51	39	
glorious	325	1125	154	39	
happiness	498	1125	189	39	
!	697	1125	9	39	
Ah	216	1166	60	42	
!	288	1166	10	42	
write	321	1166	98	42	
the	434	1166	61	42	
pardon	511	1166	134	42	
on	663	1166	42	42	
my	726	1166	57	42	
heart	799	1166	103	42	
!	907	1166	11	42	
And	215	1209	85	41	
whensoe'er	317	1209	210	41	
I	545	1209	15	41	
hence	580	1209	108	41	
depart	706	1209	123	41	
,	831	1209	8	41	
Let	261	1256	66	41	
me	343	1256	54	41	
depart	414	1256	125	41	
in	554	1256	38	41	
peace	609	1256	105	41	
!	722	1256	9	41	
171	959	226	77	33	
270	128	1337	121	35	
7s	552	1334	39	28	
.	593	1334	10	28	
Rev.	439	1387	74	32	
vii	532	1387	50	32	
.	587	1387	6	32	
13-17	612	1387	107	32	
.	721	1387	10	32	
WH	211	1443	135	71	
THAT	264	1439	137	39	
are	420	1438	57	40	
these	495	1438	96	39	
arrayed	608	1437	146	40	
in	772	1437	35	40	
white	828	1436	103	40	
,	934	1436	8	40	
Brighter	323	1480	166	44	
than	503	1481	86	43	
the	605	1481	61	44	
noonday	682	1482	161	44	
sun	861	1483	65	44	
;	934	1484	10	43	
Foremost	217	1529	182	36	
of	415	1529	39	36	
the	472	1529	61	36	
sons	548	1529	78	36	
of	644	1529	38	36	
light	701	1529	93	36	
,	796	1529	8	36	
Nearest	261	1575	146	29	
the	423	1573	60	30	
eternal	500	1573	133	29	
throne	649	1572	125	29	
?	782	1571	17	30	
These	216	1613	115	39	
are	346	1613	60	40	
they	420	1614	84	39	
that	521	1615	75	39	
bore	613	1615	83	40	
the	711	1616	62	39	
cross	788	1616	91	40	
,	882	1617	9	39	
Nobly	261	1661	118	40	
for	395	1660	54	40	
their	464	1659	93	40	
Master	575	1658	132	40	
stood	722	1657	97	41	
;	829	1656	9	41	
Sufferers	217	1703	169	36	
in	403	1704	35	35	
his	457	1704	54	35	
righteous	530	1705	177	36	
cause	726	1706	101	36	
,	828	1707	10	35	
Followers	263	1749	188	37	
of	468	1749	39	37	
the	525	1749	61	37	
dying	600	1749	112	37	
God	727	1749	81	37	
.	811	1749	10	37	
2	216	1810	22	41	
Out	260	1810	72	41	
of	347	1810	41	41	
great	405	1810	97	42	
distress	517	1811	143	41	
they	677	1811	84	42	
came	777	1812	98	41	
,	874	1812	9	41	
Washed	261	1855	155	32	
their	430	1854	93	32	
robes	541	1853	96	33	
by	655	1853	44	33	
faith	717	1852	88	33	
below	822	1852	109	32	
In	217	1898	45	40	
the	278	1898	60	40	
blood	354	1898	102	40	
of	475	1899	39	40	
yonder	532	1899	133	40	
Lamb	684	1899	109	41	
,	796	1900	7	40	
Blood	261	1937	112	38	
that	389	1938	79	38	
washes	482	1939	130	39	
white	632	1941	104	39	
as	753	1943	34	37	
snow	805	1944	92	38	
;	906	1945	10	37	
(	931	1329	14	39	
702	950	1329	71	39	
)	1023	1329	13	39	
