content	x	y	w	h	
Ob	406	602	73	28	
-	490	601	21	29	
2-8	514	601	84	28	
<	435	632	17	23	
8	445	632	18	23	
b	465	935	19	26	
5-6	449	964	49	29	
3	655	1393	39	40	
.	697	1394	11	39	
DUQUE	901	277	218	33	
.	1128	277	10	33	
M.	1188	278	61	33	
L.	1277	278	48	33	
TE	785	583	116	71	
2	963	569	115	71	
1	1157	924	32	65	
E	1196	1080	64	87	
Alabanza	860	1397	166	43	
y	1040	1399	20	41	
accion	1077	1399	104	43	
de	1199	1401	37	41	
gracias	1248	1402	129	42	
.	1379	1404	8	41	
1	799	1500	19	37	
Cantad	843	1500	126	38	
alegres	985	1501	125	39	
al	1129	1503	33	37	
Señor	1177	1503	101	38	
,	1280	1504	9	37	
Mortales	841	1555	153	38	
todos	1012	1556	92	38	
por	1126	1557	58	38	
do	1202	1558	40	37	
quier	1259	1558	94	38	
;	1362	1559	9	37	
Servidle	799	1609	144	35	
siempre	964	1612	139	35	
con	1122	1615	58	34	
amor	1199	1617	88	34	
,	1291	1618	6	33	
Obedecedle	842	1663	201	36	
con	1061	1666	61	34	
placer	1136	1667	112	35	
.	1250	1669	9	34	
2	797	1778	20	39	
Con	842	1777	65	39	
gratitud	925	1776	145	38	
cancion	1087	1775	133	38	
alzad	1240	1773	93	39	
Al	841	1830	45	37	
Creador	900	1830	142	37	
que	1056	1830	67	37	
el	1137	1830	31	37	
sér	1184	1830	52	37	
os	1253	1830	32	37	
dió	1305	1830	54	37	
;	1371	1830	8	37	
El	799	1886	41	34	
Nombre	856	1886	144	34	
augusto	1017	1886	138	34	
venerad	1174	1886	140	34	
De	840	1940	48	34	
El	904	1939	39	34	
que	958	1938	65	35	
cual	1040	1937	72	34	
Padre	1129	1936	106	34	
nos	1252	1935	57	34	
amó	1329	1934	72	34	
.	1405	1933	6	35	
3	797	2055	20	38	
Su	841	2054	43	38	
pueblo	899	2053	120	37	
somos	1037	2052	105	37	
:	1155	2050	7	38	
salvará	1186	2050	130	37	
A	841	2107	30	38	
sus	887	2106	53	38	
ovejas	959	2105	110	37	
el	1088	2104	29	38	
Pastor	1134	2103	116	37	
;	1261	2102	11	38	
Ninguna	798	2162	153	35	
de	970	2160	40	36	
ellas	1027	2160	79	35	
faltará	1123	2159	123	35	
,	1248	2158	7	36	
Si	841	2215	33	27	
fueren	890	2214	113	27	
fieles	1021	2213	89	27	
al	1127	2212	34	28	
Señor	1176	2212	100	27	
.	1278	2211	8	28	
2	1105	2592	22	25	
J	1426	762	132	90	
4	794	2333	23	37	
De	838	2332	50	36	
su	908	2331	38	37	
promesa	972	2330	151	35	
el	1139	2327	32	37	
alto	1185	2327	69	36	
don	1270	2325	64	37	
Pío	841	2383	58	38	
nos	918	2382	58	39	
dió	995	2382	54	39	
,	1051	2382	6	39	
y	1074	2382	20	39	
sabrá	1110	2381	100	39	
cumplir	1226	2381	139	39	
,	1367	2381	7	39	
Si	798	2440	33	29	
á	848	2440	19	29	
nuestra	883	2440	135	29	
vez	1033	2440	59	29	
el	1109	2440	31	29	
corazon	1156	2440	137	29	
Le	841	2493	44	37	
damos	901	2492	110	37	
puro	1028	2491	83	37	
hasta	1127	2490	95	37	
el	1238	2488	32	38	
morir	1284	2488	100	37	
.	1385	2487	9	38	
Copiado	1298	2542	136	30	
.	1432	2541	9	31	
JOHN	1589	364	64	19	
HATTON	1673	364	96	20	
.	1772	365	7	19	
JI	1604	1089	143	81	
£	1718	1249	30	31	
8	1732	1249	33	31	
