content	x	y	w	h	
16	210	2085	19	26	
D	327	554	19	12	
-4	313	591	42	27	
Heavenly	419	669	212	27	
Dove	653	666	112	28	
.	765	664	10	30	
1	240	712	14	32	
Come	274	711	102	32	
,	381	711	6	32	
Holy	402	711	91	31	
Spirit	508	710	104	31	
,	617	709	5	32	
heavenly	639	709	174	31	
Dove	828	708	94	32	
,	926	708	7	32	
With	277	741	93	33	
all	386	741	45	33	
thy	446	741	63	34	
quick'ning	525	742	206	34	
powers	746	743	131	34	
;	888	744	8	33	
Kindle	241	778	129	25	
a	385	777	17	26	
flame	418	776	103	26	
of	534	776	36	26	
sacred	580	775	114	26	
love	707	775	80	25	
In	274	810	41	26	
these	331	810	96	26	
cold	439	810	74	26	
hearts	528	810	112	26	
of	656	810	37	26	
ours	703	810	78	26	
.	784	810	9	26	
2	238	856	18	29	
Father	274	855	125	29	
,	403	855	5	29	
and	423	855	68	28	
shall	505	854	90	29	
we	612	854	49	29	
ever	675	854	78	28	
live	766	853	71	29	
At	276	890	45	30	
this	332	889	71	31	
poor	417	889	81	30	
dying	512	888	107	31	
rate	633	888	72	31	
Our	240	921	69	31	
love	320	921	79	31	
so	411	921	37	31	
faint	461	921	88	31	
,	554	921	5	31	
so	574	921	38	31	
cold	624	921	74	31	
to	712	921	36	31	
thee	760	921	80	31	
,	844	921	7	31	
And	275	953	79	29	
thine	368	953	100	30	
to	481	954	34	29	
us	530	954	38	29	
so	582	955	36	29	
great	631	955	94	29	
?	734	956	15	29	
3	239	999	17	32	
Come	274	999	103	32	
,	380	999	6	32	
Holy	402	999	90	32	
Spirit	508	999	103	32	
,	616	999	5	32	
heavenly	639	999	170	32	
Dove	825	999	93	32	
,	923	999	7	32	
With	276	1027	94	33	
all	384	1028	48	33	
thy	444	1028	65	34	
quick'ning	523	1029	206	35	
powers	742	1032	133	34	
;	883	1033	8	33	
Come	241	1066	102	31	
,	345	1066	7	31	
shed	366	1066	83	31	
abroad	463	1066	125	31	
a	603	1066	19	31	
Savior's	636	1066	147	31	
love	797	1066	78	31	
,	878	1066	7	31	
And	274	1098	79	27	
that	367	1098	77	27	
shall	456	1098	89	27	
kindle	560	1098	123	27	
ours	697	1098	77	27	
.	778	1098	8	27	
Not	441	1563	78	26	
Ashamed	539	1563	201	26	
.	745	1563	10	26	
1	239	1602	18	30	
I'm	274	1602	62	30	
not	355	1603	62	30	
ashamed	429	1603	163	32	
to	608	1605	34	30	
own	657	1605	77	31	
my	750	1606	58	31	
Lord	826	1607	84	30	
,	915	1608	7	30	
Or	273	1636	43	29	
to	330	1637	34	29	
defend	378	1638	126	31	
his	521	1640	51	30	
cause	588	1642	99	30	
;	697	1644	10	29	
Maintain	242	1669	173	32	
the	430	1670	60	31	
honor	504	1671	109	32	
of	627	1672	36	31	
his	672	1672	55	32	
word	742	1673	90	31	
,	837	1674	8	31	
The	275	1706	70	29	
glory	358	1706	95	30	
of	469	1707	35	29	
his	515	1708	54	29	
cross	584	1708	90	30	
.	677	1709	7	29	
2	240	1747	18	35	
Firm	277	1747	90	35	
as	402	1747	36	35	
his	468	1748	53	35	
throne	555	1748	125	36	
his	711	1749	54	35	
promise	802	1749	151	36	
And	277	1783	78	26	
he	370	1784	45	26	
can	428	1784	62	27	
well	508	1785	75	27	
secure	599	1787	117	27	
[	806	1786	16	30	
stands	822	1786	120	30	
,	946	1786	6	30	
What	244	1815	106	30	
I've	365	1815	72	31	
committed	449	1816	202	31	
to	666	1817	35	31	
his	716	1818	54	30	
hands	784	1818	113	31	
,	900	1819	7	30	
Till	276	1849	67	26	
the	356	1849	58	26	
decisive	429	1849	148	27	
hour	591	1850	89	26	
.	682	1850	10	26	
3	242	1895	17	35	
Then	275	1895	94	35	
he	401	1895	43	35	
will	477	1895	73	35	
own	581	1895	77	35	
my	692	1895	58	35	
worthless	776	1895	178	35	
Before	279	1926	115	27	
his	410	1927	53	27	
Father's	479	1928	150	28	
face	642	1929	70	28	
,	715	1930	9	27	
[	835	1930	14	26	
name	850	1930	104	27	
And	246	1960	77	26	
in	338	1960	37	26	
the	392	1960	60	26	
New	467	1961	80	26	
Jerusalem	565	1961	188	27	
Appoint	280	1995	159	30	
my	453	1995	60	31	
soul	527	1996	75	30	
a	616	1996	18	30	
place	649	1997	97	30	
.	748	1997	8	30	
8	374	2110	29	30	
PEORIA	1095	291	256	41	
.	1356	291	14	41	
C.	1425	291	53	41	
M.	1511	291	74	41	
Closer	1198	663	135	26	
Walk	1359	663	112	27	
.	1481	664	10	26	
1	986	709	15	30	
Oh	1022	709	49	30	
,	1077	709	6	30	
for	1098	709	47	30	
a	1161	709	18	30	
closer	1194	709	105	30	
walk	1314	709	92	30	
with	1425	709	83	30	
God	1525	709	71	30	
,	1601	709	7	30	
A	1022	742	29	31	
calm	1065	742	88	31	
and	1171	742	68	31	
heavenly	1255	742	173	31	
frame	1444	742	111	31	
!	1563	742	9	31	
A	987	776	30	29	
light	1031	776	89	29	
to	1133	776	34	29	
shine	1183	776	100	29	
upon	1300	776	93	29	
the	1409	776	59	29	
road	1481	776	82	29	
That	1022	808	86	24	
leads	1119	808	95	24	
me	1229	808	54	25	
to	1299	809	34	24	
the	1348	809	59	24	
Lamb	1423	809	108	25	
!	1541	810	9	24	
2	984	851	18	29	
The	1021	851	68	29	
dearest	1103	852	132	30	
idol	1251	853	69	29	
I	1337	853	14	29	
have	1367	854	89	29	
known	1468	855	133	30	
,	1605	856	8	29	
Whate'er	1022	887	171	27	
that	1206	888	78	26	
idol	1296	889	74	26	
be	1382	889	41	27	
,	1427	890	7	26	
Help	987	922	90	31	
me	1092	922	56	31	
to	1161	922	35	31	
tear	1209	922	73	31	
it	1296	922	26	31	
from	1337	922	87	31	
thy	1440	922	63	31	
throne	1517	922	126	31	
,	1647	922	7	31	
And	1018	953	83	32	
worship	1118	953	148	32	
only	1282	953	82	32	
thee	1379	953	79	32	
.	1463	953	7	32	
garagesgesc	503	1287	1009	96	
3	983	998	18	36	
So	1018	998	44	36	
shall	1076	998	94	36	
my	1182	998	61	36	
walk	1253	998	92	36	
be	1363	998	40	36	
close	1418	998	89	36	
with	1518	998	85	36	
God	1615	998	70	36	
,	1691	998	6	36	
Calm	1019	1031	93	31	
and	1131	1032	69	31	
serene	1215	1032	119	32	
my	1351	1034	57	31	
frame	1424	1035	111	31	
;	1544	1036	10	31	
So	986	1066	42	31	
purer	1042	1066	102	31	
light	1157	1066	86	31	
shall	1258	1066	91	31	
mark	1365	1066	100	31	
the	1480	1066	62	31	
road	1552	1066	83	31	
That	1019	1097	89	27	
leads	1119	1097	95	27	
me	1229	1098	54	27	
to	1298	1098	33	27	
the	1348	1098	59	27	
Lamb	1422	1099	109	27	
.	1535	1099	8	27	
CAMBRIDGE	1022	1195	411	44	
.	1439	1195	10	44	
C.	1505	1195	53	44	
M.	1590	1195	73	44	
Abundant	1131	1564	222	28	
Mercies	1374	1564	166	29	
.	1547	1565	8	28	
1	987	1602	15	35	
When	1024	1602	110	36	
all	1152	1604	47	35	
thy	1212	1604	64	36	
mercies	1292	1606	141	36	
,	1437	1607	6	35	
oh	1459	1608	43	35	
,	1507	1608	6	35	
my	1529	1609	59	35	
God	1603	1610	72	35	
,	1680	1611	6	35	
My	1023	1641	57	32	
rising	1096	1642	105	33	
