content	x	y	w	h	
62	416	313	79	41	
198	406	480	118	57	
1	490	544	19	25	
.	512	544	9	25	
2	485	621	24	26	
.	510	621	10	26	
Poetry	534	367	101	28	
by	646	366	34	29	
E.	690	366	32	29	
E.	741	365	31	29	
ORVIS	791	365	113	29	
.	906	365	7	29	
6	486	433	41	36	
:	525	433	23	36	
6	485	753	36	35	
:	528	754	18	34	
98	412	808	114	40	
.	507	791	42	53	
3	488	874	22	28	
.	511	874	8	28	
9	402	1798	55	56	
:	451	1798	28	55	
9	410	1084	54	40	
:	454	1082	24	41	
6	478	1082	44	41	
:	523	1080	22	41	
A	602	875	31	28	
His	563	917	59	24	
4.	489	954	29	26	
Then	561	954	90	26	
And	569	993	76	37	
O	591	542	33	28	
praise	689	545	106	35	
the	818	544	57	35	
Lord	903	543	84	36	
,	990	542	8	36	
'	1021	542	9	36	
tis	1032	542	44	36	
To	585	584	45	25	
our	723	594	57	16	
ex	835	594	39	18	
alt	927	587	49	25	
-	989	587	14	25	
ed	1041	587	39	25	
gives	697	624	90	32	
us	834	633	37	18	
all	913	625	45	25	
our	1023	634	58	18	
He	575	624	50	24	
ver	727	672	55	18	
y	842	663	21	37	
hairs	904	664	88	38	
up	1030	667	47	38	
The	582	663	68	25	
$	404	1569	74	110	
:	478	1568	58	110	
CHORUS	528	1298	141	29	
.	672	1298	9	29	
Sing	486	1481	80	35	
,	565	1481	7	35	
sing	578	1481	73	35	
,	650	1481	9	35	
sing	676	1481	74	35	
SING	1028	314	122	40	
UNTO	1177	314	151	40	
THE	1365	314	108	40	
LORD	1499	314	143	40	
.	1648	314	12	40	
1	810	677	10	4	
Sing	487	1701	79	33	
,	566	1700	8	34	
sing	578	1700	72	34	
,	651	1700	8	34	
sing	676	1700	72	33	
-	1120	681	12	5	
Father's	714	871	184	32	
ten	914	871	58	32	
-	997	871	10	32	
der	1024	871	58	32	
love	1151	876	74	27	
he	1291	876	42	27	
shows	1347	876	104	27	
To	1498	877	49	27	
wondrous	718	912	170	34	
lov-	912	914	84	34	
ing	1026	915	58	34	
kindness	1174	915	155	27	
flows	1350	915	88	28	
In	1493	915	40	34	
sing	706	954	70	35	
and	815	953	65	36	
praise	894	953	106	35	
his	1026	952	52	36	
gracious	1144	955	199	38	
name	1356	953	94	39	
,	1454	953	5	39	
And	1467	953	74	39	
publish	697	993	180	37	
to	913	993	40	37	
the	1019	993	60	27	
world	1133	992	100	32	
his	1273	992	51	33	
fame	1352	993	85	32	
,	1442	993	6	32	
And	1469	993	72	33	
good	1168	547	83	35	
to	1292	547	35	35	
sing	1362	547	72	35	
In	1505	546	43	25	
joy	1618	546	57	35	
ful	1740	547	52	35	
songs	1821	548	95	36	
Lord	1155	585	86	36	
and	1268	585	63	36	
King	1347	585	91	36	
Who	1475	585	84	36	
crowns	1576	585	122	36	
with	1713	585	80	36	
love	1817	585	73	36	
dai	1175	625	54	35	
him	1608	624	72	25	
we	1733	634	48	16	
live	1820	624	69	26	
numbered	1602	666	219	33	
by	1834	662	45	36	
ly	1288	625	36	35	
bread	1351	625	99	35	
,	1452	625	8	35	
In	1504	625	38	35	
our	1278	665	58	31	
head	1350	663	83	31	
,	1436	662	8	32	
Are	1483	661	66	31	
on	1171	673	41	19	
E	1659	746	108	81	
!	1702	746	79	81	
C.	1747	316	51	37	
M.	1824	316	61	37	
Music	1754	368	88	29	
by	1856	368	35	29	
G.	1903	368	32	29	
W.	1953	368	42	29	
LINTON	2018	368	141	29	
.	2164	368	8	29	
all	1625	876	49	27	
his	1737	876	50	25	
chil	1813	875	69	25	
stream	1586	915	118	34	
-	1708	915	11	34	
lets	1719	915	62	34	
bright	1810	915	112	34	
sound	1590	952	104	39	
his	1734	952	52	38	
prais	1801	951	85	39	
-	1903	951	11	39	
all	1837	994	49	27	
tell	1608	995	62	25	
of	1740	996	38	24	
a	839	1479	19	37	
song	885	1479	80	37	
un	991	1479	46	37	
-to	1050	1479	49	37	
the	1139	1479	58	37	
Lord	1232	1479	83	37	
,	1319	1479	6	37	
Sing	1383	1479	79	37	
,	1466	1479	7	37	
sing	1494	1479	73	37	
,	1567	1479	8	37	
sing	1618	1479	74	37	
a	840	1698	20	39	
song	886	1698	80	39	
un	991	1698	46	39	
-to	1050	1698	49	39	
the	1138	1698	58	39	
Lord	1231	1698	82	39	
,	1318	1698	6	39	
Sing	1382	1698	77	39	
,	1463	1698	6	39	
sing	1494	1698	70	39	
,	1568	1698	6	39	
sing	1617	1698	74	39	
of	1968	546	36	24	
our	1964	595	58	16	
and	1962	622	63	29	
his	1965	663	56	25	
dren	1954	874	80	29	
and	1963	915	64	34	
es	1970	964	34	18	
his	1964	994	51	26	
-	2000	1497	10	4	
praise	2123	544	106	62	
,.	2228	549	29	58	
}	2256	551	18	57	
move	2119	633	93	23	
;	2223	635	9	22	
love	2122	662	74	29	
.	2199	664	6	28	
here	2126	876	78	31	
,	2206	877	6	30	
clear	2122	916	83	28	
.	2208	918	7	25	
PO	1996	1716	11	3	
El	2240	424	128	93	
forth	2119	955	91	30	
,	2216	955	7	30	
worth	2109	995	103	26	
.	2216	995	8	26	
et	1775	1355	109	83	
&	1783	1486	20	31	
song	1835	1484	81	29	
un	1938	1482	46	30	
to	2024	1480	35	30	
the	2089	1478	57	30	
Lord	2175	1476	84	30	
.	2261	1474	7	31	
a	1780	1705	20	30	
song	1829	1703	81	29	
un	1935	1701	46	29	
to	2022	1699	34	29	
the	2087	1697	57	29	
Lord	2174	1695	84	29	
.	2261	1693	9	30	
