content	x	y	w	h	
be	-5	595	45	24	
a	8	636	23	16	
ous	-1	668	61	18	
fe's	-7	1231	62	22	
CO	-7	1269	31	19	
mall	-8	1300	65	19	
R.	279	310	36	28	
G.	335	310	30	28	
STAPLES	386	310	176	28	
.	563	310	8	28	
Cat	214	415	176	104	
9	206	809	70	77	
:	266	808	38	78	
1	335	807	59	77	
9:12	203	1424	167	81	
9	199	1975	68	99	
:	263	1978	30	97	
6	405	2150	23	30	
4	457	403	52	53	
4	458	467	53	51	
No.	888	232	89	59	
75.	1016	232	86	59	
THE	1172	232	124	59	
RIFTED	1335	232	215	59	
ROCK	1590	232	168	59	
.	1761	232	10	59	
*	1779	232	28	59	
4	454	802	55	53	
4	453	864	55	50	
*	1278	444	53	36	
1	470	642	21	23	
No	535	643	54	21	
oth	647	642	56	23	
-	721	644	11	21	
er	756	645	34	23	
ref-	838	643	70	27	
uge	932	642	63	28	
,	997	642	6	28	
Lord	1022	642	85	28	
,	1112	641	6	28	
have	1132	641	89	28	
I	1236	641	15	28	
,	1257	641	7	28	
Who	1346	643	89	24	
can	1460	644	61	25	
I	1583	643	17	23	
trust	1624	643	89	23	
but	1725	643	64	23	
Storms	1324	676	133	23	
in	1471	676	34	23	
wild	1548	674	80	28	
fu-	1653	676	61	28	
ry	1736	678	39	28	
2	471	670	17	29	
Tho	520	670	70	29	
'	593	670	10	29	
clouds	627	671	116	29	
ob	758	672	41	29	
-	802	672	10	29	
scure	814	672	95	29	
and	935	673	68	29	
dark	1017	673	84	30	
the	1117	674	60	29	
way	1190	675	76	29	
,	1270	675	8	29	
3	472	703	18	37	
Come	502	703	102	37	
,	608	703	7	37	
stormy	628	703	131	37	
wind	775	703	92	37	
,	873	703	6	37	
come	892	703	96	37	
,	993	703	6	37	
tem	1014	703	65	37	
-	1086	703	11	37	
pest	1098	703	75	37	
shock	1186	703	104	37	
,	1298	703	7	37	
Roll	1353	703	77	37	
,	1435	703	7	37	
bil	1460	703	47	37	
-	1510	703	11	37	
lows	1521	703	85	37	
of	1633	703	42	37	
the	1725	710	61	22	
*	1274	839	57	40	
-a	1241	1104	43	25	
O	1244	1174	33	31	
[	1326	826	40	27	
X	1326	835	40	40	
]	1326	870	40	26	
on	486	1265	44	25	
the	563	1265	56	25	
Rock	635	1265	92	25	
That	744	1265	89	25	
has	846	1265	61	25	
been	922	1265	83	25	
cleft	1021	1265	78	25	
for	1146	1268	47	22	
me	1231	1271	54	23	
.	1289	1273	6	21	
rest	468	1299	71	24	
se-	567	1299	60	24	
cure	648	1299	77	24	
Till	741	1299	62	24	
thou	819	1299	83	24	
the	918	1299	57	24	
storms	989	1299	124	24	
as	1128	1299	35	24	
-	1179	1299	10	24	
suage	1217	1308	102	22	
.	1320	1307	7	23	
in	487	1332	35	25	
the	566	1332	58	25	
Rock	640	1332	92	25	
That	748	1332	89	25	
has	852	1332	59	25	
been	927	1332	83	25	
cleft	1027	1332	78	25	
for	1117	1332	50	25	
me	1230	1340	59	17	
.	1288	1340	8	17	
-0	1240	1500	37	27	
CHORUS	1375	999	156	26	
.	1532	997	8	28	
196	1381	1083	40	60	
Ke	1336	1458	70	37	
24	1467	1095	127	38	
a	1616	1095	36	38	
The	1448	1335	71	22	
rift	1548	1335	59	22	
AF	1520	1653	67	40	
thee	1827	643	80	23	
?	1917	643	15	23	
rage	1823	682	78	22	
,	1905	683	7	21	
sea	1830	715	58	22	
;	1895	715	11	22	
-	1651	1347	12	4	
The	1606	1267	71	27	
rift	1701	1267	59	27	
-	1771	1267	13	27	
ed	1795	1267	39	28	
Rock	1850	1268	93	27	
,	1950	1268	7	27	
ed	1707	1334	41	25	
2	1845	831	37	27	
2	1841	1688	31	31	
●	1921	842	15	11	
24	1731	2022	107	34	
196	2017	426	39	60	
*	1967	836	56	38	
*	748	2180	19	35	
From	784	2180	102	35	
"	901	2181	18	35	
FOUNT	933	2181	146	36	
OF	1100	2182	49	35	
BLESSING	1174	2183	217	36	
"	1401	2185	14	35	
by	1439	2185	42	35	
per	1497	2185	58	36	
.	1559	2186	6	35	
of	1581	2186	37	35	
R.	1637	2186	38	36	
G.	1694	2187	38	35	
STAPLES	1751	2187	163	36	
.	1915	2188	9	35	
2	1972	1098	48	34	
Opt	2065	1094	29	14	
Rock	1840	1334	91	28	
,	1937	1332	7	29	
the	1958	1332	60	28	
rift	2052	1331	61	28	
W.	2129	310	44	29	
F.	2194	309	30	30	
HEATH	2246	309	138	30	
.	2388	308	8	30	
Oh	2046	640	48	29	
,	2101	640	7	29	
fix	2138	641	48	29	
my	2219	642	59	30	
hope	2294	643	90	30	
up	2407	645	46	29	
Safe	2035	673	78	28	
from	2135	674	86	28	
a	2240	675	19	28	
-	2262	675	10	28	
larm	2272	675	86	29	
,	2365	676	8	28	
I	2054	708	22	24	
am	2131	716	53	14	
se	2234	712	33	23	
-	2268	711	11	24	
cure	2281	711	78	23	
with	2373	709	81	24	
the	2103	1265	60	27	
rift	2176	1265	58	28	
-	2238	1266	9	27	
ed	2248	1266	37	28	
Rock	2301	1267	92	28	
,	2400	1268	7	27	
