content	x	y	w	h	
134	313	202	122	47	
The	974	201	129	65	
Fairy	1137	200	189	65	
Crowning	1363	198	339	65	
.	1712	196	12	66	
Continued	1797	196	352	64	
.	2158	194	13	66	
(	410	296	15	34	
Enter	426	296	105	34	
six	545	296	53	34	
Fairies	615	296	129	34	
,	749	296	5	34	
three	769	296	97	34	
at	879	296	35	34	
right	932	296	93	34	
and	1044	296	69	34	
three	1133	296	96	34	
at	1249	296	34	34	
left	1302	296	60	34	
.	1367	296	6	34	
Running	1410	296	168	34	
lightly	1597	296	125	34	
in	1737	296	37	34	
,	1780	296	6	34	
they	1803	296	83	34	
form	1900	296	86	34	
a	2004	296	17	34	
semi	2035	296	87	34	
-	2127	296	10	34	
circle	2140	296	101	34	
facing	2256	296	113	34	
before	2383	296	113	34	
the	2510	296	60	34	
throne	2586	296	125	34	
in	2724	296	37	34	
the	2774	296	64	34	
center	354	331	116	32	
.	474	331	8	32	
They	518	331	92	32	
salute	623	331	111	32	
the	751	331	61	32	
Queen	832	331	118	32	
as	967	331	36	32	
they	1022	331	84	32	
enter	1121	331	95	32	
by	1237	331	42	32	
bowing	1295	331	139	32	
very	1448	331	83	32	
low	1546	331	65	32	
.	1617	331	8	32	
Play	1660	331	83	32	
first	1760	331	74	32	
strain	1851	331	109	32	
of	1975	331	38	32	
"	2023	331	18	32	
Introduction	2050	331	243	32	
"	2307	331	17	32	
as	2338	331	36	32	
the	2392	331	61	32	
Fairies	2472	331	129	32	
enter	2621	331	97	32	
.	2721	331	7	32	
The	2764	331	72	32	
Fairies	354	361	131	36	
should	498	361	125	36	
step	638	361	74	36	
four	725	361	76	36	
times	814	361	102	36	
for	929	361	49	36	
each	989	361	83	36	
measure	1087	361	158	36	
,	1249	361	6	36	
and	1269	361	69	36	
thus	1352	361	82	36	
keep	1448	361	89	36	
exact	1551	361	100	36	
time	1664	361	86	36	
.	1755	361	7	36	
)	1764	361	12	36	
Moderato	593	421	216	26	
.	815	422	11	25	
Le	353	456	158	86	
2:58	357	697	145	156	
9	338	1287	86	71	
:	388	1286	55	72	
8	467	533	62	53	
2	344	1852	87	94	
6	470	719	51	50	
a	557	720	43	50	
QUEEN	446	949	164	33	
.	613	949	11	33	
(	658	949	16	33	
Addressing	675	949	178	33	
the	865	949	46	33	
extreme	922	949	118	33	
right	1048	949	80	33	
.	1128	949	7	33	
)	1138	949	12	33	
HA	1414	1033	122	106	
My	517	1192	62	39	
dear	621	1192	86	39	
little	738	1192	142	39	
fay	913	1192	61	39	
Where	1052	1188	134	40	
were	1199	1189	92	40	
you	1307	1191	71	39	
to	1411	1192	37	39	
-	1467	1192	15	39	
day	1496	1193	70	39	
?	1571	1194	17	39	
7	525	1317	35	36	
H	1692	1033	168	110	
F	1917	1039	94	85	
And	1668	1191	85	39	
what	1769	1191	98	40	
have	1882	1192	94	39	
you	1991	1192	70	40	
done	2080	1193	91	39	
and	2264	1194	73	27	
47	706	1595	151	117	
M	1565	1604	188	115	
one	518	1756	66	41	
little	624	1756	132	41	
sprite	786	1756	112	41	
,	903	1756	6	41	
Shall	930	1756	102	41	
crowned	1051	1756	162	41	
be	1227	1756	42	41	
to	1301	1756	35	41	
-	1340	1756	13	41	
night	1354	1756	106	41	
With	1522	1756	102	41	
this	1641	1756	75	41	
myrtle	1769	1758	192	38	
wreath	1986	1758	132	38	
pret	2144	1758	81	38	
-	2247	1758	16	38	
ty	2283	1758	39	38	
seen	2405	1204	80	25	
;	2494	1205	11	25	
14	2434	1276	245	180	
and	2397	1759	71	29	
Some	2669	1193	105	30	
green	2535	1771	105	26	
.	2644	1770	7	27	
