content	x	y	w	h	
92	365	196	94	49	
F.	500	259	39	27	
S.	549	259	36	27	
A.	595	259	35	27	
With	556	311	113	31	
steady	690	311	148	31	
movement	861	311	247	31	
.	1112	311	12	31	
The	1419	195	169	69	
Song	1648	195	214	69	
of	1924	195	80	69	
the	2058	195	143	69	
Old	2268	195	149	69	
Bell	2481	195	166	69	
.	2650	195	17	69	
FJ	2587	368	142	112	
.	2695	367	47	114	
4	552	423	57	55	
f	1220	426	93	78	
1.	561	540	42	51	
I	631	540	25	51	
was	708	540	80	51	
hung	808	540	113	51	
in	941	540	40	51	
my	1007	540	67	51	
place	1087	540	114	51	
when	1215	540	114	51	
the	1346	540	66	51	
village	1433	540	145	51	
was	1594	540	77	51	
young	1687	540	134	51	
And	1838	540	92	51	
the	1947	540	69	51	
houses	2037	540	141	51	
were	2197	540	103	51	
scattered	2319	540	194	51	
and	2534	540	79	51	
few	2649	540	76	51	
,	2728	540	11	51	
मे	1083	619	31	106	
-b	494	1982	50	49	
-0	850	405	41	26	
2.	558	815	43	52	
Sextons	630	815	170	52	
five	819	815	80	53	
who	913	816	88	52	
have	1014	816	102	52	
served	1131	817	136	52	
here	1284	817	93	52	
have	1393	818	102	52	
aged	1509	818	99	52	
and	1621	818	77	53	
died	1713	819	89	52	
And	1818	819	94	52	
the	1929	820	66	52	
sixth	2017	820	105	52	
now	2137	820	86	53	
is	2238	821	30	52	
tugging	2303	821	170	52	
at	2508	822	44	52	
me	2639	839	64	28	
,	2706	839	10	28	
4	554	909	56	54	
J.	2638	911	88	84	
£	1219	974	80	76	
.	1262	974	49	76	
A	1431	945	73	84	
3.	559	1087	40	52	
So	629	1087	53	52	
I	723	1087	23	52	
watch	767	1087	130	52	
from	917	1087	100	52	
my	1040	1087	66	52	
tower	1123	1087	122	52	
as	1263	1087	42	52	
the	1321	1087	68	52	
pagent	1410	1087	146	52	
moves	1571	1087	131	52	
by	1725	1087	50	52	
With	1800	1087	112	52	
its	1934	1087	50	52	
joys	2000	1087	88	52	
and	2108	1087	78	52	
its	2208	1087	50	52	
sorrows	2299	1087	163	52	
and	2502	1087	80	52	
fears	2619	1087	102	52	
,	2726	1087	9	52	
And	2793	1087	95	52	
its	2917	1087	52	52	
all	3009	1087	58	52	
9414	393	1183	376	121	
a	636	1619	28	53	
-	669	1619	19	53	
ges	699	1619	68	53	
I've	787	1619	87	53	
swung	893	1619	140	53	
,	1039	1619	6	53	
Yet	1070	1619	83	53	
my	1174	1619	65	53	
song	1261	1619	97	53	
is	1393	1619	34	53	
the	1467	1619	69	53	
same	1558	1619	108	53	
as	1689	1619	40	53	
when	1751	1619	115	53	
new	1884	1619	85	53	
.	1971	1619	9	53	
A	1513	1775	124	87	
hustled	634	1908	155	37	
a	821	1912	24	34	
side	923	1908	85	49	
Making	1046	1908	173	49	
room	1257	1908	106	49	
for	1390	1908	61	49	
a	1492	1908	23	49	
younger	1550	1908	181	49	
than	1750	1908	97	49	
he	1890	1908	51	49	
.	1943	1908	9	49	
9:24	381	2281	327	100	
1	877	1931	10	5	
sol	634	2185	58	49	
-	704	2185	15	49	
i-	732	2185	43	49	
tude	789	2186	96	49	
high	907	2186	97	50	
,	1012	2187	8	49	
If	1064	2187	47	50	
the	1146	2188	68	49	
world	1253	2189	119	49	
is	1396	2190	32	49	
in	1475	2190	39	49	
glad	1540	2190	90	50	
-	1648	2191	12	49	
ness	1673	2191	90	50	
or	1780	2192	46	49	
1	1197	2272	110	123	
ff	1383	2308	161	100	
Fo	1855	1996	95	125	
.	1962	2001	23	121	
tears	1881	2197	108	32	
.	1992	2197	9	32	
J	1881	2299	98	81	
CHORUS	2077	1395	206	25	
.	2287	1395	12	25	
And	2072	1621	93	39	
so	2207	1627	39	38	
And	2067	1908	94	38	
so	2201	1912	40	37	
F	2046	2005	83	131	
And	2075	2191	94	39	
so	2211	2196	40	38	
I	2319	1624	28	34	
I	2311	1906	27	37	
I	2313	2191	28	36	
#	2889	381	177	98	
In	2818	535	50	52	
the	2904	536	70	52	
old	3016	537	67	52	
din	3129	538	67	53	
-	3215	539	13	52	
gy	3243	539	51	53	
bel-	3337	541	96	52	
fry	3452	542	64	52	
for	3552	543	62	53	
But	2799	824	84	36	
he'll	2903	824	92	36	
soon	3013	824	91	36	
be	3150	824	47	36	
so	3243	824	41	36	
worn	3307	824	106	36	
he'll	3434	824	91	36	
be	3545	824	50	36	
$	2998	925	92	102	
G.	3447	266	40	25	
F.	3502	266	37	25	
R.	3551	266	40	25	
one	3126	1100	74	27	
to	3240	1098	40	28	
me	3319	1097	65	27	
sing	2425	1623	84	51	
Ding	2528	1622	111	51	
,	2645	1621	7	52	
dong	2669	1621	107	51	
,	2779	1620	9	52	
dong	2805	1620	105	51	
,	2916	1619	8	52	
ding	2940	1619	98	51	
,	3043	1618	9	52	
Or	3069	1618	61	52	
f	3462	969	93	89	
.	3471	968	74	89	
in	3452	1091	38	37	
my	3537	1100	68	40	
7	3444	1448	115	83	
ut	3194	1626	44	35	
-	3250	1625	17	36	
ter	3281	1625	62	35	
a	3386	1624	24	36	
solemn	3458	1623	149	35	
sing	2425	1908	87	52	
Ding	2531	1907	111	52	
,	2646	1906	8	53	
dong	2669	1906	107	52	
,	2780	1905	7	53	
dong	2807	1905	106	53	
,	2919	1904	8	53	
ding	2945	1904	97	53	
,	3047	1903	6	53	
Or	3073	1903	59	53	
ut-	3190	1903	75	52	
ter	3278	1902	60	53	
a	3384	1901	24	53	
solemn	3457	1901	150	52	
sing	2429	2193	87	52	
Ding	2534	2192	112	52	
,	2650	2191	8	53	
dong	2674	2191	107	52	
,	2785	2190	7	53	
dong	2811	2190	104	52	
,	2923	2189	7	53	
ding	2947	2189	96	52	
,	3048	2188	6	53	
Or	3075	2188	60	53	
ut-	3192	2187	74	53	
ter	3278	2187	60	52	
a	3383	2186	24	53	
solemn	3456	2185	150	53	
