content	x	y	w	h	
Miss	359	315	72	25	
ELLEN	452	315	106	25	
H.	579	315	38	25	
WILLIS	632	315	117	25	
.	752	315	7	25	
6	410	399	35	37	
ő	410	449	34	30	
9:46	307	740	141	41	
8	407	781	38	36	
9	309	1833	63	51	
I	685	227	25	53	
LEFT	741	227	144	53	
IT	916	227	58	53	
ALL	1006	227	111	53	
WITH	1145	227	159	53	
JESUS	1336	227	169	53	
.	1511	227	15	53	
HO	1543	227	75	53	
T	821	386	86	119	
1.	402	553	35	28	
I	456	553	23	28	
left	537	551	67	41	
it	649	551	31	41	
all	719	551	53	41	
with	786	551	85	41	
Je	896	551	42	41	
-	948	551	13	41	
sus	973	551	56	41	
,	1033	551	5	41	
Long	1068	551	98	41	
a	1201	551	18	41	
-	1228	551	12	41	
go	1251	551	42	41	
;	1304	551	7	41	
All	1353	551	62	41	
my	1446	551	59	41	
sins	1523	551	70	41	
I	1621	551	16	41	
brought	1656	551	156	41	
Him	1822	551	88	41	
,	1912	551	11	41	
2.	402	608	34	39	
I	459	608	20	39	
leave	517	608	102	39	
it	650	608	30	39	
all	719	608	48	39	
with	786	608	84	39	
Je	893	608	43	39	
-	949	608	12	39	
sus	972	608	56	39	
,	1032	608	6	39	
For	1067	608	66	39	
He	1150	608	53	39	
knows	1216	608	118	39	
How	1354	608	90	39	
to	1465	608	33	39	
steal	1518	608	87	39	
the	1623	608	58	39	
bit	1714	608	52	39	
-	1778	608	14	39	
ter	1803	608	54	39	
45	1453	973	130	66	
7	1694	954	145	103	
And	404	1103	83	44	
my	516	1103	59	44	
woe	593	1103	73	44	
;	674	1103	10	44	
When	709	1103	114	44	
by	838	1103	42	44	
faith	896	1103	92	44	
I	1007	1103	17	44	
saw	1048	1103	69	44	
Him	1139	1103	87	44	
On	1265	1103	55	44	
the	1344	1103	61	44	
tree	1420	1103	69	44	
,	1494	1103	6	44	
Heard	1514	1103	121	44	
His	1647	1103	66	44	
small	1721	1103	107	44	
,	1829	1103	9	44	
still	1845	1103	80	44	
From	368	1158	107	42	
life's	487	1158	89	42	
woes	588	1158	88	42	
;	684	1158	8	42	
How	712	1158	89	42	
to	828	1158	32	42	
gild	885	1158	75	42	
the	979	1158	58	42	
tear	1057	1158	73	42	
-	1134	1158	11	42	
drop	1147	1158	86	42	
With	1256	1158	98	42	
His	1369	1158	66	42	
smile	1448	1158	99	42	
,	1553	1158	7	42	
Make	1575	1158	108	42	
the	1695	1158	59	42	
desert	1770	1158	113	42	
-	494	1745	11	5	
whisper	404	1665	199	42	
,	604	1665	9	42	
'	644	1666	14	42	
Tis	658	1666	59	42	
for	773	1666	52	42	
thee	850	1666	78	43	
;	940	1667	7	42	
From	975	1667	105	42	
my	1104	1667	56	43	
heart	1188	1668	101	42	
the	1308	1668	58	43	
burden	1391	1669	168	42	
Rolled	1585	1670	123	42	
a	1733	1670	21	42	
-	1763	1670	15	42	
way	1787	1670	76	43	
den	535	1725	71	41	
Bloom	648	1725	124	41	
a	793	1725	20	41	
-	816	1725	12	41	
while	829	1725	106	41	
;	947	1725	7	41	
When	975	1725	113	41	
my	1109	1725	58	41	
weakness	1187	1725	177	41	
lean	1389	1725	78	41	
-	1478	1725	12	41	
eth	1501	1725	58	41	
On	1605	1725	56	41	
His	1688	1725	67	41	
might	1775	1725	115	41	
,	1892	1725	7	41	
Cres	772	2011	90	21	
.	867	2011	8	21	
English	1715	313	125	28	
.	1845	313	9	28	
3	381	2577	21	33	
I	427	2577	18	33	
leave	461	2577	102	33	
it	578	2577	29	33	
all	626	2577	49	34	
with	693	2578	84	33	
Jesus	797	2578	103	33	
Day	472	2625	81	37	
by	570	2625	45	37	
day	634	2625	72	37	
;	713	2625	12	37	
Faith	429	2668	107	39	
can	553	2668	67	39	
firmly	637	2668	120	39	
trust	772	2668	95	39	
Him	882	2668	89	39	
Come	474	2708	105	35	
what	597	2710	92	36	
may	708	2713	81	35	
;	803	2715	8	34	
Hope	428	2756	103	41	
has	548	2756	64	41	
dropped	630	2756	157	41	
her	806	2756	63	41	
anchor	887	2756	132	41	
,	1021	2756	8	41	
Found	473	2798	125	32	
her	616	2800	62	32	
rest	696	2801	69	32	
,	768	2802	6	31	
In	426	2845	46	36	
the	488	2845	58	36	
calm	564	2845	91	36	
,	662	2845	8	36	
sure	685	2845	81	36	
haven	781	2845	117	36	
Of	472	2890	48	32	
His	535	2890	67	33	
breast	618	2891	118	33	
;	744	2892	10	32	
99	1861	229	58	44	
Rit	1542	2008	67	19	
.	1612	2007	10	20	
N	1671	2042	100	105	
Happy	409	2189	171	45	
day	600	2189	69	45	
!	681	2189	12	45	
From	716	2189	105	45	
my	841	2189	59	45	
heart	918	2189	102	45	
the	1037	2189	59	45	
burden	1114	2189	135	45	
Rolled	1269	2189	128	45	
a	1417	2189	19	45	
-	1439	2189	12	45	
way	1453	2189	74	45	
-	1533	2189	34	45	
Happy	1579	2189	134	45	
day	1765	2189	70	45	
!	1848	2189	11	45	
All	406	2244	66	45	
seems	483	2244	110	45	
light	604	2244	95	45	
.	702	2244	7	45	
When	718	2244	113	45	
my	848	2244	58	45	
weakness	919	2244	176	45	
leaneth	1111	2244	141	45	
On	1271	2244	55	45	
His	1352	2244	67	45	
might	1434	2244	116	45	
,	1554	2244	4	45	
All	1579	2244	62	45	
seems	1657	2244	107	45	
light	1781	2244	94	45	
.	1879	2244	8	45	
9	309	2374	62	60	
:	358	2374	41	60	
:	401	2935	10	33	
Love	428	2934	93	33	
