content	x	y	w	h	
78	281	240	71	38	
PRECIOUS	1019	237	329	41	
FOUNTAIN	1386	237	344	41	
.	1737	237	13	41	
9	302	1281	59	57	
홍	1631	325	119	138	
4	400	409	42	37	
1.	401	506	31	43	
Let	451	506	68	43	
the	544	506	62	43	
holy	644	506	128	43	
name	798	506	105	43	
of	928	506	40	43	
Jesus	989	506	151	43	
Dwell	1171	506	117	43	
for	1313	506	54	43	
-	1370	506	13	43	
ever	1386	506	128	43	
in	1540	506	36	43	
thy	1617	506	65	43	
heart	1709	506	100	43	
,	1814	506	5	43	
It	1871	506	37	43	
will	1934	506	75	43	
cleanse	2033	506	142	43	
,	2178	506	5	43	
re	2199	506	36	43	
-	2239	506	12	43	
fresh	2254	506	94	43	
,	2354	506	5	43	
and	2378	506	71	43	
2.	399	552	33	42	
Souls	450	552	104	42	
are	573	552	62	42	
wea	651	552	76	42	
-	730	552	12	42	
ry	745	552	42	42	
,	790	552	8	42	
worn	806	552	97	42	
,	907	552	7	42	
and	920	552	72	42	
troubled	1004	552	165	42	
,	1174	552	5	42	
Bowed	1191	552	130	42	
with	1336	552	87	42	
sorrow	1436	552	133	42	
,	1573	552	6	42	
pain	1585	552	83	42	
,	1673	552	5	42	
and	1686	552	70	42	
grief	1767	552	96	42	
;	1869	552	7	42	
Weak	1889	552	112	42	
and	2016	552	67	42	
faint	2097	552	92	42	
,	2194	552	5	42	
fly	2209	552	46	42	
to	2286	552	40	42	
this	2353	552	75	42	
3.	398	596	34	43	
With	452	596	104	43	
thy	571	596	69	43	
woes	656	596	89	43	
and	761	596	69	43	
earth	844	596	99	43	
-	950	596	11	43	
ly	966	596	36	43	
la-	1020	596	61	43	
bors	1094	596	80	43	
,	1180	596	6	43	
Wea	1209	596	90	43	
--	1302	596	29	43	
y	1334	596	22	43	
with	1369	596	87	43	
thy	1475	596	65	43	
load	1559	596	82	43	
of	1673	596	42	43	
care	1741	596	81	43	
,	1824	596	6	43	
Come	1853	596	108	43	
,	1965	596	6	43	
oh	1985	596	43	43	
,	2034	596	6	43	
come	2056	596	101	43	
,	2158	596	6	43	
un	2180	596	50	43	
-	2247	596	15	43	
to	2274	596	42	43	
the	2351	596	63	43	
35	321	947	151	118	
cheer	396	1092	107	41	
you	519	1092	70	41	
,	594	1092	6	41	
Shield	619	1092	121	41	
from	759	1092	93	41	
Sa	868	1092	45	41	
-	917	1092	13	41	
tan's	932	1092	90	41	
fa	1053	1092	35	41	
-	1106	1092	14	41	
tal	1137	1092	51	41	
dart	1234	1092	83	41	
.	1320	1092	10	41	
Fountain	397	1138	180	38	
,	583	1138	6	38	
You	614	1138	78	38	
will	735	1138	73	38	
surely	833	1138	156	38	
find	1009	1138	74	38	
re	1153	1144	40	27	
-	1213	1141	16	28	
lief	1249	1140	70	26	
.	1315	1137	10	29	
Savior	394	1179	185	39	
,	582	1180	8	39	
In	629	1180	46	39	
him	724	1180	74	40	
end	848	1181	66	39	
-	919	1181	10	39	
less	934	1182	67	39	
pleas	1023	1182	98	40	
-	1126	1183	13	39	
ures	1141	1183	81	39	
are	1247	1183	63	40	
.	1309	1184	10	39	
E	665	1286	126	94	
CHORUS	1404	909	196	23	
.	1606	909	12	23	
E	1959	938	98	116	
sa	426	1691	39	42	
-	475	1691	15	42	
cred	504	1691	82	42	
name	600	1691	106	42	
sup	718	1691	66	42	
-	788	1691	10	42	
plies	801	1691	88	42	
,	895	1691	6	42	
It	952	1691	39	42	
is	1036	1691	29	42	
balm	1106	1691	92	42	
for	1246	1691	52	42	
wounded	1311	1691	172	42	
spirits	1497	1691	169	42	
,	1672	1691	5	42	
It	1725	1691	44	42	
is	1818	1691	33	42	
2	826	1751	34	21	
.	864	1751	14	21	
SAMUEL	2117	295	147	24	
TRACY	2279	295	118	24	
.	2401	295	6	24	
Oh	1440	1138	55	42	
,	1497	1138	6	42	
what	1532	1138	97	42	
joy	1642	1138	62	42	
that	1718	1138	81	42	
precious	1818	1138	160	42	
Fountain	2001	1138	177	42	
,	2185	1138	5	42	
Which	2215	1138	135	42	
his	2368	1138	57	42	
life	1911	1691	65	32	
that	1999	1693	80	32	
nev	2096	1696	68	33	
-	2193	1716	12	4	
er	2236	1699	39	28	
dies	2304	1697	76	28	
.	2384	1696	11	29	
LE	2702	1452	114	53	
