content	x	y	w	h	
FOR	489	241	87	30	
PRAISE	596	241	162	32	
.	760	243	11	30	
2	197	325	19	33	
Which	240	325	119	35	
of	378	328	38	33	
all	435	329	44	34	
our	495	330	55	34	
friends	566	332	120	35	
,	692	334	6	33	
to	718	335	32	33	
save	770	336	75	34	
us	862	338	37	33	
,	900	338	8	33	
Could	284	372	107	34	
or	408	372	37	34	
would	460	372	109	35	
have	587	373	81	34	
shed	686	373	79	35	
his	783	374	50	34	
blood	849	374	102	34	
But	239	415	68	32	
this	320	415	65	33	
Saviour	400	416	138	34	
died	556	418	74	33	
to	649	419	34	32	
have	700	420	83	33	
us	802	421	36	32	
Reconciled	282	463	202	30	
in	501	464	33	29	
Him	554	465	79	29	
to	654	466	32	29	
God	706	466	73	29	
.	785	467	7	29	
3	192	536	22	39	
When	234	536	113	40	
He	365	537	55	40	
lived	433	538	88	40	
on	540	539	40	39	
earth	599	540	92	40	
abased	705	541	120	40	
,	827	542	9	39	
Friend	281	585	121	29	
of	420	586	36	29	
sinners	477	586	124	31	
was	620	588	63	29	
His	703	589	65	29	
name	783	599	99	25	
;	884	598	12	26	
Now	235	624	87	41	
above	339	625	104	42	
all	458	627	45	41	
glory	519	628	92	41	
raised	628	630	106	41	
,	738	632	6	40	
He	278	671	56	37	
rejoices	350	672	135	38	
in	502	674	32	37	
the	550	675	55	37	
same	624	676	91	38	
.	720	677	7	37	
4	189	749	23	37	
O	232	749	31	37	
!	278	749	12	37	
for	308	749	54	37	
grace	377	749	98	38	
our	492	750	59	37	
hearts	562	750	110	37	
to	690	750	37	37	
soften	740	751	110	37	
,	856	751	11	37	
Teach	279	794	112	39	
us	408	794	37	39	
,	449	794	5	39	
Lord	479	794	90	39	
,	573	794	6	39	
at	600	794	31	39	
length	648	794	113	39	
to	780	794	35	39	
love	834	794	76	39	
:	915	794	11	39	
We	231	836	66	34	
,	298	836	8	34	
alas	327	837	68	34	
!	410	838	10	34	
forget	441	838	107	35	
too	565	840	57	34	
often	632	840	90	35	
,	725	842	9	34	
What	277	881	102	30	
a	395	881	18	30	
Friend	431	882	120	30	
we	568	882	48	31	
have	634	883	81	30	
above	733	883	105	31	
.	837	884	9	30	
135	191	959	85	25	
P.	296	959	35	25	
624	348	959	50	25	
DUNBAR	455	959	199	25	
.	663	959	6	25	
S.	690	959	33	26	
M.	737	960	48	25	
#	276	1030	27	37	
6	307	1031	33	37	
80	302	1077	69	34	
.	371	1077	14	34	
ONE	231	1138	130	64	
NE	295	1141	63	38	
sweetly	376	1141	134	40	
solemn	530	1143	126	39	
thought	674	1145	146	39	
Comes	342	1183	121	34	
to	481	1184	34	33	
me	533	1185	53	33	
c'er	612	1186	65	34	
and	695	1187	65	34	
o'er	774	1188	69	34	
,	841	1189	10	33	
Nearer	229	1227	131	38	
my	376	1228	54	37	
parting	445	1229	134	38	
hour	596	1230	87	38	
am	699	1231	53	37	
I	767	1232	21	37	
Than	274	1272	96	31	
e'er	389	1273	65	31	
I	472	1273	13	31	
was	505	1274	65	31	
before	591	1274	115	32	
.	707	1275	7	31	
M.B.	847	958	144	28	
924	1003	960	53	27	
2	186	1336	21	37	
Nearer	230	1336	131	39	
my	374	1338	54	38	
Father's	449	1339	148	39	
house	615	1342	107	38	
,	724	1343	8	37	
Where	275	1382	123	37	
many	413	1382	98	38	
mansions	528	1383	169	38	
be	715	1384	44	37	
;	763	1384	10	37	
Nearer	230	1419	130	43	
the	373	1421	59	42	
throne	448	1423	118	43	
where	584	1426	108	42	
Jesus	704	1428	94	43	
reign	816	1430	91	43	
,	909	1432	8	41	
Nearer	274	1464	129	41	
the	418	1468	57	39	
crystal	492	1471	121	40	
sea	629	1475	54	39	
;	688	1477	10	37	
encar	921	1449	28	5	
103	980	245	86	40	
oidT	897	1313	108	29	
&	1033	1314	19	28	
11	964	689	91	89	
3	184	1535	21	38	
Nearer	228	1535	128	40	
my	372	1537	55	39	
going	442	1538	101	40	
home	560	1540	99	40	
,	662	1542	6	38	
Laying	273	1583	130	38	
my	418	1583	55	38	
burden	485	1583	126	39	
down	629	1584	97	38	
,	730	1585	8	38	
Leaving	227	1624	150	41	
my	392	1624	56	41	
cross	463	1625	88	41	
of	571	1625	38	41	
heavy	628	1625	105	42	
grief	750	1626	88	41	
,	834	1626	10	41	
Wearing	272	1670	160	38	
my	446	1671	58	37	
starry	519	1672	104	37	
crown	643	1673	107	38	
;	758	1674	10	37	
nos	815	1674	56	38	
La	888	1675	46	37	
A	936	1675	29	37	
2	1029	396	22	27	
4	184	1747	22	36	
Nearer	228	1747	128	37	
that	367	1749	73	36	
hidden	458	1750	122	37	
stream	596	1751	116	37	
,	717	1753	9	36	
Winding	267	1791	161	40	
through	437	1792	144	40	
shades	596	1794	116	40	
of	731	1795	38	39	
night	787	1795	95	40	
,	884	1796	8	39	
Rolling	224	1834	139	40	
its	376	1835	42	40	
cold	436	1835	76	41	
,	514	1836	6	40	
dark	543	1836	81	41	
waves	644	1837	107	41	
between	770	1838	150	41	
Me	275	1876	58	37	
and	348	1877	65	37	
the	429	1879	57	37	
world	503	1881	102	38	
of	623	1884	37	36	
light	678	1885	87	38	
.	767	1887	8	36	
11	853	1546	24	29	
Feno	893	1546	114	29	
ide	903	1589	59	27	
674	953	1776	60	34	
2	1034	1781	20	32	
