content	x	y	w	h	
SING	1177	264	136	47	
OF	1343	264	68	47	
HIS	1445	264	99	47	
LOVE	1572	264	152	47	
.	1730	264	12	47	
3	514	267	41	44	
PRISCILLA	413	338	170	35	
J.	594	338	29	35	
OWENS	637	338	117	35	
.	756	338	7	35	
"	801	338	17	35	
Because	824	338	125	35	
thy	958	338	51	35	
loving	1020	338	97	35	
-	1119	338	12	35	
kindness	1133	338	135	35	
is	1281	338	23	35	
better	1318	338	85	35	
than	1415	338	70	35	
life	1498	338	51	35	
,	1551	338	6	35	
my	1571	338	47	35	
lips	1630	338	58	35	
shall	1701	338	76	35	
praise	1786	338	98	35	
thee	1897	338	60	35	
.	1957	338	8	35	
"	1968	338	16	35	
-	1993	338	30	35	
Ps	2026	338	37	35	
.	2068	338	5	35	
63	2085	338	37	35	
:	2128	338	10	35	
3	2154	338	19	35	
.	2173	338	7	35	
20	2011	406	101	83	
4	485	413	35	33	
4	482	457	39	34	
1.	455	555	33	41	
My	513	555	62	41	
soul	592	555	81	41	
would	687	555	115	41	
tell	817	555	63	41	
of	898	555	38	41	
2.	454	599	35	46	
His	513	599	70	46	
love	596	599	82	46	
shall	690	599	98	46	
gath	799	599	87	46	
-	888	599	12	46	
er	904	599	35	46	
the	969	555	61	41	
Savior's	1048	555	157	41	
love	1227	555	81	41	
To	1335	555	49	41	
all	1420	555	51	41	
the	1507	555	60	41	
world	1587	555	110	41	
a	1717	555	18	41	
-	1741	555	10	41	
round	1755	555	115	41	
me	1888	555	55	41	
;	1954	555	8	41	
For	1982	555	70	41	
he	2070	555	43	41	
left	2130	555	64	41	
his	2221	555	54	41	
glo	2308	555	59	41	
-	2384	555	15	41	
ri	2418	555	29	41	
-	2452	555	12	41	
ous	2465	555	66	41	
each	957	599	86	46	
happy	1057	599	124	46	
voice	1202	599	102	46	
In	1330	599	43	46	
glad	1400	599	83	46	
and	1507	599	70	46	
grateful	1619	599	157	46	
cho	1793	599	66	46	
-	1865	599	11	46	
rus	1879	599	58	46	
;	1949	599	9	46	
And	1975	599	81	46	
in	2067	599	37	46	
grief	2116	599	93	46	
and	2220	599	70	46	
pain	2304	599	86	46	
still	2405	599	73	46	
our	2493	599	70	46	
3.	454	640	34	47	
O	512	640	30	47	
sing	594	640	81	47	
his	708	640	54	47	
love	780	640	81	47	
to	893	640	32	47	
the	961	640	61	47	
lands	1037	640	102	47	
a	1162	640	19	47	
-	1201	640	13	47	
far	1230	640	54	47	
,	1288	640	6	47	
The	1325	640	78	47	
news	1422	640	89	47	
of	1531	640	38	47	
grace	1601	640	105	47	
abounding	1729	640	206	47	
;	1948	640	9	47	
Let	1975	640	65	47	
it	2071	640	30	47	
float	2118	640	86	47	
in	2240	640	36	47	
gladness	2295	640	164	47	
from	2468	640	92	47	
4.	385	685	34	41	
Then	436	685	101	41	
sing	548	685	79	41	
once	637	685	86	42	
more	734	686	97	41	
of	841	686	38	41	
that	888	686	76	42	
wondrous	979	687	186	41	
theme	1181	688	119	41	
,	1302	688	5	41	
His	1325	688	68	41	
love	1413	688	81	42	
exceeding	1518	689	240	42	
measure	1772	690	160	41	
;	1940	690	8	41	
Let	1971	690	64	42	
it	2063	691	29	41	
fill	2132	691	53	41	
our	2202	691	66	42	
hearts	2283	692	115	41	
,	2405	692	4	41	
let	2422	692	48	41	
it	2487	692	30	41	
9:54	361	821	156	35	
940	431	862	135	32	
9	357	1401	69	53	
D	431	1450	22	27	
E.	2265	343	32	24	
S.	2312	343	28	25	
LORENZ	2355	344	130	26	
.	2486	346	8	24	
CHORUS	1651	937	195	22	
.	1850	937	10	22	
throne	482	1161	131	41	
above	635	1161	159	42	
And	834	1163	81	41	
he	936	1163	43	42	
sought	997	1164	133	42	
for	1147	1165	55	41	
me	1224	1165	54	42	
and	1299	1166	68	41	
found	1386	1166	113	42	
me	1533	1167	55	42	
.	1591	1168	9	41	
souls	482	1207	99	41	
rejoice	622	1207	173	42	
,	799	1208	6	41	
For	826	1208	68	42	
we	933	1209	49	41	
feel	1022	1210	70	41	
his	1140	1210	55	41	
shad	1215	1211	88	41	
-	1306	1211	9	41	
ow	1319	1211	50	41	
o'er	1390	1212	73	41	
us	1527	1211	42	40	
.	1572	1210	8	41	
We'll	1599	1210	109	41	
sing	1716	1210	79	41	
(	1805	1209	14	41	
of	1818	1209	40	41	
his	1870	1209	56	41	
love	1935	1209	80	41	
)	2022	1209	11	41	
We'll	2048	1209	104	40	
sing	2163	1208	78	41	
of	2254	1208	37	41	
his	2302	1208	54	40	
love	2370	1207	80	41	
!	2457	1207	11	41	
Ex	2485	1207	56	41	
to	624	1253	37	38	
star	706	1253	75	38	
,	784	1253	7	38	
O'er	825	1254	82	38	
the	923	1254	59	38	
waves	1001	1254	114	39	
of	1141	1255	38	38	
life	1202	1256	66	38	
re	1314	1256	37	38	
-	1365	1256	14	38	
sound	1392	1257	115	38	
-	1511	1257	12	38	
ing	1527	1257	62	38	
.	1594	1258	8	38	
reign	482	1298	100	38	
su	620	1298	39	38	
-	663	1298	13	38	
preme	677	1299	121	38	
,	801	1299	8	38	
As	826	1299	50	39	
our	923	1302	65	40	
best	1017	1301	76	41	
,	1096	1301	7	41	
our	1123	1301	68	40	
brightest	1209	1300	175	40	
treas	1406	1299	92	41	
-	1502	1299	12	41	
ure	1516	1299	65	41	
.	1581	1299	9	41	
star	482	1257	76	24	
⠀	1808	1393	115	82	
13	1425	1957	43	25	
#	577	1542	153	113	
alt	510	1707	53	42	
his	594	1707	56	42	
ho	688	1707	45	42	
-	736	1707	13	42	
ly	751	1707	39	42	
name	802	1707	105	42	
forever	918	1707	191	42	
;	1116	1707	8	42	
For	1146	1707	67	42	
his	1226	1707	53	42	
loving	1292	1707	123	42	
-	1417	1707	12	42	
kindness	1433	1707	168	42	
is	1619	1707	27	42	
still	1660	1707	73	42	
the	1746	1707	59	42	
same	1818	1707	97	42	
,	1917	1707	6	42	
And	1937	1707	81	42	
his	2036	1707	55	42	
goodness	2104	1707	172	42	
fail	2292	1707	64	42	
eth	2365	1707	59	42	
never	2438	1707	108	42	
.	2548	1707	8	42	
T	2349	1602	31	22	
