content	x	y	w	h	
186	339	151	113	55	
The	813	146	116	74	
Ten	965	149	109	74	
Blessings	1115	152	296	79	
.	1417	159	13	72	
(	1507	158	23	51	
With	1527	158	123	54	
chant	1682	163	133	55	
response	1845	169	199	56	
.	2049	175	8	50	
)	2065	176	14	50	
Sup't	342	308	105	27	
.	447	306	10	29	
I.	589	337	34	22	
Blessed	345	375	124	29	
are	488	375	54	30	
the	559	376	56	29	
poor	631	376	76	30	
in	721	377	32	29	
spirit	773	377	89	30	
:	868	378	10	29	
for	372	415	48	30	
theirs	438	415	97	30	
is	553	416	26	30	
the	599	416	55	30	
kingdom	673	416	149	31	
of	844	417	36	30	
heaven	374	457	122	26	
.	500	460	7	23	
Sup't	345	666	105	27	
.	451	666	10	27	
II	583	697	40	22	
.	625	697	10	22	
Blessed	347	735	123	28	
are	491	735	53	28	
they	562	735	75	29	
that	656	736	72	28	
mourn	748	736	111	28	
:	867	736	9	28	
for	373	774	50	30	
they	433	774	76	30	
shall	520	774	82	30	
be	614	774	37	30	
comforted	663	774	171	30	
.	836	774	8	30	
Sup't	345	950	105	28	
.	453	950	9	28	
III	577	981	61	21	
.	639	981	10	21	
Blessed	350	1019	121	28	
are	484	1019	52	28	
the	548	1019	54	28	
meek	615	1019	92	28	
:	716	1019	7	28	
for	740	1019	49	28	
they	799	1019	79	28	
shall	375	1060	82	23	
inherit	467	1060	117	23	
the	596	1060	54	23	
earth	663	1060	89	23	
.	755	1060	9	23	
Sup't	346	1189	104	27	
.	451	1189	9	27	
IV	579	1190	49	21	
.	632	1189	12	22	
Blessed	348	1229	123	28	
are	488	1228	54	29	
they	556	1227	76	29	
that	652	1227	71	29	
de	743	1227	38	28	
hun	800	1226	64	29	
ger	375	1268	55	29	
and	440	1268	61	29	
thirst	512	1268	94	29	
after	619	1268	78	29	
righteous	709	1268	158	29	
ness	377	1311	68	27	
:	454	1310	8	28	
for	479	1310	47	28	
they	538	1309	74	28	
shall	626	1309	80	27	
be	719	1308	36	28	
filled	768	1308	84	27	
.	855	1307	8	28	
Sup't	346	1429	107	26	
.	453	1427	9	27	
V.	589	1458	42	20	
Blessed	347	1496	126	24	
are	494	1496	54	24	
the	568	1496	55	24	
merciful	644	1496	144	24	
:	795	1496	10	24	
for	830	1496	49	24	
they	375	1535	78	30	
shall	463	1535	82	31	
obtain	557	1536	103	31	
mercy	674	1537	107	31	
.	781	1538	8	30	
Sup't	345	1654	108	28	
.	452	1654	11	28	
VI	580	1686	52	19	
.	633	1685	11	20	
Blessed	348	1723	126	28	
are	490	1723	54	28	
the	558	1723	55	28	
pure	630	1723	75	28	
in	720	1723	31	28	
neart	771	1723	91	28	
:	869	1723	9	28	
for	375	1764	48	26	
they	433	1763	76	27	
shall	520	1762	83	27	
see	614	1762	51	27	
God	678	1761	62	27	
.	744	1761	7	27	
1	886	993	77	79	
School	1020	263	133	22	
.	1157	263	10	22	
4	1016	343	26	25	
The	960	392	70	44	
Lord	1041	393	81	45	
is	1132	394	26	44	
nigh	1168	395	75	45	
unto	1258	396	76	45	
them	1347	397	88	46	
}	1444	399	16	44	
broken	1466	399	119	46	
heart	1598	401	90	46	
:	1697	403	6	44	
And	1721	403	72	45	
saveth	1807	405	111	45	
such	1930	407	76	44	
as	2017	408	35	44	
be	2071	409	37	44	
of	2133	410	33	44	
a	2203	411	17	44	
contrite	2244	411	130	46	
spirit	2388	414	87	45	
.	2476	415	6	44	
that	1035	426	70	21	
are	1118	427	52	21	
of	1182	428	33	21	
a	1225	428	18	21	
School	1014	620	136	22	
