content	x	y	w	h	
FOR	546	204	84	24	
PRAISE	659	202	159	24	
.	823	201	8	25	
5	256	289	19	44	
But	300	289	64	44	
while	380	289	99	44	
I	494	289	17	44	
thus	532	289	78	44	
in	628	289	30	44	
anguish	678	289	138	44	
lay	834	289	56	44	
,	886	289	11	44	
The	299	332	73	41	
gracious	384	332	151	41	
Saviour	554	332	136	41	
passed	707	332	118	41	
this	843	332	64	41	
way	925	332	72	41	
,	997	332	11	41	
And	345	375	76	35	
felt	438	376	58	35	
His	514	377	64	35	
pity	596	378	69	36	
move	680	379	96	36	
;	788	381	10	35	
The	300	421	71	37	
sinner	388	420	111	38	
,	501	420	9	38	
by	531	420	42	38	
his	591	419	49	38	
justice	663	419	119	38	
slain	799	419	83	37	
,	883	418	9	38	
Now	296	464	88	38	
by	400	464	44	38	
His	462	464	66	38	
grace	543	464	96	38	
is	657	464	25	38	
born	701	464	80	38	
again	800	464	98	38	
And	341	511	79	37	
sings	437	510	89	37	
redeeming	543	509	190	36	
love	749	506	76	38	
.	832	506	7	38	
11	253	566	44	26	
P.	318	565	37	27	
121.	371	564	58	27	
LOVING	444	564	177	25	
KINDNESS	633	562	245	25	
.	883	560	5	27	
M.-	912	559	71	27	
,	992	559	7	27	
B.	1016	558	36	27	
555	1067	558	51	27	
ES	253	625	102	97	
II	1065	197	50	26	
AWAKE	305	759	208	52	
,	512	757	12	54	
my	542	757	57	54	
soul	615	756	74	54	
,	687	756	9	54	
in	717	756	35	54	
joyful	772	755	111	54	
lays	898	755	70	53	
,	968	754	11	54	
And	385	801	79	39	
sing	480	799	73	40	
thy	569	799	57	39	
great	641	798	93	39	
He	296	843	54	37	
justly	371	842	102	38	
claims	490	841	115	38	
a	620	841	17	38	
song	655	841	82	37	
from	754	840	82	38	
thee	854	839	78	38	
;	942	839	10	38	
His	297	887	63	36	
loving	376	886	112	36	
-	490	884	11	37	
kindness	503	884	158	36	
,	665	882	6	37	
O	696	882	31	37	
!	737	882	11	37	
how	771	881	73	37	
free	862	880	69	37	
!	938	879	12	37	
2	251	944	22	34	
He	296	943	53	33	
saw	367	942	66	33	
me	451	941	52	33	
ruined	519	940	113	32	
in	650	938	30	34	
the	700	937	55	34	
fall	770	936	59	34	
,	831	935	8	34	
Yet	296	982	65	39	
loved	374	981	97	40	
me	489	981	52	40	
,	544	981	7	40	
notwithstanding	572	981	297	39	
all	882	979	45	40	
;	932	979	10	40	
He	297	1026	56	38	
saved	370	1026	100	38	
me	487	1026	51	38	
from	554	1026	82	38	
my	656	1026	53	38	
lost	726	1026	64	38	
estate	808	1026	104	38	
;	923	1026	10	38	
His	295	1070	67	38	
loving	378	1070	113	38	
-	492	1070	10	38	
kindness	505	1070	158	38	
,	668	1070	5	38	
O	699	1070	28	38	
!	744	1070	9	38	
how	776	1070	73	38	
great	868	1070	95	38	
!	965	1070	13	38	
st	1082	1070	56	38	
2	424	1575	33	28	
3	252	1128	22	40	
Though	295	1127	144	39	
numerous	453	1126	173	39	
hosts	641	1125	91	40	
of	750	1124	38	40	
mighty	806	1124	126	39	
foes	949	1123	69	40	
,	1021	1123	8	40	
Though	298	1168	143	40	
earth	458	1168	93	40	
and	567	1169	66	40	
hell	651	1169	66	40	
my	732	1169	55	41	
way	800	1170	71	40	
oppose	887	1170	126	40	
,	1015	1171	8	40	
He	298	1213	54	36	
safely	368	1212	103	37	
leads	487	1212	93	36	
my	599	1211	53	37	
soul	670	1211	73	36	
along	759	1210	99	37	
;	868	1210	12	37	
His	298	1257	63	38	
loving	378	1256	110	39	
-	491	1255	10	39	
kindness	505	1255	157	38	
,	668	1254	5	39	
O	698	1254	29	39	
!	743	1254	9	39	
how	775	1254	74	39	
strong	867	1253	114	39	
!	993	1253	10	39	
4	251	1312	24	38	
When	297	1311	105	38	
trouble	422	1311	129	37	
,	556	1310	5	38	
like	584	1310	65	38	
a	667	1310	17	38	
gloomy	703	1309	135	38	
cloud	853	1309	97	37	
,	953	1308	8	38	
voi	744	1286	58	21	
Has	298	1356	72	37	
gathered	386	1355	157	36	
thick	561	1353	90	37	
,	656	1352	6	38	
and	685	1352	64	37	
thundered	767	1351	184	37	
loud	967	1349	81	38	
,	1045	1349	10	38	
He	298	1400	53	37	
near	368	1399	78	37	
my	464	1398	54	38	
soul	534	1398	73	37	
has	626	1397	57	37	
always	702	1396	119	37	
stood	840	1395	94	37	
;	948	1394	9	38	
His	298	1444	63	37	
loving	378	1443	112	37	
-	492	1442	9	38	
kindness	505	1442	158	37	
.	668	1441	7	38	
O	699	1441	29	38	
!	739	1441	9	38	
how	772	1440	74	38	
good	862	1440	87	37	
!	965	1439	10	38	
12	254	1497	55	27	
P.	333	1496	36	28	
196.	383	1496	60	27	
HAMBURG	465	1495	243	26	
.	716	1493	6	28	
L.	748	1493	38	28	
M.	808	1492	48	28	
M.	872	1492	43	28	
343	930	1492	49	27	
,	983	1491	5	28	
B.	1001	1491	36	28	
379	1050	1491	49	27	
2	423	1622	35	30	
Redeemer's	760	797	209	38	
praise	987	794	112	39	
.	1101	793	12	40	
ORTHEL	279	1563	814	90	
BEHOLD	298	1688	230	49	
a	542	1682	22	54	
stranger	580	1681	151	52	
at	745	1677	35	55	
the	797	1676	58	54	
door	870	1674	85	54	
!	962	1672	11	55	
He	386	1731	52	36	
gently	455	1730	112	36	
knocks	584	1729	127	36	
,	717	1728	5	37	
has	747	1728	55	36	
knocked	822	1727	152	36	
before	992	1726	113	36	
;	1107	1725	10	37	
Has	298	1772	74	39	
waited	388	1772	116	39	
long	524	1772	77	39	
-	603	1772	28	39	
is	647	1772	26	39	
waiting	693	1772	132	39	
still	843	1772	69	39	
.	912	1772	12	39	
You	296	1815	77	32	
treat	390	1815	86	32	
no	491	1815	41	32	
other	552	1815	93	32	
friend	660	1815	104	32	
so	785	1815	35	32	
ill	837	1815	38	32	
.	874	1815	10	32	
2	1105	888	27	29	
