content	x	y	w	h	
CHEESE	319	639	13	62	
ORANG	320	2416	10	45	
PENY	319	2367	11	32	
AZMON	771	211	293	42	
.	1083	212	8	41	
C.	1145	213	67	41	
M.-C.	1247	213	175	42	
G.	1438	214	43	41	
GLASER	1500	215	153	41	
.	1655	215	8	41	
g	920	323	111	101	
H	2485	329	96	87	
1.	409	476	35	41	
Come	468	476	108	41	
,	576	476	8	41	
you	597	476	71	41	
that	684	476	81	41	
love	796	476	82	41	
the	923	476	62	41	
Sav	1032	476	68	41	
-	1105	476	11	41	
iour's	1119	476	108	41	
name	1241	476	105	41	
,	1350	476	7	41	
And	1375	476	82	41	
joy	1500	476	64	41	
to	1622	478	37	44	
make	1693	478	109	44	
it	1852	478	32	44	
known	1928	478	129	44	
,	2062	478	6	44	
The	2089	478	75	44	
sovereign	2189	478	182	44	
of	2390	478	36	44	
your	2470	478	92	44	
hearts	2578	478	119	44	
proclaim	2712	478	174	44	
,	2891	478	8	44	
And	2947	478	83	44	
bow	3071	478	74	44	
be	3172	478	43	44	
-	3226	478	12	44	
fore	3241	478	77	44	
his	3364	478	57	44	
throne	3452	478	128	44	
.	3582	478	7	44	
2.	409	524	33	42	
Be	466	523	51	43	
hold	581	523	87	42	
your	683	522	91	43	
King	794	521	97	43	
,	894	521	6	43	
your	914	521	91	42	
Sav	1030	520	67	43	
-	1102	520	12	43	
iour	1117	520	78	42	
,	1200	519	6	43	
crowned	1223	519	162	42	
With	1407	518	99	43	
glo	1520	517	57	43	
-	1581	517	12	43	
ries	1595	517	69	43	
all	1726	516	55	43	
di	1848	521	40	44	
-	1913	521	13	44	
vine	1950	521	83	44	
;	2042	521	9	44	
And	2086	521	84	44	
tell	2209	521	65	44	
the	2290	521	60	44	
wondering	2368	521	205	44	
na	2615	521	46	44	
-	2665	521	12	44	
tions	2680	521	91	44	
round	2789	521	114	44	
How	2945	521	90	44	
bright	3052	521	121	44	
these	3187	521	99	44	
glories	3299	521	130	44	
shine	3464	521	104	44	
.	3571	521	8	44	
8	1962	629	55	46	
•	2722	626	98	102	
Elf	2774	625	237	100	
2	436	366	43	36	
3	410	824	21	41	
Infinite	454	824	165	41	
power	634	824	131	42	
and	781	825	79	41	
boundless	877	825	211	42	
grace	1106	826	115	41	
In	454	866	51	38	
him	521	867	83	39	
unite	627	869	108	39	
their	756	871	102	39	
rays	879	874	88	38	
;	979	876	13	37	
You	413	912	88	40	
that	517	912	89	40	
have	623	913	105	40	
seen	744	913	92	41	
his	856	914	60	40	
lovely	934	914	132	41	
face	1084	915	84	41	
,	1170	916	8	40	
Can	456	960	82	42	
you	556	960	78	42	
forbear	651	960	151	42	
his	820	960	62	42	
praise	898	960	128	42	
?	1033	960	20	42	
292	500	213	165	34	
4	410	1015	24	41	
When	459	1015	130	41	
in	607	1015	41	41	
the	663	1015	70	41	
earthly	751	1015	153	41	
courts	923	1015	128	41	
we	1073	1015	59	41	
view	1150	1015	99	41	
The	456	1058	83	36	
