content	x	y	w	h	
نام	422	998	37	83	
)	347	1000	15	82	
故事	459	362	48	66	
1	507	500	17	39	
Hark	551	499	101	39	
,	659	499	6	39	
my	684	499	60	39	
soul	768	498	80	39	
,	852	498	8	39	
it	898	498	32	39	
is	996	497	32	39	
2	516	603	36	33	
LUDWIC	972	276	290	61	
.	1269	278	13	59	
7s	1356	279	58	59	
.	1417	280	21	59	
D	1459	280	55	60	
172	323	1155	208	54	
Bap	866	1157	62	48	
.	924	1154	13	50	
,	939	1153	14	50	
491	961	1152	65	48	
.	1024	1149	11	51	
2	327	1235	23	30	
"	367	1235	21	30	
I	400	1235	17	30	
delivered	434	1235	172	30	
thee	623	1235	80	30	
when	720	1235	100	30	
bound	839	1235	122	30	
,	967	1235	7	30	
And	370	1271	82	36	
,	456	1271	7	36	
when	482	1271	99	37	
wounded	602	1272	173	37	
,	779	1273	6	36	
healed	805	1273	121	36	
thy	944	1274	63	36	
wound	1026	1274	131	37	
;	1168	1275	11	36	
Sought	368	1315	136	39	
thee	519	1315	80	39	
wand'ring	615	1315	196	39	
,	814	1315	5	39	
set	839	1315	50	39	
thee	903	1315	83	39	
right	999	1315	94	39	
,	1097	1315	7	39	
Turned	368	1352	142	37	
thy	525	1353	64	36	
darkness	604	1354	168	37	
into	788	1356	75	36	
light	881	1356	90	37	
.	974	1357	8	36	
3	328	1403	20	32	
"	368	1403	22	32	
Can	400	1403	72	33	
a	489	1404	20	32	
mother's	523	1405	165	33	
tender	706	1407	123	33	
care	843	1408	76	33	
,	921	1409	7	32	
Cease	369	1449	104	29	
toward	486	1449	135	29	
the	637	1449	59	29	
child	713	1449	94	29	
she	824	1449	63	29	
bare	901	1449	83	29	
?	988	1449	16	29	
Yes	370	1489	68	35	
,	442	1489	7	35	
she	465	1489	63	35	
may	543	1489	82	35	
forgetful	640	1489	165	35	
be	819	1489	42	35	
,	864	1489	7	35	
Yet	370	1530	68	29	
will	454	1530	71	29	
I	543	1530	15	29	
remember	575	1530	194	29	
thee	784	1530	79	29	
.	866	1530	7	29	
31	1988	781	81	93	
