content	x	y	w	h	
114	325	263	83	43	
H.	410	348	43	22	
R.	464	348	36	22	
TRICKETT	513	348	171	22	
.	690	348	7	22	
ge	255	1983	86	62	
6	445	417	37	37	
8	442	464	37	32	
96	342	782	141	37	
8	442	822	42	37	
98	354	1868	75	45	
TRIM	920	260	149	58	
UP	1104	260	72	58	
YOUR	1204	260	160	58	
LAMP	1396	260	161	58	
,	1563	260	8	58	
BROTHER	1607	260	267	58	
.	1880	260	10	58	
Ye	1052	347	44	27	
are	1108	347	50	27	
the	1171	347	52	27	
light	1236	347	79	27	
of	1329	347	33	27	
the	1369	347	52	27	
world	1437	347	90	27	
.	1532	347	5	27	
-	1542	347	21	27	
MATT	1572	347	94	27	
.	1672	347	4	27	
V	1690	347	18	27	
:	1719	347	9	27	
14	1742	347	32	27	
,	1776	347	6	27	
CF	1259	459	18	11	
1.	439	558	33	44	
Dark	497	558	101	44	
is	618	558	30	44	
the	667	558	60	44	
world	744	558	109	44	
,	858	558	6	44	
my	883	558	57	44	
brother	960	558	141	44	
,	1106	558	6	44	
And	1140	558	83	44	
thousands	1243	558	194	44	
are	1457	558	57	44	
dying	1534	558	155	44	
in	1707	558	37	44	
sin	1770	558	53	44	
;	1836	558	6	44	
They	1869	558	99	44	
know	1987	558	101	44	
not	2108	558	61	44	
the	2187	558	60	44	
way	2265	558	75	44	
of	2357	558	41	44	
sal	2416	558	57	44	
2.	436	612	36	43	
You	495	612	80	43	
are	595	612	63	43	
the	674	612	60	43	
light	749	612	94	43	
,	847	612	6	43	
my	873	612	57	43	
brother	951	612	143	43	
,	1099	612	5	43	
And	1133	612	82	43	
Jesus	1234	612	148	43	
has	1416	612	65	43	
stationed	1513	612	177	43	
you	1707	612	70	43	
here	1797	612	85	43	
To	1966	615	48	30	
shine	2033	615	105	30	
as	2158	615	35	30	
a	2214	615	18	30	
beacon	2250	615	131	30	
of	2413	615	42	30	
3.	439	669	32	43	
Let	495	669	67	43	
your	575	669	94	43	
light	684	669	94	43	
shine	795	669	101	43	
,	900	669	5	43	
my	928	669	57	43	
brother	1006	669	140	43	
,	1153	669	5	43	
Oh	1178	669	52	43	
,	1238	669	5	43	
let	1262	669	49	43	
not	1330	669	60	43	
its	1409	669	42	43	
brightness	1474	669	201	43	
grow	1697	669	93	43	
dim	1808	669	73	43	
,	1886	669	6	43	
For	1916	669	68	43	
all	2005	669	48	43	
that	2072	669	79	43	
you	2166	669	70	43	
do	2256	669	43	43	
to	2321	669	40	43	
save	2383	669	83	43	
2	1805	727	104	85	
CHORUS	1488	974	192	23	
.	1688	974	9	23	
J.	2151	347	28	23	
H.	2193	347	39	23	
ROSECRANS	2248	347	192	24	
.	2444	348	6	23	
J	1207	1030	104	101	
va-	462	1158	77	40	
tion	556	1158	73	40	
,	636	1158	7	40	
Nor	670	1158	74	40	
think	762	1158	105	40	
of	887	1158	38	40	
the	941	1158	60	40	
danger	1026	1158	131	40	
they're	1175	1158	133	40	
in	1325	1158	37	40	
.	1366	1158	9	40	
warning	462	1213	163	45	
,	626	1213	8	45	
That	666	1213	97	45	
all	780	1213	48	45	
may	848	1213	80	45	
for	947	1213	56	45	
judgment	1022	1213	187	45	
prepare	1227	1213	148	45	
.	1378	1213	7	45	
Then	1433	1213	99	45	
trim	1550	1213	83	45	
up	1654	1213	49	45	
your	1719	1213	91	45	
lamp	1830	1213	96	45	
,	1931	1213	6	45	
my	1949	1213	59	45	
brother	2026	1213	144	45	
,	2174	1213	6	45	
And	2200	1213	81	45	
let	2295	1213	50	45	
its	2358	1213	44	45	
light	2415	1213	97	45	
sin	462	1270	54	41	
-	519	1269	12	42	
ners	533	1269	80	42	
,	617	1269	7	42	
You	665	1269	80	41	
do	763	1268	45	42	
it	848	1268	27	42	
,	880	1268	5	42	
my	929	1268	57	41	
broth	1006	1267	102	42	
-	1115	1267	9	42	
er	1128	1267	35	42	
,	1168	1267	5	42	
for	1211	1266	53	42	
Him	1285	1266	88	42	
.	1378	1266	8	42	
B	1533	1619	15	11	
A	1354	1597	79	97	
jimbo	1301	1741	115	29	
.	1418	1741	11	29	
blaze	442	1763	101	42	
thro	560	1763	80	42	
'	644	1763	10	42	
the	670	1763	62	42	
land	749	1763	85	42	
,	840	1763	6	42	
Till	869	1763	72	42	
the	958	1763	60	42	
thousands	1039	1763	195	42	
,	1239	1763	5	42	
who	1263	1763	77	42	
perish	1358	1763	119	42	
in	1497	1763	34	42	
darkness	1553	1763	165	42	
,	1722	1763	6	42	
Have	1744	1763	104	42	
bowed	1866	1763	121	42	
to	2005	1763	34	42	
the	2059	1763	61	42	
Savior's	2137	1763	152	42	
command	2307	1763	191	42	
.	2501	1763	8	42	
60	1603	1622	14	7	
Bo	2478	1967	94	87	
