content	x	y	w	h	
138	303	171	99	48	
9	317	1217	67	55	
Duet	458	267	104	21	
.	569	267	8	21	
F	537	617	94	82	
He	830	163	74	63	
that	938	163	117	64	
Walketh	1091	164	246	64	
Righteously	1372	165	344	65	
.	1714	167	20	63	
Continued	1797	168	273	64	
.	2074	169	12	63	
That	430	496	102	43	
stoppeth	567	496	227	43	
his	830	496	59	43	
ears	916	496	78	43	
from	1035	496	95	43	
hear	1183	496	91	43	
-	1283	496	11	43	
ing	1305	496	66	43	
of	1427	496	46	43	
blood	1532	496	109	43	
,	1649	496	7	43	
He	1708	496	62	43	
blood	1531	496	109	39	
,	1647	495	8	40	
He	1707	495	61	39	
shall	1826	494	99	40	
dwell	1957	493	114	40	
on	2129	508	46	21	
see	480	1487	62	22	
-6	1183	656	28	16	
अं	1854	868	46	162	
shut-	438	1085	116	47	
teth	563	1085	86	47	
his	667	1085	59	47	
eyes	751	1085	86	47	
from	860	1085	95	47	
see	979	1085	58	47	
-	1056	1085	14	47	
ing	1093	1085	66	47	
e	1207	1085	18	47	
-	1249	1085	14	47	
vil	1283	1085	53	47	
,	1342	1085	7	47	
He	1389	1085	59	47	
shall	1466	1085	100	47	
dwell	1581	1085	113	47	
on	1711	1085	49	47	
high	1785	1085	92	47	
.	1881	1085	9	47	
the	917	1473	69	39	
King	1042	1476	104	40	
Chorus	1698	266	158	21	
.	1860	266	8	21	
King	435	1749	109	43	
in	570	1749	40	43	
his	643	1749	60	43	
beauty	728	1749	143	43	
,	877	1749	7	43	
Thine	904	1749	124	43	
eyes	1046	1749	86	43	
shall	1156	1749	99	43	
see	1275	1749	60	43	
Chorus	1372	873	156	20	
.	1533	873	11	20	
in	1376	1470	40	40	
his	1453	1471	58	40	
beau	1548	1473	95	42	
-	1647	1475	12	39	
ty	1661	1476	43	40	
,	1705	1477	11	39	
6	1994	912	38	35	
8	1991	956	42	36	
g	2254	325	54	55	
Thine	2027	822	122	40	
eyes	2190	833	84	39	
high	2249	498	91	37	
:	2357	496	10	38	
Thine	1982	1470	119	38	
eyes	2141	1478	85	37	
Duet	2449	267	102	21	
.	2555	267	8	21	
Thine	2019	1085	124	43	
eyes	2162	1086	84	43	
shall	2272	1087	100	43	
see	2396	1088	61	43	
#	1709	1581	121	108	
the	1432	1746	66	44	
King	1540	1746	105	44	
in	1665	1746	40	44	
his	1741	1746	58	44	
beauty	1825	1746	140	44	
,	1970	1746	7	44	
Thine	2002	1746	120	44	
eyes	2141	1746	84	44	
shall	2243	1746	95	44	
see	2364	1746	62	44	
And	2452	494	88	38	
shall	2504	827	98	29	
the	2502	1086	69	33	
shall	2488	1472	98	28	
the	2491	1747	70	29	
