content	x	y	w	h	
9	234	727	56	51	
:	273	726	39	51	
2-5	323	1249	77	49	
-2-22²²	289	1291	102	36	
2	774	981	138	76	
When	375	1114	114	31	
the	501	1114	62	31	
sor	585	1114	56	31	
-	645	1114	9	31	
row	660	1114	66	31	
and	756	1114	68	31	
the	851	1114	61	31	
sad	950	1114	63	31	
-	1017	1114	12	31	
ness	1030	1114	80	31	
Hoping	373	1159	184	39	
,	560	1159	6	39	
when	580	1159	101	39	
the	693	1159	60	39	
war	767	1159	69	39	
-	841	1159	12	39	
fare's	854	1159	102	39	
o	975	1159	19	39	
-	1011	1159	13	39	
ver	1041	1159	61	39	
,	1106	1159	7	39	
9	238	2800	57	55	
:	275	2800	42	55	
ONLY	431	297	180	50	
WAITING	643	297	290	50	
.	941	297	9	50	
8s	1009	297	60	50	
&	1094	297	37	50	
7s	1161	297	56	50	
,	1223	297	9	50	
with	1254	297	124	50	
Chorus	1411	297	194	50	
.	1611	297	11	50	
1.	415	602	35	30	
I	470	602	22	30	
am	538	602	56	42	
wait	619	602	87	42	
-	706	602	13	42	
ing	720	602	63	42	
for	803	602	61	42	
the	906	602	60	42	
morning	984	602	165	42	
2.	416	650	36	27	
I	470	648	25	27	
am	539	643	56	44	
wait	609	643	85	44	
-	696	643	13	44	
ing	711	643	64	44	
worn	786	643	95	44	
and	901	643	69	44	
wea	984	643	72	44	
-	1076	643	13	44	
ry	1104	643	40	44	
4	399	731	34	33	
9	235	2297	60	56	
:	267	2298	52	56	
-D	299	2346	27	37	
-	332	2347	18	37	
b₂²	350	2347	34	37	
9	237	1778	64	59	
:	268	1777	48	59	
257	299	1776	147	57	
CHORUS	425	1440	175	23	
.	604	1440	10	23	
D	374	2827	24	28	
JAS	1332	382	56	30	
.	1394	383	6	30	
H.	1423	383	37	31	
FILLMORE	1484	384	166	33	
,	1656	387	3	30	
by	1679	387	37	31	
per	1742	388	56	31	
.	1803	390	6	30	
for	395	2671	56	38	
my	475	2670	58	39	
welcome	547	2669	165	38	
,	714	2668	8	39	
for	396	2715	55	38	
my	477	2714	56	39	
welcome	545	2713	163	38	
,	713	2712	6	39	
for	734	2712	51	39	
my	801	2711	57	39	
welcome	873	2711	162	38	
,	1041	2710	10	39	
Of	1208	602	51	42	
the	1289	602	61	42	
blessed	1390	602	135	42	
day	1550	602	70	42	
to	1666	602	36	42	
dawn	1723	602	105	42	
,	1829	602	10	42	
With	1180	643	99	44	
the	1292	643	59	44	
battle	1376	643	148	44	
and	1548	643	68	44	
the	1642	643	61	44	
strife	1719	643	101	44	
,	1823	643	9	44	
59	1804	301	71	38	
1	1165	947	55	104	
19	1667	973	129	89	
:	1799	967	38	93	
Of	1180	1108	48	40	
this	1236	1108	71	41	
changeful	1318	1109	188	43	
life	1533	1112	63	41	
are	1625	1113	58	41	
gone	1707	1114	90	41	
.	1801	1115	8	40	
To	1185	1160	49	30	
re	1282	1160	35	30	
-	1321	1160	11	30	
ceive	1336	1160	98	30	
a	1470	1160	18	30	
crown	1506	1160	116	30	
of	1641	1160	39	30	
life	1722	1160	68	30	
.	1792	1160	9	30	
g	1372	1500	38	38	
I	418	1629	19	29	
am	469	1627	52	28	
wait	545	1624	87	27	
ing	1011	1625	61	39	
,	1075	1624	6	40	
on	1118	1624	42	40	
-	1174	1624	13	40	
ly	1201	1624	35	40	
wait	1263	1624	87	39	
-	1350	1623	13	40	
ing	1364	1623	62	40	
,	1428	1623	10	40	
I	418	1670	22	44	
am	471	1669	52	44	
wait	546	1669	85	44	
-	632	1669	12	44	
ing	647	1668	62	44	
,	710	1668	5	44	
waiting	735	1668	146	43	
,	887	1667	6	44	
waiting	917	1667	145	44	
,	1066	1667	6	44	
on	1114	1666	43	44	
-	1177	1666	11	44	
ly	1202	1666	35	44	
wait	1266	1666	82	43	
-	1352	1665	11	44	
ing	1367	1665	59	44	
,	1432	1665	5	44	
only	1456	1665	83	44	
waiting	1553	1664	147	44	
wea	375	2148	70	18	
ry	746	2137	39	36	
life	810	2136	64	36	
is	891	2134	29	37	
o'er	946	2134	75	36	
;	1027	2132	13	37	
ing	1783	2135	65	41	
On	1320	2137	55	31	
-	1379	2135	13	32	
ly	1393	2135	35	32	
wait	1450	2134	86	31	
wea-	373	2178	91	43	
ry	475	2178	40	43	
,	517	2178	10	43	
weary	538	2178	117	43	
,	657	2178	10	43	
weary	678	2178	114	43	
-	797	2178	38	43	
till	841	2178	61	43	
this	912	2178	70	43	
weary	995	2178	114	43	
life	1123	2178	62	43	
is	1198	2178	27	43	
o'er	1237	2178	72	43	
;	1316	2178	9	43	
Only	1335	2178	93	43	
waiting	1444	2178	145	43	
,	1591	2178	7	43	
waiting	1604	2178	148	43	
,	1753	2178	10	43	
waiting	1765	2178	100	43	
Till	1683	1626	74	29	
this	1765	1625	73	29	
12	1624	2517	168	101	
sus	1254	2607	132	54	
From	974	2668	104	38	
my	1092	2668	58	38	
Saviour	1165	2668	152	38	
on	1342	2668	43	38	
the	1426	2668	62	32	
other	1518	2668	137	32	
shore	1666	2668	104	32	
.	1773	2668	8	32	
KURN	1860	2610	10	87	
---	1873	2792	14	85	
