content	x	y	w	h	
MISSIONS	622	281	167	23	
.	791	283	8	22	
Trav'ller	255	354	185	43	
,	442	357	7	41	
o'er	467	357	76	42	
yon	558	359	77	42	
mountain's	654	360	229	45	
height	903	365	137	43	
,	1042	367	8	41	
See	299	395	70	43	
that	385	397	85	42	
glory	485	399	107	44	
-	596	402	12	41	
beaming	611	402	178	46	
star	807	407	76	43	
.	885	409	10	41	
Watchman	254	440	229	46	
,	487	445	8	41	
does	512	445	91	43	
its	625	448	50	42	
beauteous	694	449	207	46	
ray	915	454	69	43	
Aught	297	487	131	45	
of	442	489	46	44	
hope	498	489	102	45	
or	619	491	39	44	
joy	677	492	65	44	
foretell	763	493	149	46	
?	922	495	18	44	
Trav'ller	252	529	181	46	
,	436	533	5	43	
yes	461	533	66	44	
;	541	535	7	43	
it	572	536	32	43	
brings	621	537	129	45	
the	768	540	65	44	
day	853	542	71	45	
,	929	544	8	43	
Promis'd	296	574	183	47	
day	501	578	72	46	
of	591	580	46	44	
Israel	645	581	122	46	
.	768	584	11	44	
2	205	652	21	40	
Watchman	253	653	227	45	
,	486	658	6	39	
tell	509	659	67	40	
us	593	661	42	39	
of	654	662	43	40	
the	708	664	66	40	
night	792	666	113	41	
:	914	668	9	39	
Higher	293	698	151	41	
yet	458	701	67	40	
that	540	703	83	40	
star	640	705	74	40	
ascends	733	707	160	42	
.	896	711	7	39	
Trav'ller	248	740	185	44	
,	435	744	7	41	
blessedness	460	744	240	46	
and	718	750	77	43	
light	812	752	101	43	
,	914	755	8	41	
Peace	292	783	120	45	
and	426	786	78	45	
truth	519	789	108	45	
,	633	792	6	42	
its	656	793	47	43	
course	722	795	131	46	
portends	870	799	185	46	
.	1060	804	7	42	
Watchman	248	832	227	42	
,	481	836	7	39	
will	508	836	77	41	
its	603	838	49	40	
beams	671	840	131	41	
alone	820	842	114	41	
Gild	291	876	90	44	
the	397	878	68	43	
spot	481	879	86	44	
that	584	881	84	44	
gave	683	883	95	44	
them	794	885	107	45	
birth	920	888	106	44	
?	1037	890	17	42	
Trav'ller	244	916	185	47	
,	432	922	7	40	
ages	455	923	87	44	
are	559	927	66	42	
its	638	930	50	42	
own	706	932	86	43	
,	797	935	9	40	
See	289	966	68	33	
!	369	967	8	33	
it	400	968	31	33	
bursts	449	968	122	36	
o'er	592	971	76	34	
all	687	973	50	34	
the	755	974	66	34	
earth	841	976	107	34	
.	955	978	6	33	
3	198	1040	21	42	
Watchman	244	1041	227	46	
,	477	1046	6	41	
tell	502	1047	67	42	
us	587	1049	42	41	
of	647	1050	45	42	
the	705	1051	66	42	
night	790	1053	112	44	
,	904	1056	7	41	
For	285	1090	75	41	
the	376	1091	66	41	
morning	460	1093	181	43	
seems	658	1097	122	42	
to	799	1099	39	41	
dawn	855	1100	113	42	
.	973	1103	7	40	
Trav'ller	240	1132	182	42	
,	425	1136	7	39	
darkness	450	1136	190	43	
takes	655	1141	109	41	
its	781	1143	51	40	
flight	848	1145	113	41	
,	962	1147	7	39	
Doubt	284	1177	130	36	
and	429	1180	77	36	
terror	523	1182	123	36	
are	663	1185	64	35	
withdrawn	745	1187	229	38	
.	979	1192	8	34	
Watchman	239	1218	230	51	
,	477	1224	6	45	
let	501	1225	55	46	
thy	572	1227	70	47	
wand'rings	662	1229	229	51	
cease	907	1236	110	48	
;	1026	1239	8	45	
Hie	285	1267	76	41	
thee	376	1269	91	41	
to	484	1271	39	40	
thy	539	1272	72	42	
quiet	627	1274	109	42	
home	751	1277	118	43	
.	868	1280	8	40	
Trav'ller	239	1305	182	44	
,	426	1310	6	39	
lo	450	1311	35	40	
!	498	1312	8	39	
the	532	1313	67	42	
Prince	618	1316	131	43	
of	767	1320	44	41	
peace	821	1322	116	43	
,	942	1326	8	39	
Lo	281	1352	54	35	
!	345	1353	10	34	
the	380	1355	67	36	
Son	466	1357	74	37	
of	560	1360	42	36	
God	618	1362	79	37	
is	717	1365	30	34	
come	767	1366	107	38	
.	877	1370	8	34	
853	188	1446	94	30	
ak	1059	631	56	27	
7s	665	1454	41	32	
.	708	1455	8	31	
"	320	1504	24	43	
Go	348	1504	53	43	
ye	424	1505	39	43	
therefore	486	1506	168	44	
"	653	1508	18	43	
-Mat	678	1508	126	44	
.	808	1510	5	43	
xxviii	831	1510	130	44	
:	974	1512	10	43	
19	1006	1512	44	43	
.	1052	1513	10	43	
1	187	1567	18	44	
Go	234	1567	54	45	
,	294	1568	7	44	
ye	321	1568	47	45	
messengers	388	1569	236	48	
of	642	1573	44	45	
God	701	1574	82	45	
!	794	1575	12	44	
Like	277	1609	95	45	
the	388	1612	69	44	
beams	473	1614	129	46	
of	621	1619	43	44	
morning	677	1621	179	47	
fly	875	1627	49	43	
,	927	1628	10	42	
Take	229	1654	103	44	
the	350	1657	67	43	
wonder	435	1659	158	45	
-	597	1664	11	41	
working	612	1664	173	46	
rod	802	1669	70	44	
,	877	1672	7	41	
Wave	275	1699	121	43	
the	411	1702	68	42	
banner	504	1704	148	44	
-	656	1708	12	40	
cross	671	1709	99	42	
on	788	1712	47	41	
high	856	1714	94	42	
.	954	1716	8	40	
2	182	1767	22	43	
Where	230	1768	142	44	
th	387	1771	41	43	
'	434	1772	10	42	
aspirant	460	1773	170	45	
minaret	649	1777	161	45	
Gleams	274	1809	151	48	
along	442	1813	118	49	
the	575	1817	67	47	
morning	661	1819	178	50	
skies	855	1824	102	48	
,	960	1827	8	45	
45	431	1868	45	29	
701	1146	283	62	29	
W	1116	583	31	29	
MARSDEN	989	1460	189	38	
.	1181	1468	8	30	
