content	x	y	w	h	
16	357	366	44	25	
-D	442	857	25	31	
A	498	500	26	24	
tempo	543	501	136	25	
.	685	504	10	23	
925	380	1412	163	53	
-2-2	442	1458	76	40	
9	370	2912	81	45	
9	374	3325	64	55	
:	428	3324	34	56	
4	472	2199	39	33	
4	469	2244	43	36	
9	373	2469	52	52	
:	425	2465	20	54	
4	471	2462	43	52	
4	470	2515	43	37	
David.	359	1660	125	29	
Thou	402	1726	102	40	
hast	529	1726	80	40	
ascended	631	1726	171	40	
on	822	1726	43	40	
high	885	1726	85	40	
,	974	1726	6	40	
thou	1003	1726	83	40	
hast	1106	1726	78	40	
led	1199	1726	59	40	
captivity	357	1783	169	42	
captive	544	1782	136	42	
:	690	1781	7	43	
thou	724	1781	85	43	
hast	836	1781	76	42	
received	930	1780	157	43	
gifts	1105	1780	82	42	
for	1207	1779	51	43	
men	357	1841	78	37	
;	449	1840	9	38	
yea	490	1839	67	38	
,	559	1838	7	38	
for	595	1838	53	38	
the	677	1837	58	38	
rebellious	762	1836	186	37	
also	978	1834	71	38	
,	1054	1834	6	38	
that	1092	1833	75	38	
the	1194	1832	62	38	
LORD	359	1889	109	43	
God	500	1889	79	43	
might	610	1889	113	43	
dwell	755	1889	105	43	
among	893	1889	125	43	
them	1051	1889	95	43	
(	1191	1889	13	43	
Ps	1204	1889	41	43	
.	1249	1889	7	43	
lxviii	355	1946	102	39	
.	460	1948	8	37	
18.	494	1949	50	38	
)	546	1950	13	37	
JESUS	968	368	151	39	
OF	1142	366	64	40	
NAZARETH	1230	366	281	38	
IN	1532	363	63	40	
here	546	1274	84	38	
,	631	1274	7	38	
he	686	1274	47	38	
is	759	1274	31	38	
not	807	1274	64	38	
here	888	1274	83	38	
,	975	1274	6	38	
but	1015	1274	64	38	
is	1123	1274	30	38	
He	561	696	60	39	
is	664	696	32	39	
not	741	696	63	39	
here	826	696	85	39	
,	914	696	5	39	
he	941	696	43	39	
is	1009	696	30	39	
not	1066	696	62	39	
here	1145	696	84	39	
,	1232	696	8	39	
but	1258	696	65	39	
is	1357	696	32	39	
ris-	1459	698	74	39	
en	1546	697	44	40	
;	1598	697	9	40	
[	1629	697	17	40	
Instrument	1646	697	259	39	
.	1911	696	8	40	
]	1926	696	16	40	
He	1957	696	55	39	
is	2037	695	32	40	
not	2096	695	66	40	
Con	518	2159	73	22	
Brio	616	2159	104	22	
.	725	2160	10	22	
ASCENSION	1128	1595	299	29	
.	1438	1595	9	29	
ris	1281	1276	49	28	
PP	1634	494	44	29	
en	1480	1287	41	24	
,	1526	1286	8	25	
but	1589	1275	67	29	
is	1699	1276	34	29	
#	609	3037	190	123	
King	474	3204	99	40	
of	594	3203	41	41	
glory	676	3202	145	41	
shall	866	3201	98	41	
come	981	3201	98	40	
in	1095	3200	38	41	
,	1137	3200	6	41	
No.	730	2059	97	77	
8.	850	2058	55	78	
Lift	976	2058	95	77	
up	1099	2057	67	78	
your	1193	2057	131	77	
Heads	1359	2056	164	77	
,	1531	2055	10	78	
O	1575	2055	39	78	
ye	1637	2055	66	78	
Gates	1728	2055	156	77	
.	1884	2054	19	78	
ris	1851	1276	52	28	
E	2066	504	76	83	
en	2056	1289	41	17	
.	2102	1288	7	18	
School.	1309	1660	120	28	
And	1351	1721	84	37	
he	1460	1721	42	37	
led	1526	1721	57	38	
them	1609	1722	93	37	
out	1728	1722	61	38	
as	1806	1723	33	37	
far	1857	1723	50	37	
as	1926	1723	33	38	
to	1978	1724	34	37	
Bethany	2033	1724	154	38	
,	2190	1725	7	37	
and	1308	1779	68	43	
he	1402	1778	42	43	
lifted	1469	1778	97	43	
up	1595	1778	44	43	
his	1659	1777	50	43	
hands	1728	1777	108	43	
and	1855	1777	65	42	
blessed	1939	1776	134	43	
them	2091	1776	93	42	
.	2191	1775	6	43	
And	1354	1838	81	38	
it	1451	1837	29	39	
came	1495	1837	95	39	
to	1606	1836	36	39	
pass	1660	1836	75	39	
,	1741	1836	5	39	
while	1765	1836	103	38	
he	1882	1835	42	39	
blessed	1940	1835	132	39	
them	2091	1834	93	39	
,	2189	1834	8	39	
he	1309	1889	44	43	
was	1370	1889	68	43	
parted	1455	1889	121	43	
from	1594	1889	88	43	
them	1700	1889	95	43	
,	1801	1889	6	43	
and	1827	1889	69	43	
carried	1913	1889	132	43	
up	2063	1889	48	43	
into	2128	1889	73	43	
heaven	1309	1950	133	26	
.	1446	1950	9	26	
Lift	513	2338	78	46	
up	604	2338	51	46	
your	669	2338	95	46	
heads	774	2338	108	46	
,	887	2338	5	46	
oh	907	2338	45	46	
,	958	2338	6	46	
ye	977	2338	43	46	
gates	1043	2338	96	46	
,	1144	2338	6	46	
Lift	1174	2338	71	46	
up	1264	2338	48	46	
your	1331	2338	90	46	
heads	1439	2338	107	46	
,	1551	2338	5	46	
oh	1574	2338	44	46	
,	1625	2338	5	46	
ye	1647	2338	43	46	
gates	1700	2338	97	46	
,	1802	2338	6	46	
Lift	1828	2338	74	46	
up	1913	2338	48	46	
your	1975	2338	90	46	
heads	2080	2338	108	46	
,	2190	2338	11	46	
and	1239	3196	70	40	
the	1328	3197	60	40	
King	1409	3198	97	41	
of	1522	3200	43	40	
glo	1589	3201	60	40	
-	1664	3202	13	40	
ry	1688	3202	41	41	
E	2114	1103	78	97	
oh	501	2782	45	43	
,	550	2782	8	43	
ye	578	2782	45	43	
gates	653	2782	100	43	
,	755	2782	8	43	
and	813	2782	69	43	
be	916	2782	41	43	
ye	1004	2782	43	43	
lift	1086	2782	61	43	
-	1168	2782	12	43	
ed	1193	2782	41	43	
up	1275	2782	48	43	
,	1330	2782	7	43	
ye	1368	2782	47	43	
everlasting	1458	2782	361	36	
doors	1845	2777	102	39	
;	1959	2776	8	40	
And	1995	2775	83	40	
the	2096	2774	60	40	
shall	1819	3194	97	39	
come	1931	3196	100	40	
in	2053	3199	40	38	
;	2104	3200	8	38	
