content	x	y	w	h	
Sounds	833	211	329	78	
of	1202	213	81	77	
the	1312	214	146	77	
Singing	1498	215	327	78	
School	1864	217	287	79	
.	2157	219	15	77	
(	2244	219	24	77	
Round	2266	220	221	78	
in	2517	221	55	77	
Five	2612	222	146	77	
Parts	2792	223	185	78	
.	2977	224	19	77	
)	2991	224	25	77	
P.	3282	259	34	29	
P.	3328	259	34	29	
BLISS	3376	259	106	30	
.	3482	260	9	29	
42	254	211	93	54	
Divide	302	323	134	44	
the	451	323	62	44	
class	529	324	90	44	
into	636	324	76	44	
five	731	325	67	44	
divisions	813	325	170	45	
and	1005	326	68	44	
number	1093	326	151	45	
them	1261	327	99	44	
,	1364	328	6	44	
(	1386	328	12	44	
make	1405	328	104	44	
two	1526	328	67	45	
divisions	1611	329	175	45	
of	1802	330	38	44	
Soprano	1854	330	159	45	
or	2031	331	38	44	
any	2086	331	71	44	
part	2171	331	80	45	
that	2269	332	80	44	
is	2368	332	28	44	
most	2414	333	91	44	
numerous	2523	333	191	45	
)	2719	334	9	44	
First	2748	334	93	45	
division	2859	335	160	44	
sings	3033	336	93	44	
first	3141	336	75	44	
staff	3228	336	87	45	
alone	3328	337	102	44	
.	3432	337	8	44	
When	3475	338	116	44	
first	256	367	75	46	
division	346	367	156	47	
begins	522	368	123	46	
second	663	368	128	47	
staff	808	369	86	46	
,	891	369	8	46	
second	917	369	127	47	
division	1062	370	156	47	
begins	1237	371	124	46	
piece	1378	372	97	46	
.	1478	372	8	46	
When	1533	372	115	47	
second	1666	373	127	46	
division	1810	373	156	47	
begins	1984	374	118	47	
second	2121	375	127	46	
staff	2266	376	86	46	
,	2348	376	6	46	
and	2376	376	71	46	
first	2465	376	74	47	
division	2555	377	156	46	
third	2735	378	100	46	
staff	2851	378	86	46	
,	2937	379	6	46	
third	2962	379	97	46	
division	3077	379	157	47	
begins	3253	380	121	46	
piece	3394	381	96	46	
,	3495	381	7	46	
and	3520	381	69	46	
so	254	412	41	45	
on	311	412	43	45	
.	360	412	10	45	
Sing	414	412	87	45	
the	517	413	63	45	
piece	597	413	98	45	
through	712	413	157	46	
twice	890	414	101	45	
,	995	414	6	45	
the	1018	415	60	45	
divisions	1093	415	173	45	
ending	1282	416	133	45	
one	1432	416	66	45	
after	1515	417	88	45	
another	1622	417	150	45	
as	1789	418	35	45	
they	1843	418	83	45	
begin	1941	418	105	46	
,	2050	419	6	45	
or	2072	419	38	45	
together	2125	419	156	46	
at	2299	420	36	45	
the	2353	420	59	45	
end	2428	420	67	45	
of	2510	420	36	46	
any	2565	421	67	45	
staff	2647	421	88	45	
all	2745	421	51	46	
singing	2810	422	145	45	
the	2971	422	60	45	
word	3045	423	96	45	
"	3158	423	20	45	
away	3192	423	97	45	
.	3294	424	13	45	
"	3306	424	18	45	
The	3360	424	74	45	
teacher	3447	424	142	46	
may	255	455	86	47	
make	357	455	106	47	
a	481	455	20	47	
vocal	517	456	106	47	
training	639	456	160	48	
exercise	816	457	157	48	
of	990	458	37	47	
this	1044	458	71	47	
by	1132	458	45	47	
calling	1195	459	137	47	
out	1346	459	68	47	
while	1430	460	107	47	
they	1553	460	84	47	
are	1655	461	60	47	
singing	1731	461	141	47	
,	1875	462	10	47	
-	1884	462	38	47	
"	1925	462	25	47	
piano	1962	462	109	47	
,	2074	462	7	47	
forte	2097	462	90	48	
,	2190	463	5	47	
cres	2215	463	71	47	
.	2290	463	7	47	
,	2302	463	6	47	
dim	2326	463	75	48	
.	2405	464	9	47	
,	2417	464	6	47	
legato	2441	464	115	47	
,	2562	465	5	47	
staccato	2587	465	153	47	
,	2746	465	5	47	
forzando	2771	465	167	48	
,	2943	466	8	47	
clear	2968	466	95	48	
,	3068	467	6	47	
somber	3091	467	139	47	
,	3230	467	12	47	
"	3242	467	21	47	
&	3281	468	30	47	
c	3313	468	19	47	
.	3333	468	11	47	
기	879	581	120	127	
N	1246	581	143	114	
Now	442	738	96	49	
for	577	738	59	49	
a	654	738	23	49	
song	689	738	96	49	
of	812	738	43	49	
the	867	738	65	49	
singing	947	738	151	49	
school	1113	738	126	49	
,	1245	738	7	49	
And	1258	738	88	49	
the	1358	738	64	49	
sounds	1435	738	137	49	
you	1584	738	73	49	
there	1673	738	107	49	
may	1792	738	87	49	
hear	1892	738	93	49	
,	1987	738	10	49	
la	471	1041	41	33	
la	535	1041	40	33	
la	597	1041	40	33	
la	660	1041	40	33	
la	723	1041	40	33	
la	786	1041	38	33	
la	849	1041	37	33	
la	911	1041	38	33	
la	995	1041	42	33	
la	1058	1041	40	33	
la	1191	1041	43	32	
Keep	450	1320	111	42	
re	593	1629	38	19	
the	722	1320	67	30	
240	258	2382	258	65	
mi	706	1623	49	24	
Accompaniment	386	2029	347	29	
.	735	2029	11	29	
fa	841	1624	37	24	
time	980	1320	93	31	
with	1170	1319	92	32	
Oh	471	1905	59	45	
,	532	1905	10	45	
ah	591	1906	51	46	
,	644	1907	9	45	
a	719	1908	26	45	
,	744	1909	12	45	
e	845	1910	27	45	
,	868	1911	14	45	
bo	996	1908	47	39	
,	1047	1908	10	39	
bah	1060	1908	75	39	
,	1140	1908	8	39	
ba	1167	1908	52	39	
,	1220	1908	9	39	
be	1233	1908	48	39	
,	1284	1908	9	39	
sol	992	1621	50	27	
la	1069	1619	30	28	
si	1130	1619	29	27	
do	1179	1618	42	28	
€	932	2317	158	114	
gg	1171	2167	108	73	
la	1400	1040	39	33	
la	1461	1040	41	33	
la	1524	1040	39	33	
la	1585	1040	40	33	
la	1647	1040	41	33	
la	1711	1040	39	33	
la	1774	1040	37	33	
la	1834	1040	40	33	
la	1933	1040	41	33	
la	1995	1040	43	33	
la	2058	1040	45	33	
80	1409	1330	46	22	
cont	1642	1325	88	25	
1s	1399	1618	38	26	
the	1513	1619	58	25	
ma	1647	1627	55	17	
Sit	1378	1907	61	32	
up	1512	1916	49	32	
erect	1578	1914	105	31	
,	1684	1911	9	34	
strong	1872	1323	131	40	
,	2005	1324	10	39	
I	1771	1906	25	31	
Of	2096	738	55	36	
the	2158	738	64	36	
do	2241	738	46	36	
re	2305	738	40	37	
mi	2364	739	53	36	
and	2430	739	75	36	
the	2514	739	68	37	
G	2597	740	33	36	
A	2697	741	42	35	
B	2826	740	31	40	
and	2871	740	75	40	
the	2959	741	64	40	
voi	3036	741	61	41	
-	3100	742	14	40	
ces	3119	742	62	41	
ringing	3231	743	151	42	
clear	3401	745	103	41	
.	3505	746	12	40	
H	2983	853	123	113	
jor	1762	1616	54	35	
scale	1874	1616	90	35	
,	1967	1616	11	35	
you	1979	1616	68	35	
know	2061	1616	96	35	
,	2162	1616	10	35	
say	1906	1915	66	32	
,	1972	1918	12	31	
Lines	2178	1039	116	46	
and	2309	1039	76	46	
spaces	2398	1039	130	46	
,	2536	1039	6	46	
clefs	2559	1039	91	46	
and	2690	1039	74	46	
keys	2801	1039	93	46	
,	2895	1039	13	46	
Full	2259	1318	88	31	
and	2395	1317	74	32	
clear	2565	1316	105	34	
Ho	2229	1905	59	41	
,	2292	1905	10	41	
ho	2305	1905	48	41	
,	2357	1905	10	41	
ho	2368	1905	48	41	
,	2421	1905	9	41	
!!!	2312	2159	184	84	
12	2190	2327	167	93	
the	2809	1317	67	33	
ha	2562	1904	53	42	
,	2615	1904	9	42	
ha	2675	1904	52	42	
,	2728	1904	9	42	
ha	2802	1905	54	42	
,	2855	1905	9	42	
E	2505	2313	148	119	
All	3011	1038	64	33	
must	3092	1039	102	34	
tell	3233	1041	71	33	
with	3315	1042	88	34	
ease	3415	1043	87	34	
.	3505	1044	11	33	
Ev	2251	1613	52	38	
-	2316	1613	14	38	
en	2330	1613	40	38	
,	2375	1613	7	38	
double	2385	1613	122	39	
,	2509	1614	7	38	
triple	2521	1614	96	39	
measure	2632	1615	150	39	
too	2791	1616	56	38	
,	2851	1617	8	38	
are	2861	1617	55	38	
among	2931	1617	121	39	
the	3062	1618	57	38	
many	3130	1619	100	38	
unings	3244	1619	108	39	
we	3367	1620	49	38	
do	3423	1621	46	38	
.	3468	1621	11	38	
tones	2995	1323	108	28	
UNA	2972	1422	196	100	
H	3307	1148	163	107	
pro	3294	1326	71	39	
-long	3380	1322	110	38	
.	3487	1318	14	42	
111	3349	1414	262	129	
Drive	2949	1901	119	38	
dull	3108	1904	80	37	
care	3215	1906	84	37	
a-	3315	1908	37	36	
way	3375	1909	80	38	
.	3458	1911	10	36	
El	3377	2317	225	123	
