content	x	y	w	h	
30	249	188	67	48	
9	270	729	64	66	
:	335	728	33	67	
b	381	727	48	67	
9	265	1309	89	76	
:	312	1306	61	77	
9	268	1973	82	77	
:	315	1976	68	77	
b	374	1978	55	55	
bal	959	185	90	53	
Hosanna	1065	185	234	53	
to	1334	185	50	53	
the	1421	185	85	53	
Son	1544	185	96	53	
of	1677	185	57	53	
David.d	1762	185	277	53	
Hosanna	510	262	142	35	
to	666	262	28	35	
the	706	262	49	35	
Son	767	262	54	35	
of	838	262	32	35	
David	882	262	101	35	
:	991	262	9	35	
Blessed	1024	262	113	35	
is	1151	262	27	35	
he	1191	262	33	35	
that	1237	262	62	35	
cometh	1311	262	103	35	
in	1428	262	31	35	
the	1475	262	46	35	
name	1534	262	86	35	
of	1634	262	32	35	
the	1677	262	45	35	
Lord	1738	262	78	35	
;	1823	262	9	35	
Hosanna	1854	262	142	35	
in	2011	262	31	35	
the	2055	262	46	35	
highest	2115	262	110	35	
.	2227	262	9	35	
-	2238	262	27	35	
Matt	2272	262	80	35	
.	2356	262	6	35	
21	2379	262	33	35	
:	2421	262	9	35	
9	2447	262	17	35	
.	2465	262	8	35	
From	1239	307	94	34	
"	1351	307	19	34	
Jesus	1378	307	91	34	
of	1484	307	33	34	
Nazareth	1529	307	157	34	
in	1702	307	32	34	
Prophecy	1752	307	162	34	
and	1929	307	65	34	
Fulfillment	2010	307	204	34	
.	2216	307	7	34	
"	2227	307	16	34	
Used	2285	307	82	34	
by	2383	307	40	34	
permission	2440	307	190	34	
.	2633	307	7	34	
AF	2056	408	67	38	
Animato	494	358	202	24	
.	702	359	11	23	
4-2	488	469	127	50	
5	584	515	23	23	
4	489	790	56	48	
Ho	558	586	59	33	
-	634	589	15	32	
san	657	590	65	33	
-	736	593	14	32	
na	762	594	49	33	
,	812	596	7	31	
3	588	677	21	23	
1	587	709	20	21	
3	524	1257	23	22	
4	620	1018	19	19	
1	618	1064	19	18	
1	675	468	40	26	
san	500	1177	65	22	
-	577	1175	14	23	
na	600	1175	50	23	
2	615	1273	26	24	
5	687	516	20	20	
-5	757	515	35	23	
3	775	547	18	22	
-3	666	679	48	21	
1	676	708	40	24	
Marcato	461	1911	185	24	
.	654	1911	12	24	
1	555	1956	23	23	
Bless	511	1519	104	32	
Cantabile	462	1562	222	26	
.	688	1564	12	25	
3	711	1033	19	20	
3	680	1752	23	23	
1	679	1955	25	24	
1	773	709	21	22	
1	683	2067	17	18	
12+	859	430	33	50	
3	772	1752	23	23	
3	897	441	18	20	
1	897	473	17	17	
5	897	1002	18	19	
ho	875	587	47	33	
-	937	589	15	32	
san	963	590	64	34	
-	1042	594	13	32	
na	1064	595	49	33	
,	1116	597	8	31	
-5-	873	644	61	20	
5	996	649	16	17	
1	896	707	22	23	
3	894	1258	22	21	
1	898	1289	19	21	
Blessed	511	1852	200	35	
is	757	1853	35	34	
he	874	1854	47	39	
,	925	1856	7	37	
3	995	440	21	20	
3	898	1753	20	22	
to	691	1165	40	33	
the	768	1165	66	33	
Son	861	1165	74	33	
of	973	1165	43	33	
Da	1061	1165	59	33	
-	1130	1165	13	33	
vid	1155	1165	64	33	
.	1223	1165	10	33	
5	986	1224	23	25	
ed	892	1518	50	32	
is	1018	1519	35	31	
3	989	1034	16	18	
1	895	1955	23	24	
5	1082	515	20	21	
3	1081	678	20	22	
27	1077	1038	26	58	
5	1078	1334	28	25	
Copyright	385	2170	131	26	
,	518	2169	3	27	
1883	535	2169	54	27	
,	591	2169	4	27	
by	610	2169	31	27	
STANDARD	659	2168	134	27	
PUBLISHING	809	2168	153	26	
COMPANY	979	2167	122	27	
.	1104	2167	8	27	
1	1173	1064	20	18	
5	1204	409	21	21	
1	1203	469	27	23	
3	1205	677	21	23	
1	1206	710	20	19	
-3	1152	1257	44	23	
he	1154	1521	49	32	
,	1205	1522	9	32	
3	1180	1647	22	21	
3	1172	1754	20	21	
5	1297	411	21	21	
1	1298	473	20	19	
4	1374	424	21	22	
Ho	1177	586	61	35	
-	1250	586	16	35	
san	1277	586	66	35	
-	1345	586	12	35	
na	1360	586	50	35	
to	1434	586	37	35	
the	1499	586	66	35	
Son	1585	586	73	35	
of	1684	586	43	35	
Da	1764	586	59	35	
-	1838	586	15	35	
vid	1865	586	63	35	
.	1934	586	9	35	
-6	1862	644	43	25	
-5--5	1679	645	132	24	
3-	1605	677	38	19	
-H	1675	679	38	21	
2	1356	1043	26	25	
⑤	1336	1042	58	61	
.	1355	1042	46	61	
Con	1342	947	77	24	
moto	1437	948	111	24	
.	1553	949	10	24	
Ho	1331	1168	61	31	
-3	1275	678	44	23	
1-21	1291	699	140	28	
1	1451	703	25	33	
21	1524	692	62	41	
1	1700	709	22	23	
3-	1297	1753	35	19	
-3	1369	1753	41	23	
3	1453	444	18	18	
-	1418	1186	14	4	
Blessed	1122	1853	200	34	
is	1380	1856	37	30	
1	1386	1956	23	24	
1	1391	2069	16	17	
4	1531	426	20	19	
2	1446	1044	30	24	
7	1450	1076	23	25	
san	1454	1178	64	20	
-3	1490	1753	43	23	
5	1607	409	22	22	
he	1494	1855	49	39	
,	1546	1855	8	39	
-1	1496	1955	38	24	
888	1696	429	213	75	
3	1792	441	23	23	
3	1701	442	19	19	
na	1579	1178	53	28	
,	1629	1173	13	32	
ho	1674	1168	54	28	
7	1664	1975	22	22	
5	1665	2004	23	23	
2	1692	1275	30	21	
5	1794	757	19	20	
Bless	1687	1520	104	31	
san	1790	1178	65	20	
2	1883	452	28	26	
Bless	1622	1854	102	32	
-	1740	1854	15	32	
ed	1770	1854	45	32	
7	1884	486	23	24	
8	1692	1007	29	71	
8	1787	1013	27	71	
:	1835	1017	26	71	
8818	1881	1020	183	82	
8	2131	1038	29	71	
.	2153	1040	22	71	
7	2129	1075	25	25	
4	1911	679	31	22	
5	1884	756	22	22	
O	1883	1185	12	4	
is	1873	1855	36	32	
7	1880	1975	19	21	
