content	x	y	w	h	
104	288	255	110	56	
6	296	919	86	124	
datel	357	1291	13	55	
&	295	2400	80	135	
41210	464	291	409	81	
3	420	433	34	36	
-4	414	481	37	27	
1	425	575	18	39	
All	468	575	61	39	
glo	555	575	58	39	
-	625	575	13	39	
ry	647	575	39	39	
and	702	575	71	39	
praise	784	575	113	39	
be	905	575	42	39	
to	980	575	40	39	
Je	1061	575	44	39	
-	1117	575	16	39	
sus	1146	575	58	39	
,	1210	575	7	39	
2	425	621	22	25	
To	462	620	56	23	
us	560	617	42	37	
he	642	617	47	37	
hath	699	617	88	37	
given	799	617	143	37	
the	970	617	62	37	
gift	1053	617	67	37	
from	1132	617	89	37	
3	426	657	20	36	
Ye	471	657	51	36	
all	557	657	49	36	
may	628	657	81	36	
re	725	657	37	36	
-	764	657	10	36	
ceive	783	657	95	36	
who	891	657	78	36	
on	982	657	44	36	
Je	1065	657	42	36	
-	1120	657	16	36	
sus	1148	657	61	36	
3	416	736	40	35	
grace	443	1083	104	26	
,	547	1076	8	33	
and	580	1074	71	29	
heav	445	1114	91	26	
en	594	1122	40	23	
,	640	1122	8	23	
spirit	454	1152	172	37	
3	329	1400	86	102	
#	352	1399	119	102	
3	421	2002	39	38	
now	446	2547	81	26	
,	531	2547	9	26	
REVIVE	900	251	281	61	
US	1229	252	86	60	
.	1308	253	19	60	
to	974	1075	38	26	
SO	720	1080	41	20	
true	821	1073	81	27	
the	706	1110	62	33	
spir	822	1114	72	33	
it	973	1112	34	28	
'	705	1152	10	37	
tis	716	1152	45	37	
prof-	817	1152	107	37	
fered	946	1152	95	37	
glo	460	1544	58	38	
ry	575	1544	40	38	
,	619	1544	8	38	
Hal-	673	1544	99	38	
le-	792	1544	62	38	
lu	868	1544	38	38	
-	922	1544	13	38	
jah	955	1544	60	38	
,	1023	1544	7	38	
A	1074	1544	30	38	
-	1125	1544	12	38	
men	1158	1544	82	38	
.	1247	1544	9	38	
glory	460	1586	154	36	
,	619	1584	7	37	
[	653	1584	14	37	
OMIT	670	1584	93	37	
......	767	1583	77	37	
5	1132	1415	106	84	
2.1	1162	1616	108	2	
45	574	2650	49	26	
-	928	1130	12	4	
Just	653	2537	80	30	
now	753	2541	78	30	
271	1396	268	180	110	
English	1576	263	165	110	
2	1735	259	43	113	
€	1531	437	105	114	
our	1253	575	67	39	
Lord	1344	575	88	39	
,	1436	575	8	39	
So	1500	578	46	27	
a-	1277	618	50	27	
bove-	1340	617	118	27	
The	1499	616	75	27	
do	1261	655	44	32	
call	1349	657	67	33	
,	1420	659	8	31	
The	1498	661	74	24	
#	1314	739	86	76	
his	1087	1073	57	26	
word	1187	1073	96	26	
.	1287	1073	7	26	
of	1087	1112	42	27	
love	1189	1113	85	28	
.	1276	1113	8	28	
to	1086	1156	38	24	
all	1206	1153	51	27	
.	1259	1153	9	27	
-Q	1209	1194	42	24	
come	879	2546	101	19	
to	993	2540	38	22	
2	451	2769	19	34	
He	495	2769	54	34	
will	565	2770	73	34	
save	653	2771	83	34	
you	748	2772	71	34	
,	826	2772	7	34	
&	850	2773	25	34	
c	881	2773	17	34	
.	903	2773	9	34	
3	452	2813	20	32	
Oh	494	2812	49	32	
,	551	2812	6	32	
believe	576	2811	134	31	
him	724	2810	75	32	
.	806	2809	9	32	
4	449	2852	20	29	
He	493	2851	56	29	
is	562	2851	28	29	
able	609	2851	75	28	
.	688	2850	6	29	
5	450	2887	19	34	
He	495	2887	53	35	
is	563	2889	27	34	
willing	610	2890	135	36	
.	750	2893	8	34	
6	453	2927	17	32	
He'll	495	2928	93	34	
receive	606	2931	133	35	
you	753	2934	69	35	
.	827	2936	9	32	
7	452	2972	18	37	
Call	492	2972	74	37	
upon	582	2972	95	37	
him	696	2972	76	37	
.	777	2972	11	37	
Chorus	1358	880	169	31	
.	1531	879	8	32	
COME	814	1871	196	65	
TO	1054	1871	91	65	
JESUS	1183	1871	219	65	
.	1393	1871	19	65	
#	1506	2004	85	106	
1	408	2148	17	25	
Come	447	2148	109	25	
to	581	2148	37	25	
Je	670	2144	45	36	
sus	791	2144	61	36	
,	856	2144	8	36	
Come	891	2144	106	36	
to	1038	2144	36	36	
Jesus	1124	2144	177	36	
,	1307	2144	7	36	
Come	1344	2144	108	36	
to	1492	2144	38	36	
星	1510	2209	93	111	
Re	1319	1586	50	26	
vive	1409	1585	79	26	
English	1596	343	132	45	
Melody	1747	344	122	46	
.	1867	346	13	44	
Hal	1346	1057	75	40	
Halle	1348	1071	155	37	
lu-	1550	1071	68	38	
jah	1638	1072	61	37	
!	1710	1072	8	37	
Thine	1731	1072	112	38	
the	1853	1073	62	37	
Hal-	1347	1145	105	42	
le-	1470	1145	67	43	
lu	1550	1146	42	42	
-	1603	1146	17	42	
jah	1634	1146	66	43	
!	1711	1147	10	42	
Thine	1731	1147	114	43	
the	1852	1148	63	42	
us	1559	1593	41	21	
plen	1626	578	84	33	
-	1712	576	11	34	
teous	1721	576	101	33	
in	1852	574	40	34	
earn	1628	621	80	28	
-	1722	620	13	29	
est	1747	619	52	29	
of	1846	618	45	29	
gift	1639	662	67	31	
of	1754	660	43	31	
his	1843	658	56	32	
a	1692	1596	24	18	
gain	1764	1589	82	33	
.	1851	1589	8	33	
Je	1582	2144	40	30	
-	1646	2146	17	30	
sus	1694	2149	61	32	
Je	1115	2536	43	36	
sus	1208	2536	60	36	
,	1272	2536	7	36	
Come	1290	2536	109	36	
to	1427	2536	37	36	
Je	1508	2536	41	36	
sus	1600	2536	59	36	
just	1691	2536	78	36	
now	1788	2536	78	36	
.	1873	2536	9	36	
1014	1390	2735	75	5	
8	1319	2765	18	32	
He	1361	2765	53	33	
will	1432	2767	73	33	
hear	1520	2769	85	34	
you	1619	2771	69	34	
.	1695	2773	9	32	
9	1318	2809	19	30	
Look	1360	2809	97	30	
unto	1474	2809	88	30	
him	1578	2809	75	30	
.	1660	2809	9	30	
10	1298	2845	39	34	
He'll	1362	2846	92	36	
forgive	1470	2849	133	37	
you	1618	2852	69	37	
.	1695	2854	9	34	
11	1301	2884	36	35	
He	1363	2885	53	35	
will	1433	2886	73	36	
cleanse	1522	2887	136	38	
you	1673	2890	69	36	
.	1751	2891	7	35	
12	1300	2927	41	34	
Jesus	1362	2928	101	35	
loves	1476	2930	99	36	
you	1589	2932	70	35	
.	1666	2934	9	34	
13	1300	2972	43	34	
Only	1361	2970	94	34	
trust	1470	2968	91	33	
him	1576	2966	76	33	
.	1657	2964	11	35	
just	1806	2147	80	35	
