content	x	y	w	h	
#	274	291	61	46	
*	309	288	34	48	
#	329	286	41	48	
4	374	282	57	46	
4	384	337	43	36	
←	234	1323	72	139	
GRACE	382	186	140	26	
GLENN	535	184	142	27	
.	682	182	8	28	
E	231	1559	91	89	
TO	281	1848	28	63	
1.	375	413	37	36	
I've	441	414	88	39	
a	582	418	26	37	
2.	372	469	40	36	
I've	440	469	88	36	
a	579	479	28	24	
4	381	604	45	38	
3.	370	692	41	38	
I've	437	692	87	38	
a	576	706	28	23	
4	381	783	43	36	
1-4	331	829	90	36	
fra	398	1200	66	33	
wel	388	1254	77	31	
less	413	1487	80	36	
days	364	1984	102	48	
days	363	2200	102	48	
1	510	1220	11	5	
-	510	1274	14	5	
기	751	286	93	84	
beau	688	413	102	36	
-	793	413	12	36	
tiful	809	413	145	36	
home	989	413	116	36	
in	1158	413	44	36	
a	1264	426	28	23	
beau	685	465	103	37	
-	792	465	13	37	
ti	806	465	36	37	
-	860	465	15	37	
ful	891	465	61	38	
home	990	466	116	37	
that	1139	466	93	38	
a	1265	467	25	37	
ま	617	1060	110	76	
fair	1061	1201	81	31	
grance	550	1205	153	38	
there	713	1198	116	40	
,	829	1194	13	44	
Are	894	1191	89	41	
come	581	1256	112	40	
part	711	1258	94	40	
,	808	1261	8	38	
I	635	1487	23	37	
fear	709	1489	89	39	
,	800	1492	11	36	
beau	683	690	102	44	
-	790	690	12	44	
ti	806	690	31	44	
-	858	690	16	44	
ful	888	690	61	44	
home	986	690	116	44	
,	1107	690	6	44	
and	1136	690	77	44	
I	1263	690	21	44	
draw	1338	690	109	44	
more	1469	690	110	44	
near	1599	690	100	44	
Its	1761	689	63	35	
as	1234	1213	42	22	
an	1358	1212	53	23	
an	1484	1211	51	24	
loved	1048	1253	119	35	
ones	1208	1253	92	35	
shall	1336	1253	105	35	
share	1457	1253	116	35	
My	892	1251	77	47	
Say	893	1488	84	52	
will	1055	1487	88	37	
N	576	1845	173	83	
are	564	1989	69	38	
dark	669	1987	103	38	
and	825	1984	82	38	
garden	1360	414	198	46	
fair	1604	409	83	48	
,	1689	408	9	49	
Gra-	1346	465	100	36	
cious	1459	464	108	36	
Heart	1586	463	133	37	
Has	1755	462	91	37	
you	1209	1507	82	26	
not	1337	1496	75	27	
My	1705	153	105	68	
Home	1842	148	179	66	
.	2017	142	21	71	
go	1486	1503	57	34	
long	987	1990	99	41	
,	1085	1988	12	44	
I'll	1179	1988	73	34	
lift	1353	1987	73	35	
my	1503	2002	68	33	
非	2404	275	157	102	
By	1746	407	62	48	
the	1825	405	69	49	
side	1913	404	86	48	
of	2068	410	52	35	
a	2175	409	27	48	
crystal	2247	409	214	48	
stream	2477	409	140	48	
,	2628	409	7	48	
And	2644	409	93	48	
the	2752	409	69	48	
flow	2858	409	86	48	
-	2946	409	14	48	
ers	2966	409	59	48	
that	3072	409	91	48	
scat-	3192	409	102	48	
ter	3307	409	61	48	
their	3405	409	108	48	
fash	1911	461	91	47	
-	2006	461	13	47	
ioned	2020	461	117	48	
in	2160	463	44	47	
joy	2252	464	75	47	
for	2386	465	70	47	
me	2518	479	62	29	
,	2583	479	10	29	
In	2665	465	53	33	
its	2750	466	57	34	
ev	2874	478	49	23	
-	2941	478	17	23	
er	2976	478	43	23	
y	3112	471	30	43	
pleasure	3182	469	188	41	
,	3372	465	10	44	
a	3448	482	28	22	
gel's	1659	1200	95	42	
dream	1791	1196	137	41	
.	1935	1192	10	45	
with	1661	1251	99	35	
me	1833	1266	63	20	
.	1899	1265	6	21	
eyes	1644	2002	91	31	
with	1647	1488	97	33	
me	1826	1490	65	30	
?	1902	1490	22	30	
are	559	2203	71	37	
dark	665	2201	103	37	
and	823	2198	83	37	
long	986	2202	99	48	
,	1087	2203	9	46	
I'll	1177	2201	70	35	
lift	1351	2200	71	34	
my	1501	2216	69	33	
eyes	1637	2214	92	32	
treas	1913	688	105	48	
-	2022	688	14	48	
ures	2038	688	89	48	
each	2141	688	99	49	
day	2252	689	81	48	
I	2404	690	28	35	
see	2511	699	64	34	
,	2578	703	8	31	
As	2663	690	57	35	
Al	1826	1577	146	94	
to	1808	2204	45	31	
CHORUS	1967	1013	184	24	
.	2154	1013	11	24	
F	1783	2302	119	70	
to	1816	1987	39	35	
the	1910	1987	72	35	
star	2034	1988	83	35	
My	2008	1220	84	54	
home	2137	1218	128	54	
I'll	2308	1215	82	55	
seek	2453	1216	95	45	
tho	2598	1220	71	45	
'	2673	1222	10	43	
the	2727	1223	70	46	
way	2853	1227	87	46	
My	2020	1487	74	48	
home	2138	1486	116	48	
I'll	2310	1485	70	49	
seek	2430	1484	96	49	
the	1923	2202	72	32	
star	2037	2204	83	32	
-	2146	2007	15	7	
1	2168	2222	13	4	
tho	2596	1480	74	44	
'	2667	1483	17	42	
the	2728	1486	68	44	
way	2840	1491	87	45	
ry	2216	1990	50	49	
skies	2318	1988	105	49	
,	2425	1987	10	50	
And	2490	1986	98	49	
glad	2615	1984	98	49	
-	2730	1982	16	50	
den	2762	1982	79	49	
ry	2209	2203	50	44	
skies	2310	2202	108	44	
,	2419	2201	11	45	
And	2487	2200	95	45	
glad	2611	2199	97	44	
-	2722	2198	18	45	
den	2755	2198	79	44	
t	2833	2469	10	9	
-	3049	488	12	4	
on	2870	687	48	47	
-	2923	687	14	47	
ward	2942	687	109	49	
I'm	3081	689	73	49	
press	3177	691	110	48	
-	3292	692	12	47	
ing	3303	692	71	48	
the	3419	694	70	48	
GEO	3128	167	85	51	
.	3212	164	13	54	
BAKER	3231	164	153	50	
.	3382	160	15	54	
37	3458	158	76	53	
be	3009	1487	51	36	
#	3167	1065	92	69	
be	3022	1225	55	43	
bleak	3140	1225	122	43	
,	3266	1225	9	43	
And	3298	1225	93	43	
the	3408	1225	70	43	
bleak	3129	1487	121	41	
,	3254	1486	9	42	
And	3294	1485	95	42	
the	3410	1485	70	41	
the	2915	1979	70	49	
nights	3023	1981	135	50	
with	3179	1985	96	50	
song	3304	1988	101	50	
.	3405	1991	8	47	
the	2911	2195	67	47	
nights	3016	2196	135	49	
with	3172	2199	96	48	
song	3297	2201	100	48	
.	3400	2203	9	47	
