content	x	y	w	h	
No.	492	434	101	55	
13	615	434	67	55	
.	685	434	14	55	
CLUFF	527	531	128	28	
.	658	530	7	29	
OF	482	2452	90	39	
3	601	637	41	37	
8	601	682	44	38	
I.	578	792	28	18	
2	576	880	22	20	
.	598	880	11	20	
Soprano	650	577	200	37	
Solo	868	574	101	39	
.	971	573	11	39	
{	621	766	41	70	
F	1052	649	85	78	
I	697	755	19	44	
have	762	755	98	44	
a	898	755	22	44	
Sav	965	755	73	44	
-	1041	755	12	44	
iour	1053	755	85	44	
,	1141	755	7	44	
He's	1167	755	90	44	
pleading	1269	755	179	44	
in	1473	755	37	44	
glo	1544	755	64	44	
-	1625	755	14	44	
ry	1663	755	42	44	
,	1709	755	7	44	
now	674	800	81	43	
He	783	800	60	43	
is	885	800	35	43	
watching	943	800	192	43	
in	1172	800	39	43	
ten-	1260	800	81	43	
der-	1356	800	80	43	
ness	1453	800	84	43	
o'er	1552	800	79	43	
me	1646	800	61	43	
,	1711	800	6	43	
I	698	847	18	28	
have	762	848	97	29	
a	897	850	21	28	
Fa	976	849	53	28	
-	1030	849	13	28	
ther	1042	849	88	28	
:	1135	849	8	28	
to	1174	849	40	28	
me	1260	846	63	38	
He	1359	846	60	38	
has	1450	846	69	38	
giv	1542	846	65	38	
-	1624	846	15	38	
en	1653	846	50	38	
soon	663	892	92	30	
will	775	892	76	30	
He	876	892	59	30	
call	959	892	73	30	
me	1064	892	61	30	
to	1169	887	41	40	
meet	1234	887	101	40	
Him	1350	887	92	40	
in	1461	887	37	40	
heav-	1525	887	111	40	
en	1654	887	46	40	
,	1706	887	6	40	
花	576	952	63	117	
Chorus	595	1705	169	29	
.	770	1704	8	30	
FOR	840	428	132	60	
YOU	1009	428	140	60	
I	1188	428	28	60	
AM	1254	428	109	60	
PRAYING	1402	428	324	60	
.	1732	428	14	60	
Sav	617	1322	71	33	
-	691	1321	13	34	
iour	713	1321	85	34	
tho	820	1320	66	34	
'	891	1320	9	34	
earth	933	1320	103	34	
-	1042	1319	11	34	
friends	1055	1319	141	34	
be	1213	1319	46	33	
few	1335	1321	70	37	
;	1412	1321	9	37	
And	1468	1321	85	37	
Sav	614	1365	74	33	
-	692	1365	13	33	
iour	714	1365	85	33	
were	815	1366	94	33	
(	935	1366	14	33	
Omit	955	1366	88	34	
.	1044	1367	8	33	
-	608	1410	14	35	
ter-	629	1410	81	36	
ni	735	1412	36	35	
-	789	1413	14	35	
ty	833	1413	40	36	
,	874	1414	11	35	
blessed	941	1411	197	27	
and	1199	1408	76	35	
true	1319	1408	83	35	
;	1406	1408	9	35	
And	1462	1409	85	35	
1	601	1432	11	4	
let	627	1453	58	41	
me	721	1453	61	41	
bring	798	1453	113	42	
(	933	1454	19	41	
Omit	953	1454	94	41	
.	1043	1454	11	41	
For	614	1923	73	25	
you	613	2385	75	25	
you	744	1931	74	27	
I	899	1923	22	28	
I	789	2375	23	27	
+	973	1130	44	39	
am	921	2384	56	17	
pray	1072	2381	95	32	
-	1191	2375	15	36	
ing	1239	2372	70	34	
,	1310	2369	10	37	
2	1676	1130	36	32	
am	1002	1931	52	18	
pray	1123	1923	95	34	
-	1217	1920	16	37	
ing	1229	1920	70	35	
,	1303	1918	10	37	
For	1330	1917	75	35	
you	1459	1927	77	29	
I	1581	1921	21	26	
am	1679	1928	54	18	
I'm	1390	2372	73	24	
(	1597	1409	18	35	
Omit	1618	1409	92	36	
.	1710	1410	9	35	
)	1565	1453	17	39	
you	1628	1455	73	41	
15	1256	3178	53	30	
(	1601	1321	17	37	
Omit	1620	1321	91	37	
.	1712	1321	9	37	
.	2060	1319	12	39	
)	2071	1318	22	39	
your	1623	1369	102	33	
Saviour	1758	1364	204	31	
,	1963	1358	11	37	
too	2018	1356	65	35	
!	2088	1354	13	37	
.	2058	1408	11	36	
)	2070	1407	19	36	
with	1761	1441	91	41	
me	1897	1449	60	39	
,	1961	1453	7	36	
too	2033	1451	66	29	
!	2103	1451	13	29	
rit	1581	2179	48	28	
.....	1630	2179	70	28	
A	1767	755	29	44	
dear	1815	755	89	44	
,	1908	755	7	44	
lov	1936	755	64	44	
-	2014	755	13	44	
ing	2040	755	68	44	
And	1746	800	86	43	
oh	1846	800	48	43	
,	1899	800	7	43	
that	1928	800	84	43	
my	2038	800	63	43	
A	1763	850	31	34	
hope	1812	849	100	33	
for	1932	847	62	34	
But	1741	887	72	40	
oh	1830	887	49	40	
,	1884	887	6	40	
that	1917	887	82	40	
He'd	2017	887	98	40	
e	2052	855	23	19	
praying	1553	2376	222	27	
E.	1861	529	31	28	
HANKS	1906	529	135	28	
.	2046	529	6	28	
3	719	2597	22	42	
I	760	2596	20	42	
have	796	2596	99	42	
a	910	2596	21	42	
robe	945	2596	90	41	
:	1043	2595	7	42	
'	1074	2595	9	42	
tis	1087	2595	48	42	
resplendent	1153	2595	241	41	
in	1412	2594	37	42	
whiteness	1469	2594	202	41	
,	1674	2593	6	42	
Awaiting	806	2640	188	42	
in	1010	2639	38	43	
glory	1067	2638	109	43	
my	1194	2638	64	43	
wondering	1276	2637	218	43	
view	1511	2636	95	43	
;	1610	2636	8	43	
Oh	762	2680	58	44	
,	826	2680	9	44	
when	852	2680	110	44	
I	978	2680	18	44	
receive	1013	2680	144	44	
it	1173	2680	30	44	
,	1206	2680	6	44	
all	1234	2680	49	44	
shining	1300	2680	156	44	
in	1473	2680	37	44	
brightness	1530	2680	215	44	
,	1749	2680	9	44	
Dear	807	2727	99	42	
friend	921	2727	121	42	
,	1047	2727	8	42	
could	1075	2727	108	42	
I	1202	2727	15	42	
see	1237	2727	62	42	
you	1315	2727	75	42	
receiving	1407	2727	191	42	
one	1615	2727	74	42	
,	1691	2727	6	42	
too	1717	2727	64	42	
!	1786	2727	12	42	
5	717	2992	23	42	
When	763	2991	123	42	
you've	903	2991	135	41	
found	1055	2990	118	42	
Jesus	1187	2990	107	41	
,	1299	2989	6	42	
tell	1324	2989	68	42	
others	1409	2989	126	41	
the	1552	2988	66	42	
story	1633	2988	105	41	
,	1739	2987	9	42	
That	806	3037	98	42	
my	920	3036	63	43	
loving	998	3035	131	43	
Saviour	1147	3034	158	43	
is	1320	3033	30	43	
your	1369	3033	94	43	
Saviour	1479	3032	157	43	
,	1639	3032	7	43	
too	1666	3031	64	43	
,	1732	3031	10	43	
J	1895	1195	155	88	
pray	1786	1923	97	35	
-	1880	1918	16	39	
ing	1910	1917	70	37	
,	1980	1913	11	40	
For	2017	1912	77	36	
4	714	2799	25	42	
I	761	2798	19	42	
have	796	2797	99	41	
a	910	2795	22	42	
peace	947	2795	114	40	
:	1067	2792	8	42	
it	1098	2792	31	42	
is	1144	2791	31	42	
calm	1193	2790	95	40	
as	1308	2788	43	42	
a	1366	2787	24	42	
river	1402	2787	104	40	
A	805	2839	33	40	
peace	852	2838	114	40	
that	982	2838	84	39	
the	1082	2837	62	40	
friends	1162	2837	140	39	
of	1321	2836	41	40	
this	1382	2836	76	40	
world	1476	2836	114	39	
never	1609	2835	115	40	
knew	1738	2835	111	39	
;	1853	2834	11	40	
My	762	2881	67	40	
Saviour	846	2880	157	40	
alone	1019	2879	109	41	
is	1144	2878	31	41	
