content	x	y	w	h	
TO	1005	266	59	26	
WORK	1093	266	155	26	
.	1258	266	10	26	
WHAT	422	332	118	31	
SHALL	558	332	127	31	
THE	705	332	77	31	
HARVEST	803	332	181	31	
BE	1004	332	48	31	
?	1057	332	14	31	
Concluded	1108	332	163	31	
.	1274	332	9	31	
ter	376	541	49	23	
ni	698	539	34	27	
-	743	540	13	27	
ty	774	541	35	29	
,	811	543	8	27	
Sure	955	539	76	30	
,	1033	539	8	30	
ah	1171	539	40	30	
,	1214	539	7	30	
sure	1246	539	74	30	
84	263	1001	73	48	
MRS	762	1041	54	17	
.	821	1041	4	17	
E.	841	1041	28	17	
S.	885	1041	21	17	
OAKEY	923	1041	97	17	
.	1024	1041	4	17	
2	261	1065	24	44	
Sowing	307	1065	156	44	
their	477	1065	104	44	
seed	591	1065	84	44	
by	691	1065	48	44	
the	759	1065	62	44	
way	835	1065	85	44	
-	924	1065	13	44	
side	942	1065	78	44	
high	1032	1065	55	44	
,	1091	1065	6	44	
Sowing	263	1111	155	41	
their	433	1111	101	41	
seed	551	1111	86	41	
on	656	1111	45	41	
the	721	1111	64	41	
rocks	801	1111	109	41	
to	929	1111	39	41	
die	985	1111	61	41	
,	1049	1111	9	41	
Sowing	264	1156	155	42	
their	433	1155	101	43	
seed	551	1154	86	43	
where	650	1154	127	43	
the	788	1154	63	42	
thorns	860	1153	82	43	
will	951	1153	58	43	
spoil	1015	1153	60	43	
,	1074	1152	9	43	
Sowing	263	1202	155	38	
their	427	1201	100	38	
seed	538	1200	86	39	
in	636	1200	38	39	
the	690	1199	64	39	
fertile	766	1199	124	38	
soil	903	1198	72	39	
,	980	1198	10	39	
Oh	308	1246	57	38	
,	371	1246	8	38	
what	401	1246	103	38	
shall	520	1246	96	38	
the	631	1246	64	38	
harvest	712	1246	155	38	
be	885	1246	46	38	
,	936	1246	8	38	
etc.	963	1246	71	38	
3	263	1320	23	44	
Sowing	308	1320	157	44	
the	476	1320	64	44	
seed	552	1320	85	44	
of	651	1320	41	44	
a	701	1320	21	44	
lingering	731	1320	193	44	
pain	943	1320	89	44	
,	1040	1320	7	44	
Sowing	263	1365	154	41	
the	434	1363	64	42	
seed	514	1363	87	41	
of	615	1362	42	42	
a	672	1362	21	42	
maddened	710	1362	210	40	
brain	937	1360	109	42	
,	1052	1359	10	42	
#	409	1581	32	34	
4	405	1622	43	42	
●	1074	559	8	6	
gathered	331	762	149	33	
in	495	762	31	33	
time	535	762	74	33	
or	622	762	32	33	
eternity	665	762	133	33	
,	803	762	5	33	
Sure	814	762	74	33	
,	891	762	6	33	
ah	902	762	38	33	
,	944	762	6	33	
yes	954	762	53	33	
,	1011	762	6	33	
sure	1022	762	70	33	
will	1102	762	65	33	
the	1175	762	50	33	
harvest	1235	762	128	33	
be	1373	762	35	33	
,	1412	762	6	33	
will	1423	762	63	33	
the	1496	762	53	33	
harvest	1560	762	126	33	
,	1691	762	4	33	
the	1700	762	51	33	
harvest	1764	762	128	33	
be	1901	762	37	33	
.	1939	762	8	33	
991	1442	851	137	89	
ÉI	1829	833	143	136	
85	258	2402	73	49	
2	257	2469	21	40	
What	303	2468	114	40	
though	433	2468	146	39	
the	594	2467	64	40	
spicy	676	2467	104	39	
breezes	799	2466	149	40	
Blow	346	2514	106	40	
soft	470	2513	76	41	
o'er	562	2512	77	41	
Ceylon's	659	2512	175	40	
isle	854	2511	71	41	
Though	302	2561	162	38	
every	482	2559	115	39	
prospect	613	2558	176	39	
pleases	806	2556	143	39	
,	956	2555	8	40	
And	352	2606	89	38	
only	459	2604	90	38	
man	568	2603	89	38	
is	674	2602	31	38	
vile	724	2601	75	38	
!	808	2600	12	39	
In	304	2648	44	37	
vain	366	2647	88	38	
,	462	2647	7	38	
with	492	2646	91	38	
lavish	604	2646	120	37	
kindness	744	2645	180	37	
,	928	2644	9	38	
The	346	2692	80	40	
gifts	442	2692	89	40	
of	549	2692	42	40	
God	605	2692	82	40	
are	705	2692	64	40	
strewn	786	2692	140	40	
;	937	2692	12	40	
The	304	2735	77	36	
heathen	398	2734	163	37	
,	569	2733	6	37	
in	594	2733	39	37	
their	652	2733	99	37	
blindness	768	2733	193	36	
,	967	2732	8	37	
Bow	346	2780	87	30	
down	454	2779	113	31	
to	585	2779	37	30	
wood	642	2778	106	31	
and	766	2778	72	31	
stone	857	2777	106	31	
.	970	2777	8	31	
-	1120	555	9	5	
R.	907	2441	26	17	
HEBER	948	2441	95	17	
.	1047	2441	6	17	
will	1441	541	64	22	
the	1516	541	52	22	
har	1578	541	59	22	
vest	1754	541	68	22	
be	1845	541	37	22	
.	1885	541	7	22	
MISSIONARY	405	1507	246	32	
HYMN	671	1507	115	32	
.	789	1507	6	32	
7s	833	1507	29	32	
&	884	1507	22	32	
6s	928	1507	31	32	
.	962	1507	6	32	
"	1004	1507	17	32	
The	1031	1507	60	32	
Macedonian	1106	1507	210	32	
cry	1332	1507	57	32	
.	1390	1507	15	32	
"	1400	1507	19	32	
H	991	1594	108	99	
T	446	1687	50	25	
1.	367	1710	25	43	
From	406	1710	68	43	
Greenland's	486	1710	143	43	
icy	640	1710	40	43	
mountains	689	1710	130	43	
,	823	1710	4	43	
From	832	1710	63	43	
India's	908	1710	83	43	
coral	1004	1710	60	43	
strand	1075	1710	79	43	
,	1157	1710	6	43	
Where	1166	1710	80	43	
Afric's	1257	1710	79	43	
sunny	1349	1710	74	43	
fountains	1434	1710	114	43	
Roll	1562	1710	53	43	
down	1624	1710	66	43	
their	1701	1710	62	43	
golden	1771	1710	85	43	
sand	1864	1710	58	43	
;	1922	1710	8	43	
4	1058	1796	166	133	
Sowing	1113	1020	156	42	
the	1286	1020	65	42	
seed	1369	1020	85	42	
of	1472	1020	42	42	
a	1529	1020	20	42	
tarnished	1566	1020	195	42	
name	1777	1020	112	42	
,	1892	1020	10	42	
Sowing	1112	1065	155	44	
the	1283	1065	66	44	
seed	1367	1065	86	44	
of	1470	1065	41	44	
eternal	1527	1065	143	44	
shame	1687	1065	129	44	
Ah	1155	1111	63	39	
,	1223	1110	7	40	
sure	1248	1110	89	40	
will	1355	1110	79	39	
the	1452	1109	63	40	
harvest	1533	1109	155	39	
be	1704	1108	44	40	
,	1753	1108	8	40	
etc.	1782	1108	70	39	
4	1105	1188	25	42	
Sowing	1155	1188	156	42	
the	1327	1188	67	42	
seed	1412	1188	85	42	
with	1511	1188	93	42	
an	1616	1188	47	42	
aching	1676	1188	138	42	
heart	1824	1188	109	42	
,	1937	1188	9	42	
Sowing	1109	1233	156	40	
the	1276	1233	65	40	
seed	1354	1233	85	40	
while	1454	1233	113	40	
the	1578	1233	64	40	
teardrops	1653	1233	196	40	
start	1861	1233	61	40	
,	1924	1233	7	40	
Sowing	1109	1277	156	40	
in	1283	1277	38	40	
hope	1340	1277	99	41	
till	1458	1278	57	40	
the	1534	1278	64	40	
reapers	1615	1278	151	41	
côme	1784	1279	105	40	
,	1894	1279	8	40	
Gladly	1108	1320	139	44	
to	1267	1320	36	44	
gather	1324	1320	134	44	
the	1474	1320	65	44	
harvest	1557	1320	153	44	
home	1725	1320	111	44	
,	1840	1320	9	44	
Oh	1151	1367	60	37	
,	1217	1367	8	37	
what	1245	1367	104	37	
shall	1366	1367	97	37	
the	1480	1367	65	37	
harvest	1562	1367	153	37	
be	1732	1367	45	37	
,	1781	1367	8	37	
etc.	1808	1367	72	37	
Hod	1648	2040	123	125	
From	374	2176	67	41	
many	449	2175	70	42	
an	528	2175	30	41	
ancient	569	2174	90	42	
riv	670	2174	34	42	
-	708	2173	9	42	
er	721	2173	21	42	
,	747	2173	5	42	
From	786	2173	65	42	
many	861	2172	69	42	
a	941	2172	12	42	
palmy	961	2172	77	41	
plain	1049	2171	61	42	
,	1114	2171	6	42	
They	1158	2171	64	41	
call	1233	2170	45	42	
us	1287	2170	25	42	
to	1327	2170	22	42	
de-	1368	2169	48	42	
liv-	1427	2169	43	42	
er	1481	2169	25	42	
Their	1544	2168	70	42	
land	1623	2168	54	42	
from	1691	2167	57	42	
error's	1759	2167	83	42	
chain	1851	2166	69	42	
.	1920	2166	8	42	
E	405	2267	89	84	
12	822	2262	86	95	
ff	1002	2256	130	125	
非	1392	2270	80	92	
59	1070	2822	41	28	
L.	1733	1515	24	17	
MASON	1774	1515	94	17	
.	1873	1515	6	17	
3	1102	2465	22	39	
Shall	1146	2465	108	39	
we	1268	2465	57	39	
,	1331	2465	8	39	
whose	1358	2465	129	39	
souls	1505	2465	102	39	
are	1626	2465	63	39	
lighted	1707	2465	144	39	
By	1192	2510	58	39	
wisdom	1269	2510	157	40	
from	1442	2511	98	39	
on	1561	2511	47	40	
high	1627	2512	96	39	
Shall	1147	2553	106	40	
we	1270	2553	56	40	
,	1331	2554	8	40	
to	1358	2554	39	40	
man	1414	2554	88	40	
benighted	1522	2555	205	41	
,	1734	2556	9	40	
The	1191	2600	78	39	
lamp	1283	2600	103	39	
of	1403	2600	44	39	
life	1457	2600	68	39	
deny	1543	2600	98	39	
?	1653	2600	17	39	
Salvation	1147	2644	190	38	
!	1352	2644	13	38	
oh	1380	2644	50	38	
,	1434	2644	8	38	
salvation	1461	2644	187	38	
!	1662	2644	10	38	
The	1191	2687	80	42	
joyful	1286	2687	128	43	
sound	1431	2688	122	42	
proclaim	1569	2688	182	43	
,	1759	2689	8	42	
Till	1147	2730	76	33	
earth's	1239	2730	141	33	
remotest	1398	2731	180	33	
nation	1596	2731	128	34	
Has	1194	2776	77	32	
learned	1288	2776	154	33	
Messiah's	1462	2777	200	33	
name	1679	2778	111	32	
.	1791	2779	7	32	
E	1824	2276	86	91	
211	1865	2236	57	133	
