content	x	y	w	h	
REVISED	558	200	159	23	
HYMNS	738	200	129	23	
.	872	200	7	23	
Fain	289	270	89	38	
would	397	270	116	39	
we	531	271	50	39	
leave	598	272	97	39	
this	712	273	70	38	
weary	800	274	115	38	
road	930	275	84	38	
,	1018	275	8	38	
And	287	319	81	36	
sleep	386	318	96	37	
in	498	318	37	37	
death	555	317	105	37	
,	666	317	5	37	
and	694	317	70	37	
rest	781	316	72	37	
in	868	316	36	37	
God	924	316	77	36	
.	1006	315	8	37	
153	245	411	106	42	
THE	540	421	78	30	
LORD'S	637	421	130	31	
DAY	786	422	80	31	
.	868	423	10	30	
TH	287	486	112	74	
HIS	357	487	79	39	
is	453	487	29	39	
the	500	487	59	39	
day	578	487	65	39	
the	662	487	59	39	
Lord	739	487	92	39	
hath	848	487	85	39	
made	949	487	103	39	
,	1055	487	9	39	
He	401	530	56	33	
calls	475	530	83	34	
the	575	531	60	33	
hours	652	532	107	33	
his	776	533	54	33	
own	849	533	78	34	
;	940	534	9	33	
Let	288	576	67	39	
heaven	371	576	134	39	
rejoice	521	576	130	39	
,	655	576	5	39	
let	683	576	46	39	
earth	749	576	97	39	
be	863	576	44	39	
glad	923	576	81	39	
,	1007	576	8	39	
And	331	619	79	39	
praise	428	619	115	39	
surround	559	619	173	39	
the	755	619	59	39	
throne	833	619	125	39	
.	960	619	7	39	
60	1006	427	42	29	
C.	1082	423	39	30	
M.	1140	421	49	29	
2	242	686	22	40	
To	286	685	52	40	
-	341	685	11	40	
day	355	685	66	40	
he	439	684	44	40	
rose	500	684	80	40	
,	583	683	6	40	
and	612	683	66	40	
left	696	683	66	39	
the	777	682	62	40	
dead	857	682	87	39	
,	948	681	8	40	
And	331	725	79	38	
Satan's	428	726	133	39	
empire	581	728	133	39	
fell	731	730	63	38	
;	805	731	10	38	
To	287	766	51	43	
-	344	766	11	43	
day	356	766	66	43	
the	436	766	61	44	
saints	514	767	107	44	
his	640	768	53	43	
triumphs	712	768	178	44	
spread	907	770	126	43	
,	1037	770	8	43	
And	332	819	77	28	
all	426	819	46	28	
his	489	819	53	28	
wonders	562	819	159	28	
tell	738	819	63	28	
.	800	819	9	28	
3	241	880	21	36	
Hosanna	287	880	169	37	
to	473	881	36	36	
the	527	882	58	36	
anointed	603	882	166	37	
King	786	883	95	37	
,	885	884	10	36	
To	331	927	50	35	
David's	399	927	142	35	
holy	559	927	83	36	
Son	657	928	69	35	
;	740	928	10	35	
Help	287	970	93	40	
us	398	970	39	40	
,	442	970	7	40	
O	473	970	27	40	
Lord	519	970	94	40	
;	625	970	6	40	
descend	659	970	151	40	
,	815	970	5	40	
and	843	970	69	40	
bring	929	970	105	40	
Salvation	330	1016	180	37	
from	526	1016	92	37	
thy	637	1016	64	37	
throne	716	1016	128	37	
.	847	1016	9	37	
4	239	1081	23	36	
Hosanna	285	1081	170	36	
in	473	1081	35	36	
the	527	1081	60	36	
highest	606	1081	140	36	
strains	766	1081	128	36	
The	331	1124	73	33	
Church	423	1124	140	34	
on	581	1125	45	33	
earth	645	1125	97	34	
can	761	1126	63	33	
raise	841	1126	90	34	
;	944	1127	8	33	
The	286	1168	76	40	
highest	379	1168	143	41	
heavens	537	1169	150	40	
in	706	1169	33	40	
which	761	1170	114	40	
he	891	1170	46	40	
reigns	952	1171	117	40	
Shall	330	1212	98	38	
give	442	1212	80	38	
him	539	1212	74	39	
nobler	632	1213	124	38	
praise	772	1213	116	39	
.	889	1214	9	38	
109	1116	189	78	33	
154	243	1302	103	43	
JESUS	393	1303	109	43	
THE	519	1303	71	44	
WAY	609	1304	89	43	
,	699	1305	9	43	
THE	722	1305	72	43	
TRUTH	814	1305	127	44	
,	945	1306	8	43	
AND	970	1306	72	44	
C.	1082	1307	37	43	
M.	1137	1307	51	44	
THE	615	1363	70	26	
LIFE	703	1360	90	26	
.	798	1357	8	29	
THO	282	1426	144	61	
THOU	307	1425	149	39	
art	472	1425	52	39	
the	541	1425	60	39	
Way	621	1425	84	39	
;	720	1425	6	39	
to	755	1425	34	39	
thee	807	1425	81	39	
alone	908	1425	99	39	
From	397	1467	102	35	
sin	521	1467	52	35	
and	591	1467	70	36	
death	678	1468	106	35	
we	804	1468	47	35	
flee	870	1469	66	35	
;	952	1469	9	35	
And	284	1512	78	30	
he	380	1512	44	30	
who	444	1512	74	30	
would	537	1512	115	30	
the	669	1512	59	30	
Father	747	1512	129	30	
seek	893	1512	83	30	
Must	325	1556	100	40	
seek	440	1556	83	40	
him	538	1556	73	40	
,	618	1556	4	40	
Lord	648	1556	90	40	
,	744	1556	5	40	
by	773	1556	46	40	
thee	837	1556	81	40	
.	922	1556	6	40	
2	237	1622	21	39	
Thou	283	1622	103	39	
art	404	1622	52	39	
the	473	1622	60	39	
Truth	551	1622	112	39	
;	678	1622	6	39	
thy	713	1622	63	39	
word	794	1622	97	39	
alone	908	1622	102	39	
True	328	1662	93	35	
wisdom	438	1663	145	36	
can	604	1665	63	35	
impart	684	1666	131	36	
;	830	1669	10	34	
