content	x	y	w	h	
9	256	665	76	57	
:	325	661	46	59	
3	343	660	60	58	
Where	432	519	125	25	
sor	569	520	56	25	
F	440	589	87	88	
9	259	1991	78	71	
:	316	1989	45	72	
9	261	1417	72	75	
:	320	1418	38	75	
2	412	1415	55	51	
24	368	1478	103	46	
-	635	532	11	5	
W.	342	950	43	29	
A.	398	951	29	29	
OGDEN	443	952	99	30	
,	548	954	5	29	
by	569	954	32	30	
per	614	955	43	30	
.	661	956	7	29	
2	414	1035	56	53	
4	413	1102	51	43	
REFRAIN	411	1583	183	27	
.	600	1583	9	27	
row	656	518	68	31	
and	746	518	70	31	
sigh	835	518	73	31	
-ing	923	518	69	31	
and	1029	518	68	31	
darkness	1122	518	166	31	
and	1308	518	69	31	
death	1392	518	101	31	
,	1499	518	5	31	
And	1543	518	79	31	
tempests	1687	521	165	31	
and	1867	521	68	31	
clouds	1945	521	115	31	
are	2069	521	58	31	
no	2162	521	47	31	
4	669	639	94	107	
1.	462	1242	28	24	
Je	508	1242	39	24	
sus	594	1242	56	24	
is	689	1242	31	24	
2.	461	1273	31	25	
Je	508	1273	40	25	
sus	594	1274	57	25	
will	677	1274	68	26	
call-	779	1241	78	28	
ing	869	1243	58	28	
,	930	1244	6	27	
never	784	1275	138	26	
3.	463	1307	28	32	
Why	507	1307	87	32	
will	605	1307	72	33	
you	686	1308	66	32	
lin-	783	1309	76	32	
ger	875	1309	59	32	
THE	902	218	108	46	
EVERGREEN	1042	218	336	46	
SHORE	1411	218	166	46	
.	1582	218	10	46	
Concluded	1649	220	224	45	
.	1876	220	10	45	
£	524	1636	196	144	
1	670	1630	112	156	
Je	477	1878	40	24	
-	528	1879	14	24	
sus	558	1880	56	25	
is	658	1879	34	24	
call-	748	1878	77	30	
ing	838	1880	58	30	
!	905	1882	9	28	
CALLING	1091	901	237	45	
YOU	1360	901	98	45	
TO	1491	901	60	45	
-	1553	901	16	45	
DAY	1569	901	113	45	
.	1684	901	14	45	
E	1504	1022	105	137	
o	1417	1174	44	27	
"	984	1242	23	24	
Come	1012	1242	104	24	
to	1134	1243	36	24	
me	1218	1245	55	31	
and	1308	1245	67	31	
live	1390	1245	69	31	
;	1470	1245	7	31	
"	1486	1245	14	31	
Hear	1526	1245	91	31	
ye	1647	1245	43	31	
his	1738	1245	52	31	
warning	1822	1245	156	31	
?	1984	1245	18	31	
Be	1034	1277	47	23	
un	1132	1277	47	31	
-	1192	1277	13	31	
true	1217	1277	77	31	
to	1321	1277	36	31	
you	1398	1277	66	31	
:	1473	1277	9	31	
Trust	1519	1277	100	31	
him	1633	1277	71	31	
for	1738	1277	50	31	
ever	1843	1277	113	31	
When	1002	1309	109	33	
he	1132	1309	44	33	
bids	1211	1309	76	33	
you	1311	1309	69	33	
come	1392	1309	95	33	
?	1495	1309	14	33	
Christ	1524	1309	113	33	
will	1651	1309	70	33	
de	1739	1309	41	33	
-	1800	1309	11	33	
liv-	1839	1309	69	33	
er	1919	1309	37	33	
Je	1016	1880	40	25	
-	1066	1881	15	24	
sus	1096	1882	55	25	
is	1196	1881	33	24	
call-	1288	1879	80	31	
ing	1382	1881	59	31	
!	1449	1883	9	30	
●	1813	1291	14	5	
Je	1561	1882	41	24	
-	1616	1883	14	24	
sus	1646	1884	55	25	
is	1760	1881	31	28	
calling	1837	1881	128	30	
!	1975	1883	13	28	
more	2266	529	95	19	
.	2365	530	7	18	
Rit	2047	1617	59	27	
.	2107	1617	8	27	
WM	2197	957	54	26	
.	2254	957	6	26	
B.	2276	957	29	26	
BLAKE	2320	957	110	26	
.	2431	957	10	26	
-0	2414	1170	50	32	
Wilt	2054	1244	85	29	
the	2152	1245	59	29	
Spirit	2221	1246	147	30	
grieve	2385	1248	117	30	
?	2507	1249	15	29	
All	2048	1278	58	29	
life's	2120	1278	83	30	
journey	2213	1279	145	30	
through	2375	1281	148	30	
.	2530	1282	7	29	
When	2023	1310	112	32	
your	2148	1310	87	32	
life	2246	1310	56	32	
is	2338	1310	27	32	
done	2405	1310	90	32	
.	2497	1310	7	32	
49	2486	226	53	37	
Repeat	2350	1615	118	42	
pp	2481	1621	45	38	
.	2530	1624	7	36	
A	2379	1767	43	33	
--0	2369	1812	45	28	
Call	2065	1882	73	33	
-	2142	1882	11	33	
ing	2152	1882	59	34	
you	2230	1883	67	33	
to-	2312	1884	49	33	
day	2372	1884	66	34	
.	2443	1885	8	33	
I	2460	1980	87	130	
