content	x	y	w	h	
8	240	193	43	61	
Elementary	722	189	347	76	
Department	1087	195	357	75	
.	1447	201	12	70	
CHAPTER	906	303	234	33	
XII	1166	303	76	33	
.	1241	303	12	33	
MELODIOS	864	366	192	40	
.	1060	369	9	37	
Clefs	1124	370	104	39	
.	1226	372	11	37	
79.	296	449	57	42	
The	381	449	78	42	
notation	476	449	163	43	
of	658	450	43	42	
a	715	450	21	42	
piece	752	450	102	43	
of	871	451	42	42	
music	925	451	114	43	
should	1059	452	129	42	
be	1206	452	43	43	
kept	1269	453	87	42	
as	1373	453	37	42	
much	1429	453	109	43	
as	1555	454	38	42	
possible	1611	454	159	43	
with	1786	455	88	42	
in	242	495	43	44	
the	295	495	62	44	
long	368	495	85	44	
lines	462	495	92	45	
and	567	496	71	44	
spaces	651	496	125	44	
of	790	497	43	44	
the	841	497	64	44	
staff	916	497	89	44	
.	1006	497	7	44	
Ladies	1037	498	126	44	
'	1169	498	9	44	
voices	1188	498	120	45	
are	1321	499	61	44	
higher	1393	499	127	44	
than	1530	499	88	45	
men's	1629	500	115	44	
voices	1757	500	119	45	
,	1878	501	11	44	
and	245	541	74	44	
in	334	541	38	44	
order	389	541	108	44	
to	509	542	40	44	
represent	565	542	187	44	
the	766	543	63	44	
pitches	846	543	137	44	
these	1000	543	103	45	
two	1118	544	75	44	
classes	1210	544	132	45	
of	1359	545	45	44	
voices	1418	545	121	44	
sing	1557	546	80	44	
,	1639	546	7	44	
the	1666	546	62	44	
staff	1744	546	91	45	
is	1847	547	33	44	
made	246	588	106	43	
to	368	588	36	43	
represent	422	588	184	44	
pitches	622	589	137	44	
in	777	590	37	43	
two	833	590	69	43	
ways	921	591	97	43	
.	1024	591	6	43	
When	1063	591	117	44	
it	1196	592	27	43	
is	1239	592	29	43	
wanted	1288	592	141	44	
to	1446	593	37	43	
represent	1501	593	182	44	
the	1700	594	63	43	
pitch	1775	594	99	44	
es	244	659	41	44	
that	299	659	79	44	
ladies	393	659	114	45	
sing	524	660	80	44	
,	607	660	7	44	
this	637	661	71	44	
character	727	661	185	45	
,	912	662	10	44	
called	1070	654	115	44	
the	1200	656	63	44	
TREBLE	1282	657	148	45	
CLEF	1448	660	95	44	
,	1546	662	7	43	
is	1590	663	29	43	
put	1639	663	64	44	
upon	1735	665	97	44	
it	1848	667	29	43	
.	1879	668	7	43	
The	245	703	78	40	
staff	341	704	90	40	
then	444	705	89	41	
represents	549	706	200	42	
pitches	779	709	140	41	
as	1072	708	37	35	
follows	1135	708	144	35	
:	1285	708	9	35	
The	1324	709	76	35	
first	1431	709	77	35	
added	1540	709	113	36	
line	1670	710	73	35	
below	1774	710	114	36	
stands	242	749	126	41	
for	383	749	61	42	
the	454	750	64	41	
pitch	529	750	99	42	
C	642	751	27	41	
;	674	751	10	41	
the	702	752	61	41	
first	780	752	78	41	
space	872	753	108	41	
(	1073	755	17	42	
space	1090	755	108	42	
below	1213	755	116	42	
)	1332	756	16	42	
stands	1381	756	121	42	
for	1531	756	57	42	
pitch	1617	757	99	42	
D	1735	757	32	42	
;	1772	757	9	42	
first	1815	757	78	43	
line	244	798	76	43	
E	337	798	29	43	
;	370	798	9	43	
second	400	798	136	43	
space	552	799	108	43	
F	677	799	27	43	
;	709	799	8	43	
second	741	799	131	44	
line	890	800	72	43	
G	982	800	28	43	
;	1014	800	7	43	
third	1043	800	98	44	
space	1158	801	108	43	
A	1283	801	30	43	
;	1319	801	7	43	
third	1348	802	98	43	
line	1476	802	73	43	
B	1566	802	29	43	
;	1600	803	8	43	
fourth	1629	803	126	43	
space	1783	803	107	43	
C	244	844	30	43	
;	278	844	10	43	
fourth	306	844	127	43	
line	448	845	74	43	
D	540	845	31	43	
;	577	845	6	43	
fifth	604	845	85	44	
space	707	846	109	43	
E	845	846	27	43	
;	878	847	7	43	
fifth	907	847	84	43	
line	1008	847	73	44	
F	1100	848	27	43	
;	1132	848	8	43	
sixth	1162	848	96	43	
space	1276	849	111	43	
G.	1405	849	40	43	
If	1477	850	39	43	
we	1533	850	53	43	
go	1604	850	46	43	
higher	1671	851	127	43	
,	1799	851	9	43	
the	1827	851	63	44	
pitches	243	888	141	49	
represented	401	888	227	49	
in	646	888	37	49	
regular	703	888	142	49	
order	863	888	105	49	
are	1000	888	61	49	
,	1064	888	6	49	
A	1094	888	32	49	
,	1128	888	7	49	
B	1160	888	32	49	
,	1195	888	6	49	
C	1224	888	30	49	
,	1256	888	7	49	
D	1286	888	32	49	
,	1324	888	7	49	
etc.	1354	888	66	49	
The	1467	888	78	49	
added	1562	888	115	49	
lines	1707	888	94	49	
and	1818	888	71	49	
spaces	242	940	128	43	
below	387	940	117	43	
represent	521	940	185	43	
pitches	722	940	138	43	
as	879	940	37	43	
follows	935	940	146	43	
,	1085	940	8	43	
beginning	1116	940	195	43	
with	1329	940	88	43	
first	1449	940	79	43	
added	1543	940	116	43	
line	1674	940	74	43	
:	1751	940	10	43	
C	1781	940	26	43	
,	1812	940	9	43	
B	1840	940	32	43	
,	1874	940	10	43	
A	241	987	37	39	
,	276	986	11	39	
G	312	986	30	39	
,.	347	986	24	38	
etc.	394	985	67	39	
80.	290	1031	57	40	
When	379	1031	116	40	
the	512	1032	63	40	
staff	588	1032	88	40	
is	691	1032	29	40	
wanted	741	1033	141	40	
to	900	1033	35	40	
represent	954	1034	184	40	
the	1155	1034	59	41	
pitches	1233	1035	137	40	
that	1388	1036	78	40	
men	1483	1036	82	40	
sing	1584	1036	80	41	
,	1666	1037	7	40	
this	1695	1037	71	40	
char	1783	1037	89	41	
acter	241	1078	102	44	
,	343	1078	11	44	
called	470	1079	121	44	
the	602	1079	66	44	
BASE	683	1080	102	44	
CLEF	801	1080	98	44	
,	899	1081	8	44	
is	922	1081	30	44	
put	971	1081	64	44	
upon	1051	1081	99	45	
it	1165	1082	27	44	
.	1195	1082	7	44	
The	1234	1082	77	44	
staff	1328	1083	89	44	
then	1426	1083	88	44	
represents	1528	1084	201	44	
pitches	1748	1085	138	44	
in	242	1146	39	42	
the	297	1146	62	42	
following	376	1146	191	43	
order	585	1147	104	42	
,	692	1147	6	42	
beginning	723	1147	195	43	
with	937	1148	86	43	
the	1041	1149	61	42	
first	1119	1149	77	42	
line	1213	1149	73	43	
:	1289	1150	7	42	
G	1321	1150	32	42	
,	1354	1150	6	42	
A	1386	1150	31	42	
,	1420	1150	7	42	
B	1452	1150	30	42	
,	1485	1151	6	42	
C	1514	1151	27	42	
,	1548	1151	6	42	
D	1578	1151	31	42	
,	1614	1151	5	42	
E	1645	1151	29	42	
,	1678	1151	7	42	
F	1709	1151	29	42	
,	1740	1152	7	42	
G	1770	1152	33	42	
,	1806	1152	9	42	
A	1836	1152	36	42	
,	1870	1152	12	42	
B	241	1195	34	37	
,	274	1195	10	37	
C	307	1195	29	37	
,.	337	1195	26	37	
etc.	384	1195	66	37	
81.	291	1239	56	39	
The	378	1239	76	39	
first	471	1239	75	39	
added	565	1239	113	40	
line	696	1240	72	39	
below	786	1240	117	40	
when	923	1241	104	39	
the	1045	1241	60	39	
treble	1122	1242	114	39	
clef	1254	1242	73	39	
is	1345	1242	27	39	
used	1391	1242	86	40	
,	1481	1243	7	39	
and	1513	1243	70	39	
the	1600	1243	61	39	
first	1677	1244	79	39	
added	1771	1244	115	39	
above	242	1285	119	40	
when	377	1285	107	40	
the	498	1286	64	40	
base	578	1286	85	40	
clef	679	1287	76	40	
is	770	1287	30	40	
used	819	1287	86	40	
,	909	1288	7	40	
represent	938	1288	184	40	
the	1139	1289	62	40	
same	1218	1289	97	40	
pitch	1328	1289	98	41	
C	1446	1290	26	40	
,	1475	1290	7	40	
and	1508	1290	68	41	
are	1593	1291	61	40	
the	1672	1291	61	40	
centre	1764	1291	122	41	
and	242	1332	73	42	
junctional	329	1332	206	43	
point	552	1333	101	42	
of	670	1333	44	42	
the	729	1333	62	43	
two	808	1334	72	42	
staves	899	1334	117	42	
.	1022	1335	7	42	
The	1059	1335	76	42	
pitch	1149	1335	98	42	
they	1265	1335	85	43	
jointly	1366	1336	134	42	
represent	1528	1336	186	43	
is	1728	1337	33	42	
about	1775	1337	112	43	
midway	241	1382	161	45	
the	420	1382	62	45	
male	497	1382	96	45	
and	611	1382	71	45	
female	702	1382	135	45	
voices	855	1382	121	45	
,	981	1382	7	45	
and	1007	1382	71	45	
is	1091	1382	29	45	
called	1139	1382	114	45	
MIDDLE	1271	1382	153	45	
C.	1440	1382	39	45	
See	1511	1382	64	45	
the	1592	1382	61	45	
following	1669	1382	192	45	
EXAMPLE	966	1441	180	31	
.	1148	1441	8	31	
F	1243	1536	151	59	
勝	238	1494	104	134	
9	248	1657	69	60	
