content	x	y	w	h	
MRS	298	207	66	26	
.	368	206	6	27	
C.	399	206	32	27	
L.	453	206	34	26	
SHACKLOCK	507	205	242	26	
.	756	204	7	27	
14	270	280	52	27	
4	286	751	40	32	
9	188	1338	69	60	
*	253	1337	35	61	
1.	222	415	35	47	
Have	282	415	107	47	
you	405	415	75	47	
worked	495	416	150	47	
in	661	416	37	47	
the	715	416	66	47	
Master's	796	417	174	47	
vineyard	987	417	184	48	
?	1183	418	15	47	
Have	1217	418	109	47	
you	1345	419	75	47	
led	1441	419	58	47	
to	1519	419	38	47	
the	1587	420	63	47	
nar	1679	420	68	47	
-	1750	420	11	47	
row	1765	420	74	47	
way	1858	421	83	47	
A	1991	424	35	30	
-	2061	426	18	43	
ny	2096	425	53	41	
fainting	2169	423	167	38	
and	2359	417	77	41	
2.	218	477	38	47	
Have	281	477	110	47	
you	403	477	78	47	
worked	497	477	150	47	
in	663	477	38	47	
the	717	477	66	47	
Master's	798	477	168	47	
vineyard	984	477	181	47	
?	1176	477	16	47	
Have	1211	477	109	47	
you	1334	477	73	47	
sought	1421	477	137	47	
by	1574	477	47	47	
your	1638	477	96	47	
life	1748	477	65	47	
to	1830	477	36	47	
prove	1879	477	114	47	
That	2006	477	99	47	
you	2120	477	74	47	
walk	2211	477	99	47	
in	2326	477	40	47	
the	2385	477	68	47	
3.	220	536	34	47	
Is	278	536	38	47	
the	363	536	68	47	
light	476	536	102	47	
of	603	536	41	47	
your	668	536	98	47	
lamp	791	536	102	47	
a	920	536	22	47	
bea	990	536	70	47	
-	1069	536	13	47	
con	1089	536	69	47	
,	1163	536	6	47	
That	1209	536	98	47	
will	1322	536	78	47	
guide	1410	536	114	47	
the	1539	536	65	47	
wand'rers	1618	536	202	47	
home	1836	536	111	47	
?	1960	536	17	47	
Have	1995	536	111	47	
you	2123	536	75	46	
laid	2220	536	78	46	
up	2316	536	54	46	
a	2394	536	26	46	
4.	219	593	38	47	
Have	282	593	110	47	
you	411	593	76	47	
sheltered	506	593	189	47	
the	719	593	65	47	
poor	803	593	90	47	
and	913	593	75	47	
needy	1008	593	120	47	
?	1140	593	16	47	
Have	1177	593	109	47	
you	1298	593	73	47	
brightened	1386	593	163	47	
their	1562	593	74	47	
hearts	1649	593	126	47	
and	1786	593	76	47	
homes	1876	593	126	47	
?	2014	593	16	47	
Can	2048	593	79	47	
you	2150	593	75	47	
offer	2245	593	94	47	
the	2371	593	68	47	
98	194	1806	79	45	
Work	1112	143	161	53	
,	1276	142	10	54	
Brother	1322	141	213	53	
.	1539	140	12	54	
CHORUS	1634	856	175	20	
.	1813	855	8	21	
글	630	1791	115	126	
Copyright	298	1929	132	27	
,	434	1929	4	27	
1886	448	1929	53	27	
,	504	1929	4	27	
by	521	1929	29	27	
FILLMORE	569	1929	128	27	
BROS	712	1929	66	27	
.	778	1929	9	27	
J.	2228	209	29	23	
H.	2277	209	39	23	
R.	2338	209	34	23	
E	1603	908	104	90	
33	2406	147	68	45	
falt'ring	304	1060	170	43	
brother	500	1060	155	43	
,	658	1060	8	43	
Who	730	1058	97	38	
has	853	1058	68	38	
gone	959	1058	95	38	
from	1082	1058	92	38	
the	1197	1058	64	38	
fold	1285	1058	80	38	
a	1400	1058	24	38	
-	1444	1058	17	38	
stray	1481	1065	103	36	
?	1594	1062	19	39	
nar	304	1117	69	46	
-	373	1117	15	46	
row	388	1117	73	46	
pathway	488	1117	178	46	
,	672	1117	8	46	
That	729	1117	102	46	
you	856	1117	73	46	
trust	957	1117	100	46	
in	1095	1117	39	46	
the	1177	1117	64	46	
Saviour's	1267	1117	192	46	
love	1484	1117	85	46	
?	1580	1117	18	46	
Work	1623	1117	116	46	
,	1741	1117	7	46	
brother	1773	1117	155	46	
,	1931	1117	7	46	
for	1958	1117	55	46	
the	2035	1117	66	46	
Master	2125	1117	141	46	
cometh	2285	1117	150	46	
;	2448	1117	10	46	
gold	301	1179	91	35	
-	393	1176	13	38	
en	408	1176	47	36	
har	503	1173	72	37	
-	577	1172	13	38	
vest	588	1171	84	37	
For	734	1176	73	30	
the	856	1175	65	31	
life	965	1174	66	31	
in	1094	1174	41	31	
sheaves	303	1233	154	41	
of	474	1232	45	42	
gladness	532	1232	176	41	
When	736	1231	121	41	
the	878	1230	63	42	
Lord	963	1230	100	42	
of	1095	1229	43	42	
the	1177	1174	65	31	
world	1262	1174	115	31	
to	1404	1174	38	31	
come	1477	1174	103	31	
?	1590	1174	19	31	
the	1179	1229	63	42	
har	1265	1229	67	41	
-	1347	1228	13	42	
vest	1373	1228	81	42	
comes	1479	1228	122	41	
?	1608	1227	20	42	
Work	268	1697	118	47	
,	388	1697	8	47	
brother	415	1697	158	47	
,	575	1697	7	47	
he	602	1697	48	47	
will	668	1697	78	47	
say	765	1697	66	47	
to	849	1697	39	47	
thee	906	1697	89	47	
:	1011	1697	10	47	
"	1041	1697	22	47	
For	1075	1697	73	47	
thee	1162	1697	88	47	
I	1268	1697	18	47	
left	1305	1697	73	47	
the	1395	1697	66	47	
realms	1478	1697	134	47	
of	1631	1697	44	47	
glo	1693	1697	60	47	
-	1758	1697	14	47	
ry	1772	1697	43	47	
,	1820	1697	7	47	
What	1856	1697	118	47	
hast	1984	1697	84	47	
thou	2082	1697	93	47	
done	2189	1697	98	47	
for	2300	1697	56	47	
me	2367	1697	61	47	
?	2433	1697	22	47	
"	2458	1697	21	47	
2	949	1760	37	24	
E	1476	1803	64	107	
G	2326	1781	152	139	
