content	x	y	w	h	
5	347	388	124	87	
9	293	1548	72	70	
:	358	1547	30	71	
9	296	2867	86	85	
:	348	2866	70	86	
2	385	2866	82	85	
Heavenly	614	237	261	60	
Watchers	912	235	268	61	
.	1183	234	9	62	
Concluded	1265	234	274	60	
.	1542	232	10	62	
d'rers	1431	572	108	30	
to	1563	574	37	29	
long	535	571	84	36	
as	1004	582	36	19	
wan	1089	583	75	18	
wand'rers	521	624	188	35	
to	726	630	35	31	
roam	792	631	99	33	
,	895	634	7	30	
No	992	624	55	32	
long	1078	626	87	33	
-	1165	629	13	30	
er	1181	629	38	32	
as	1282	629	36	30	
wand'rers	1345	629	191	30	
to	1560	629	36	30	
2	814	775	54	31	
E	716	1153	88	136	
1.	478	1334	30	27	
Shall	535	1333	99	27	
we	681	1343	51	24	
all	771	1336	53	25	
2.	478	1378	32	26	
Shall	536	1378	104	27	
we	685	1385	52	24	
all	774	1379	53	24	
3.	478	1421	32	28	
Shall	536	1420	104	28	
we	685	1429	51	24	
all	774	1423	53	24	
4	481	1546	58	54	
2	547	2888	45	31	
er	903	582	37	18	
Gathered	765	980	251	56	
Home	1055	982	149	56	
,	1209	983	9	55	
No.	1254	983	90	56	
2	1375	984	30	55	
.	1410	984	15	55	
N	1365	591	7	4	
meet	878	1337	90	28	
at	1004	1335	35	29	
home	1064	1335	102	28	
meet	881	1381	91	29	
at	1006	1379	35	30	
home	1066	1379	103	29	
meet	881	1426	90	27	
at	1005	1424	36	28	
home	1066	1424	103	27	
+	442	2522	65	64	
g	544	2522	60	64	
!	693	2523	95	88	
J	1028	2511	136	117	
waiting	534	2653	213	37	
?	755	2653	15	37	
What	789	2653	110	37	
a	951	2664	22	19	
meeting	1036	2654	205	35	
in	1279	2652	38	36	
-	1329	2651	13	37	
deed	1353	2651	87	36	
ran	542	2697	62	31	
-	607	2696	11	32	
somed	622	2696	119	31	
?	750	2695	15	32	
What	787	2695	110	31	
a	951	2708	23	19	
meeting	1036	2699	207	35	
in	1281	2696	38	37	
-	1330	2696	13	37	
deed	1354	2696	87	36	
loved	525	2741	104	30	
ones	662	2741	83	30	
?	752	2741	15	30	
What	786	2741	111	30	
a	950	2752	23	19	
meeting	1032	2741	207	34	
in	1277	2737	38	37	
-	1328	2737	14	37	
deed	1353	2737	87	36	
in	1221	1334	36	30	
the	1303	1336	58	31	
morn	1380	1338	100	33	
in	1225	1379	37	41	
the	1302	1379	61	41	
morning	1379	1379	226	41	
,	1610	1379	6	41	
in	1223	1422	36	31	
the	1302	1424	58	33	
morn	1380	1427	98	34	
-	1504	1444	11	3	
By	759	3027	48	33	
permission	822	3027	191	33	
from	1034	3027	81	33	
"	1138	3027	16	33	
Gospel	1168	3027	116	33	
Alarm	1299	3027	111	33	
.	1414	3027	7	33	
"	1426	3027	15	33	
6	1676	478	46	30	
roam	1656	586	95	19	
.	1759	586	6	19	
TE	1518	2663	10	53	
F	1518	2749	10	16	
roam	1668	642	95	18	
.	1771	642	7	18	
J.	1610	1084	30	25	
M.	1658	1084	43	25	
HUNT	1720	1084	98	26	
.	1822	1085	9	25	
A	577	1818	155	129	
1	960	1805	111	154	
.	1095	1814	52	150	
$	1701	1798	100	101	
shores	469	1992	120	42	
of	606	1992	38	42	
the	660	1992	61	42	
bright	737	1992	122	42	
crystal	877	1992	131	42	
sea	1042	1992	57	42	
,	1104	1992	6	42	
With	1131	1992	98	42	
the	1242	1992	58	42	
loved	1313	1992	103	42	
ones	1429	1992	81	42	
who	1523	1992	78	42	
long	1613	1992	82	42	
have	1709	1992	91	42	
been	1811	1992	85	42	
sor	502	2040	55	28	
-	560	2039	11	29	
row	574	2039	67	29	
for	685	2038	55	29	
-	750	2038	11	29	
ev	774	2038	39	29	
-	833	2037	13	29	
er	861	2037	38	29	
be	960	2031	45	40	
free	1046	2031	73	41	
?	1127	2032	16	40	
Shall	1159	2032	101	41	
we	1279	2033	47	40	
join	1342	2034	74	40	
in	1457	2035	37	40	
the	1529	2035	60	41	
songs	1605	2036	102	41	
of	1724	2037	39	40	
the	1792	2037	62	41	
bless	491	2081	90	30	
-	590	2081	14	30	
ed	615	2081	41	31	
Redeem	694	2082	151	31	
-	850	2083	12	30	
er	865	2083	37	30	
to	963	2087	36	23	
see	1054	2078	57	37	
?	1116	2078	16	37	
Shall	1149	2078	102	38	
we	1261	2079	48	37	
know	1321	2080	103	37	
,	1428	2081	7	37	
and	1449	2081	69	37	
be	1536	2082	42	37	
known	1594	2082	127	38	
by	1741	2083	44	37	
our	1804	2084	66	37	
205	1794	243	102	47	
ing	1541	1337	63	37	
,	1608	1334	8	40	
On	1660	1332	59	38	
the	1785	1337	62	27	
And	1650	1379	82	41	
from	1772	1379	90	41	
ing	1539	1426	63	33	
,	1604	1423	10	36	
Our	1651	1422	80	33	
it	1501	2652	34	29	
will	1594	2654	76	26	
it	1502	2695	34	30	
it	1500	2741	34	29	
will	1593	2742	77	29	
will	1594	2697	75	25	
||	1836	756	61	112	
Fa	1660	2478	142	140	
be	1728	2653	45	30	
!	1781	2653	11	30	
be	1731	2695	43	29	
!	1782	2697	11	28	
be	1730	2741	43	30	
!	1784	2742	9	30	
