content	x	y	w	h	
No.	375	249	88	49	
156	484	250	89	49	
.	581	252	9	48	
E.	1542	327	31	28	
E.	1590	328	31	29	
HASTY	1638	329	113	32	
,	1755	332	5	28	
by	1777	333	42	29	
per	1835	334	57	30	
.	1895	336	7	28	
2	1547	393	33	117	
2	1777	404	86	81	
1.	479	530	33	41	
Je	534	530	42	41	
-	587	530	15	41	
sus	615	530	59	41	
,	678	530	8	41	
my	702	530	60	41	
Sav	788	530	65	41	
-	859	530	10	41	
ior	872	530	53	41	
,	932	530	5	41	
to	956	530	32	41	
Beth	1015	530	86	41	
-	1106	530	11	41	
le	1121	530	32	41	
-	1156	530	11	41	
hem	1173	530	76	41	
came	1269	530	95	41	
,	1369	530	6	41	
Born	1401	530	92	41	
in	1521	530	40	41	
2.	477	583	36	45	
Je	534	583	42	45	
-	588	583	14	45	
sus	615	583	58	45	
,	676	583	9	45	
my	701	583	62	46	
a	1624	542	21	34	
man	1688	541	84	34	
-	1775	541	13	34	
ger	1789	541	64	34	
to	1887	540	39	34	
Sav	787	584	65	45	
-	858	584	11	45	
ior	870	584	53	45	
,	929	584	6	45	
on	953	585	42	45	
Cal	1020	585	61	45	
-va	1097	585	68	45	
-	1167	586	10	45	
ry's	1183	586	69	45	
tree	1277	586	74	45	
,	1357	586	5	45	
Paid	1399	587	85	45	
the	1508	587	61	45	
great	1593	587	101	46	
debt	1710	588	83	45	
,	1798	588	7	45	
and	1820	588	71	46	
my	1908	589	59	45	
3.	476	639	33	42	
Je	532	639	43	42	
-	587	639	15	42	
sus	612	639	58	42	
,	676	639	8	42	
my	701	639	60	42	
Sav	787	639	65	42	
-	856	639	11	42	
ior	870	639	53	42	
,	929	639	6	42	
the	953	639	61	42	
same	1031	639	93	42	
as	1141	639	38	42	
of	1203	639	36	42	
old	1281	639	57	42	
,	1343	639	7	42	
While	1399	639	113	42	
I	1537	639	15	42	
did	1600	639	60	42	
wan	1686	639	77	42	
-	1765	639	15	42	
der	1781	639	64	42	
a	1887	639	22	42	
4.	475	690	36	46	
Je	533	690	41	46	
-	586	690	15	46	
sus	613	690	59	46	
,	676	691	8	46	
my	701	691	61	46	
Sav	787	691	65	46	
-	857	691	11	46	
ior	871	692	53	46	
,	930	692	6	46	
shall	949	692	93	46	
come	1053	692	92	47	
from	1157	693	91	46	
on	1260	694	42	46	
high	1315	694	86	46	
,	1408	694	6	46	
Sweet	1432	694	109	47	
is	1560	695	27	46	
the	1606	695	60	46	
prom	1684	696	96	46	
-	1785	696	12	46	
ise	1799	696	51	46	
as	1885	697	39	46	
6	489	400	37	38	
8	487	444	40	38	
976	379	800	151	45	
E	656	752	93	111	
8	484	842	41	38	
fi	389	1010	252	129	
sorrow	428	1166	131	42	
and	569	1166	73	42	
shame	649	1166	121	42	
;	780	1166	7	42	
Oh	805	1166	48	42	
!	865	1166	6	42	
it	886	1166	28	42	
was	928	1166	66	42	
wonderful	1009	1166	195	42	
!	1214	1166	8	42	
blest	1239	1166	89	42	
be	1341	1166	39	42	
His	1395	1166	58	42	
name	1465	1166	100	42	
!	1575	1166	8	42	
Seeking	1604	1166	150	42	
for	1767	1166	53	42	
me	1834	1166	52	42	
,	1892	1166	8	42	
for	1911	1166	53	42	
soul	458	1220	79	45	
He	553	1220	48	45	
set	617	1220	53	45	
free	688	1220	74	45	
;	771	1220	7	45	
Oh	804	1220	47	45	
!	862	1220	7	45	
it	883	1220	29	45	
was	926	1220	66	45	
wonderful	1008	1220	192	45	
!	1211	1220	8	45	
how	1238	1220	76	45	
could	1329	1220	101	45	
it	1454	1220	28	45	
be	1510	1220	38	45	
?	1560	1220	16	45	
Dy	1600	1220	50	45	
-	1654	1220	11	45	
ing	1669	1220	63	45	
for	1755	1220	55	45	
me	1831	1220	53	45	
,	1889	1220	8	45	
for	1910	1220	53	45	
far	441	1275	60	44	
from	511	1275	92	44	
the	614	1275	61	44	
fold	687	1275	73	44	
,	765	1275	6	44	
Gently	785	1275	126	44	
and	921	1275	70	44	
long	1000	1275	82	44	
He	1094	1275	47	44	
hath	1151	1275	87	44	
plead	1247	1275	102	44	
with	1360	1275	87	44	
my	1457	1275	58	44	
soul	1524	1275	75	44	
,	1605	1275	6	44	
Calling	1624	1275	138	44	
for	1770	1275	55	44	
me	1834	1275	54	44	
,	1891	1275	10	44	
for	1909	1275	54	44	
wea	443	1329	74	46	
-	519	1329	13	46	
ry	535	1329	45	46	
years	593	1329	103	46	
fly	714	1329	50	46	
;	770	1329	11	46	
Oh	797	1329	48	46	
!	855	1329	9	46	
I	888	1329	16	46	
shall	921	1329	91	46	
see	1030	1329	55	46	
Him	1103	1329	78	46	
descending	1201	1329	210	46	
the	1427	1329	62	46	
sky	1506	1329	65	46	
,	1575	1329	7	46	
Coming	1603	1329	145	46	
for	1765	1329	54	46	
me	1832	1329	56	46	
,	1890	1329	9	46	
for	1909	1329	57	46	
B	582	1744	60	59	
Seeking	942	250	222	58	
for	1198	245	82	62	
