content	x	y	w	h	
THE	604	314	175	43	
BESIN	838	312	288	42	
/	1132	309	33	44	
Sunday	284	422	286	124	
School	590	422	255	124	
Song	881	422	189	124	
Books	1093	422	232	124	
.	1327	422	22	124	
Published	377	672	188	30	
in	583	672	33	30	
both	639	672	84	30	
forms	743	672	106	30	
of	867	672	39	30	
musical	931	672	142	30	
notation	1093	672	157	30	
.	1256	672	9	30	
Sales	458	737	96	38	
exceeding	570	737	193	39	
any	782	738	67	38	
books	867	738	110	39	
ever	995	739	81	38	
pub	1090	740	75	38	
lished	559	799	115	39	
South	701	801	108	40	
,	815	804	5	38	
aggregating	845	804	231	43	
,	1077	809	14	38	
OVER	288	894	300	57	
A	672	894	69	57	
MILLION	820	894	484	57	
.	1331	894	20	57	
NEW	291	1067	157	41	
LIFE	489	1067	159	42	
,	651	1068	14	41	
RACE	438	1139	178	43	
AND	653	1141	142	43	
GLORY	831	1143	228	44	
,	1057	1145	17	42	
GEM	518	1218	139	43	
,	669	1222	9	39	
EMERALD	607	1294	335	45	
,	949	1297	13	42	
AMARANTH	707	1371	397	44	
,	1114	1376	12	39	
LOB	843	1447	122	38	
GOTTES	1013	1447	248	39	
(	1091	1499	16	29	
German	1112	1499	212	30	
)	1329	1501	14	29	
.	1346	1501	11	29	
Note	339	1576	93	37	
editions	463	1576	151	38	
,	620	1577	6	37	
uniformly	660	1577	187	38	
$	877	1578	23	37	
4	899	1578	20	37	
per	949	1578	63	37	
dozen	1041	1578	106	38	
by	1179	1579	43	37	
Mail	1254	1579	87	38	
;	1350	1580	10	37	
$	295	1635	23	38	
3.60	319	1635	80	38	
by	434	1635	44	38	
Express	516	1635	149	38	
,	670	1635	8	38	
at	713	1635	35	38	
purchasers	784	1635	207	38	
'	995	1635	8	38	
expense	1034	1635	152	38	
.	1190	1635	11	38	
Word	1250	1635	111	38	
editions	296	1690	151	41	
,	451	1690	7	41	
without	488	1690	149	41	
notes	671	1690	96	41	
,	772	1690	7	41	
$	811	1690	23	41	
1.44	838	1690	76	41	
per	946	1690	60	41	
dozen	1038	1690	108	41	
by	1177	1690	44	41	
Mail	1256	1690	88	41	
;	1350	1690	12	41	
20	353	1747	45	38	
by	414	1747	46	38	
Express	479	1747	151	39	
Send	340	1798	96	38	
or	469	1798	39	38	
free	529	1799	72	38	
specimen	622	1799	174	39	
pages	820	1800	108	39	
;	938	1801	9	38	
also	983	1801	72	39	
free	1076	1802	73	38	
specimens	1165	1803	197	39	
of	296	1858	44	38	
Sday	367	1858	146	38	
ool	614	1858	56	38	
Papers	703	1858	126	38	
,	833	1858	7	38	
free	866	1858	70	38	
Catalogue	967	1858	192	38	
or	1184	1858	39	38	
Alma	1247	1858	101	38	
nac	299	1924	64	19	
.	366	1924	10	19	
Aadress	430	1917	139	25	
Southern	325	1988	234	83	
Methodist	587	1991	264	83	
Publishing	876	1994	271	84	
House	1173	1997	152	83	
,	1321	1999	18	81	
5.	298	2127	25	31	
B.	336	2127	31	31	
MCFERRIN	380	2128	154	33	
,	537	2130	6	31	
Agent	560	2130	87	33	
.	647	2132	8	31	
NASHVILLE	773	2133	354	33	
,	1134	2133	9	33	
TENN	1176	2133	165	33	
.	1349	2133	11	33	
