content	x	y	w	h	
Huma	180	152	194	62	
1886	192	235	162	57	
Dort	188	320	172	48	
No.	347	373	127	92	
2.	498	373	72	92	
I	602	373	56	92	
Am	689	373	117	92	
Besting	841	373	253	92	
In	1127	373	94	92	
The	1251	373	131	92	
Savior's	1415	373	274	92	
Love	1722	373	174	92	
.	1890	373	21	92	
"	681	502	21	28	
We	714	502	50	28	
which	780	502	98	28	
have	893	502	76	28	
believed	982	502	135	28	
do	1131	502	37	28	
enter	1182	502	86	28	
into	1280	502	66	28	
rest	1359	502	60	28	
.	1421	502	6	28	
"	1429	502	14	28	
-	1446	502	24	28	
Heb	1481	502	67	28	
.	1551	502	5	28	
4	1570	502	18	28	
:	1593	502	8	28	
3	1619	502	18	28	
.	1640	502	8	28	
REV	429	559	80	27	
.	513	559	8	27	
E.	536	559	30	27	
A.	582	559	35	27	
HOFFMAN	632	559	196	27	
.	832	559	8	27	
4	419	694	39	39	
F	1178	641	127	105	
1.	440	806	34	41	
Oh	500	806	55	41	
!	570	806	10	41	
my	596	806	58	41	
heart	672	806	99	41	
is	809	806	27	41	
thrilled	869	806	147	41	
with	1035	806	83	41	
wond'rous	1139	806	192	41	
joy	1343	806	60	41	
2.	438	852	32	28	
At	494	852	49	28	
the	588	852	62	28	
foun	675	852	82	28	
-	764	852	9	28	
tain	776	852	72	28	
3.	439	894	33	40	
All	498	894	62	40	
my	592	894	58	40	
doubts	667	894	125	40	
are	805	894	62	40	
opened	949	855	182	35	
for	1148	851	55	37	
the	1250	849	64	37	
soul	1325	848	80	37	
vanished	930	900	169	33	
,	1102	896	9	38	
all	1140	895	52	37	
my	1246	906	61	27	
fears	1321	899	91	25	
4	423	1011	35	41	
4	421	1063	34	38	
rest	441	1367	72	34	
-ing	528	1366	92	34	
in	664	1365	39	35	
the	764	1359	64	44	
resting	441	1409	180	36	
in	665	1409	38	36	
the	764	1408	65	41	
resting	442	1455	181	34	
in	665	1455	40	34	
the	763	1450	67	40	
sins	463	1923	74	31	
a	604	1934	23	19	
way	710	1934	73	28	
,	788	1934	10	28	
I	867	1923	24	31	
free	464	1967	75	34	
ly	604	1969	38	34	
in	733	1968	36	35	
,	775	1968	8	35	
I	869	1969	21	28	
work	465	2008	96	36	
was	600	2009	69	37	
done	697	2010	92	37	
,	789	2011	8	36	
I	869	2013	21	29	
1	563	1985	12	4	
CYMD	650	1940	18	4	
REFRAIN	466	2269	185	33	
.	656	2270	7	32	
#	431	2337	203	113	
D.	1548	559	38	26	
E.	1601	559	32	26	
DORTCH	1646	559	157	26	
.	1809	559	7	26	
F	1342	1197	102	112	
Sa	871	1359	48	44	
-	920	1359	19	44	
vior's	941	1359	103	44	
love	1069	1359	81	44	
;	1151	1359	8	44	
Christ	1172	1359	116	44	
,	1292	1359	8	44	
the	1312	1359	63	44	
Lord	1387	1359	96	44	
,	1488	1359	6	44	
has	1512	1359	62	44	
taken	1586	1359	150	44	
all	1751	1359	49	44	
my	1817	1359	58	44	
Sa	873	1408	46	41	
-	919	1408	18	41	
vior's	943	1408	101	41	
love	1067	1408	79	41	
;	1149	1408	7	41	
Trusting	1181	1408	166	41	
in	1379	1408	35	41	
His	1465	1408	68	41	
grace	1555	1408	102	41	
I	1674	1408	18	41	
ventured	1728	1408	169	41	
Sa	872	1450	46	40	
-	920	1450	19	40	
vior's	942	1450	103	40	
love	1068	1450	79	40	
;	1150	1450	8	40	
When	1185	1450	114	40	
I	1320	1450	18	40	
trust	1376	1450	90	40	
-	1469	1450	15	40	
ed	1490	1450	41	40	
Jesus	1579	1450	149	40	
,	1731	1450	7	40	
lo	1758	1450	32	40	
!	1804	1450	9	40	
the	1838	1450	61	40	
am	956	1925	54	36	
resting	1031	1924	181	35	
in	1254	1921	40	37	
am	957	1969	55	36	
resting	1031	1968	180	35	
in	1254	1966	39	36	
am	957	2014	54	36	
resting	1031	2013	179	35	
in	1253	2010	40	37	
am	1801	817	53	20	
to	1475	806	40	37	
-	1538	806	19	37	
day	1579	806	69	37	
,	1649	807	10	37	
I	1719	808	21	29	
un	1466	855	48	31	
-	1532	853	16	32	
clean	1561	853	102	30	
,	1665	851	9	32	
I	1715	850	26	32	
are	1471	898	62	36	
gone	1573	898	93	36	
,	1665	898	9	36	
I	1720	898	19	36	
am	1800	906	49	20	
am	1799	862	52	18	
H	1584	1773	151	100	
I	1894	1780	32	94	
the	1378	1920	62	32	
Savior's	1462	1920	213	33	
love	1700	1921	79	32	
.	1780	1921	9	32	
the	1377	1965	62	31	
Savior's	1463	1965	213	33	
love	1699	1967	80	32	
.	1779	1968	9	31	
the	1375	2009	65	30	
Savior's	1462	2009	211	31	
love	1697	2011	81	30	
.	1779	2011	11	30	
ਵਿੱਚ	1702	2359	218	131	
I	442	2539	22	41	
am	507	2538	56	41	
rest	590	2538	72	41	
-	663	2538	16	41	
ing	684	2538	62	40	
,	749	2537	6	41	
sweet	794	2537	102	41	
ly	957	2537	34	40	
resting	1012	2536	130	41	
,	1146	2536	6	41	
I	1169	2536	15	41	
am	1203	2536	55	41	
resting	1284	2535	130	41	
in	1440	2535	35	41	
the	1508	2534	59	41	
Savior's	1599	2534	147	41	
love	1775	2533	80	41	
;	1863	2533	10	41	
I	442	2580	23	45	
am	507	2580	60	45	
resting	577	2580	136	45	
,	713	2580	8	45	
resting	733	2580	129	45	
,	868	2580	7	45	
sweetly	890	2580	139	45	
,	1032	2580	7	45	
resting	1045	2580	132	45	
,	1178	2580	6	45	
I	1191	2580	18	45	
am	1223	2580	55	45	
resting	1293	2580	131	45	
in	1448	2580	35	45	
the	1512	2580	60	45	
Savior's	1600	2580	149	45	
love	1776	2580	81	45	
;	1865	2580	10	45	
4.	486	2905	35	43	
O	546	2905	32	43	
the	592	2905	62	43	
bliss	670	2905	89	44	
and	775	2906	68	43	
rapture	862	2906	142	44	
!	1014	2907	10	43	
O	1050	2907	32	43	
the	1096	2907	60	43	
wond'rous	1175	2907	190	44	
peace	1382	2908	104	43	
!	1499	2909	8	43	
I	1533	2909	16	43	
am	1567	2909	55	43	
etc.	1640	2909	65	43	
,	1704	2909	11	43	
I	587	2955	20	42	
have	628	2955	91	42	
never	735	2955	109	42	
known	859	2955	127	42	
so	1003	2955	37	42	
pure	1056	2955	87	42	
a	1160	2955	19	42	
joy	1192	2955	59	42	
as	1269	2955	34	42	
this	1321	2955	69	42	
,	1396	2955	6	42	
I	1420	2955	17	42	
am	1455	2955	56	42	
etc.	1527	2955	67	42	
5.	484	3017	37	44	
So	541	3017	49	44	
I	605	3017	17	44	
live	640	3017	72	44	
rejoicing	729	3017	167	45	
in	913	3018	35	44	
His	968	3018	67	45	
love	1053	3019	79	44	
each	1148	3019	86	44	
day	1250	3019	67	45	
,	1322	3020	6	44	
I	1348	3020	17	44	
am	1382	3020	59	44	
etc.	1452	3020	65	44	
,	1522	3020	9	44	
I	588	3066	20	42	
am	622	3066	56	42	
walking	697	3066	155	42	
with	869	3066	86	42	
Him	975	3066	87	42	
in	1078	3066	36	42	
the	1132	3066	61	42	
narrow	1208	3066	133	42	
way	1360	3066	73	42	
,	1439	3066	8	42	
I	1464	3066	18	42	
am	1498	3066	56	42	
etc.	1571	3066	67	42	
4	1117	3123	28	34	
